numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
1,84,"05/01/02 00:00:00",,"3","30","limni papier mis hors service",,,
2,107,"04/20/01 00:00:00",,"2","22","A confirmé auprès de la mairie la date et la durée des travaux",,"08/23/05 16:25:00","08/23/05 16:20:00"
9,14,"05/06/03 00:00:00",,"2","26","Station d'Epinal
création de la courbe n°21a, réhausse des débits de la branche basse de la courbe n°20 (h<10cm) et prolongement de la branche jusqu'à -32cm suite à des jaugeages de très basses eaux. La courbe n°21a remplace la n°20 avec les mêmes dates de validité. La courbe n°21a a été transférée sous HYDRO et au CAC. C'est une courbe provisoire. La courbe n°20 a été supprimée de BAREME",,,
11,17,"08/06/03 00:00:00",,"2","26","Remplacement des courbes de tarage dont la date de début de validité est postérieure au 01/04/2003 par la courbe n°51. Elaboration des courbes à ""chapeau de gendarme"" pour corriger l'influence de la végétation. Modification effectuée dans Hydro. Suppression des courbes devenues obsolètes dans BAREME.",,,
12,44,"07/24/03 00:00:00",,"2","26","Elaboration de la courbe n°25. Réévaluation des débits en partie basse et haute de la courbe. Elle remplace les courbes (13,14,15,16,17,18,19,20,21,22,23,24) dans BAREME
Introduction de la CT N°25 dans HYDRO, communication de la courbe au CAC Nancy.
La corrélation en débit journalier avec la station de Hauconcourt est passée de 98% à 99% suite aux modifications sur les courbes des deux stations.",,,
13,47,"09/05/03 00:00:00",,"5","50","correction du code hydro de A6531110 à A6541110",,,
14,36,"09/05/03 00:00:00",,"5","50","correction du code hydro",,,
15,150,"09/09/03 00:00:00",,"2","26","correction de la partie basse, allongement de la branche (PB)",,,
16,10,"09/09/03 00:00:00",,"2","26","création de la courbe (19a), branche inférieure remontée",,,
17,67,"09/09/03 00:00:00",,"2","26","création de la courbe (23a), prolongement de la branche inférieure",,,
18,1,"09/09/03 00:00:00",,"2","26","création de la courbe n° C17031a, correction de la branche inférieure (PB)",,,
19,3,"09/09/03 00:00:00",,"2","26","création de la courbe 17163a, correction de la branche inférieure",,,
21,58,"05/01/02 00:00:00",,"3","30","limni papier mis hors service",,,
22,129,"08/06/03 00:00:00",,"2","26","Création de la courbe N°2a qui remplace la courbe N°1 et avec les mêmes dates de validité. Ajustement par rapport au jaugeage n°14 (-104cm). Envoyée à Hydro et au CAC. La courbe n°1 est supprimée de BAREME",,,
23,18,"09/17/03 00:00:00",,"2","26","création de la courbe 25b, modification de la branche inférieure (70cm->20cm), réintroduction de la courbe 25 dans Bareme. PB",,,
24,0,"11/05/03 00:00:00",,"2","26","Création de la courbe 4a, branche basse légèrement corrigée vers le haut",,"11/05/03 14:13:00","11/05/03 14:13:00"
25,10,"11/06/03 00:00:00",,"2","26","création de la courbe D19 et export vers HYDRO",,"11/06/03 16:38:00","11/06/03 16:38:00"
26,1,"11/06/03 00:00:00",,"2","26","création de la courbe C17031b, prologation de la branche inférieure",,"11/06/03 16:57:00","11/06/03 16:57:00"
27,15,"11/07/03 00:00:00",,"2","26","Création de la courbe D18",,"11/07/03 14:36:00","11/07/03 14:36:00"
28,154,"11/07/03 00:00:00",,"2","26","Création de la courbe D22",,"11/07/03 15:51:00","11/07/03 15:51:00"
29,143,"11/18/03 00:00:00",,"2","26","nouvelle courbe intégrant les mesures d'étiages. la Courbe est rentrée sur Hydro",,"11/18/03 14:17:00","11/18/03 14:17:00"
30,47,"02/28/99 00:00:00","07/02/00 00:00:00","1","11","perte des données suite à pb sur NOE. manquent lers données du 28/02/1999 au 08/03/1999, du 14/03 au 21/03/1999 et du 26/12/1999 au 02/07/2000","11/18/03 16:18:00","11/18/03 16:36:00","11/18/03 16:18:00"
31,47,"11/18/03 00:00:00",,"2","26","création de la CT n°2 (validité du 25/12/1999 04:30 au 01/01/2005) et modification de la période de validité de la courbe n°1 du 01/01/1992 au 25/12/1999 04:30",,"11/18/03 16:35:00","11/18/03 16:35:00"
32,22,"11/18/03 00:00:00",,"5","50","Création des courbes de corrections sous Hydro pour les années 2000, 2001, 2002, 2003",,"11/19/03 09:28:00","11/19/03 09:28:00"
33,17,"11/26/03 00:00:00",,"2","23","envoi de la courbe décallée (11cm) au CAC Nancy, et courbe de correction dans HYDRO",,"11/27/03 10:42:00","11/27/03 10:42:00"
34,38,"01/03/03 09:44:00","02/24/03 00:06:00","1","11","Absence de données dues à un flotteur bloqué dans l'appareil",,"11/27/03 15:38:00","11/27/03 15:38:00"
35,38,"02/24/03 00:06:00",,"3","30","mise en place d'un thalimède, début de l'enregistrement à 0h06 (??)",,"11/27/03 15:39:00","11/27/03 15:39:00"
36,38,"01/03/03 09:44:00","02/24/03 00:06:00","4","40","corrélation des QMJ avec la station de ZAINVILLERS sur la période 15/12-15/03 de 1990 à 2003
résultat: log(rupt)=1.056*log(Zainvillers)-0.146-0.152",,"11/27/03 17:32:00","11/27/03 16:53:00"
37,70,"12/03/03 00:00:00",,"2","26","création de la CT n° D14d suite au jaugeage n° 221",,"12/03/03 11:21:00","12/03/03 11:10:00"
38,46,"07/12/01 00:00:00",,"5","50","Doute sur le numéro d'hélice utilisé pour le jaugeage. En dépouillant avec une hélice de type 1 (pas 0.05), le point retombe sur le tracé de la courbe de tarage.",,"12/03/03 11:36:00","12/03/03 11:26:00"
39,126,"12/03/03 00:00:00",,"2","26","créé CT n° 10c suite jaugeage n° 85",,"12/03/03 13:08:00","12/03/03 13:08:00"
41,134,"12/03/03 00:00:00",,"2","26","Nouvelle CT n° D15c suite au jaugeage n° 76
Après vérification du jaugeage n° 73 avec Géréea, celui-ci n'est pas en compte dans CT car effectué en pleine montée",,"12/04/03 13:59:00","12/03/03 17:03:00"
45,137,"12/04/03 00:00:00",,"2","26","L'extrapolation haute de la CT n° D15 a été établie avec la CT modélisation EPAMA.
Le jaugeage n° 73 après vérification avec Géréea n'a pas été pris en compte",,"12/04/03 16:56:00","12/04/03 16:51:00"
46,91,"08/05/03 00:00:00","10/03/03 00:00:00","4","42","Le 03/10/03, démontage d'un seuil artificiel en pierres, au 3/4 de sa totalité à 50 m à l'aval des échelles par les jaugeurs.La cote avant démontage était de 44cm et après de 28 cm.
Après dépouillement des limnis, il est constaté que le barrage a été construit le 05/08/03.
Entre le 05/08/03 et le 03/10/03 les hauteurs ont été reconstituées par Géréea.
La hauteur des jaugeages n° 366, 367, 368, 369, 370 et 371 ont été modifiées pour élaborer la CT.",,"02/10/04 15:02:00","12/05/03 11:10:00"
47,91,"08/05/03 00:00:00","10/03/03 00:00:00","5","50","Après dépouillement des limnis, il est constaté qu'un barrage en pierre a été construit le 05/08/03.
Le 03/10/03, démontage du seuil au 3/4 de sa totalité à 50 m à l'aval des échelles par les jaugeurs.La cote avant démontage était de 44cm et après de 28 cm.
",,"05/21/04 10:16:00","12/05/03 11:16:00"
48,130,"12/05/03 00:00:00",,"2","26","Il n'est pas possible d'utiliser la CT en deça de 85 cm car la station n'est plus univoque par l'influence des manoeuvres du barrage situé en aval, des éclusées et des passages bateaux.
Il faudra attendre la pose d'un débimètre courant 2004 pour connaître les débits instantanés",,"03/17/04 11:17:00","12/05/03 11:40:00"
49,26,"03/01/95 00:00:00",,"2","24","La D18 est valable uniquement entre 0.95 m et 4.00 m car au delà de ces extrémités la station n'est plus univoque car influencée en étiage par le barrage aval et les éclusées et en crue court-circuitée en partie par le bras de décharge.
Attendre l'installation du débimètre à Aiglemont.",,"03/16/04 16:10:00","01/12/04 14:44:00"
50,26,"03/01/95 00:00:00",,"5","50","Mars 95, mis en service de la dérivation de Montcy Notre Dame avec régulations par clapets mobiles.",,"03/16/04 16:09:00","01/12/04 14:47:00"
53,9,"07/01/03 00:00:00",,"2","24","Du 01/07/03 au 03/06/04, les QMJ < à 50 m3/s ont été reconstitués à partir de la station de Monthermé car la station de Chooz est non univoque par les manoeuvres du barrage situé à l'aval.
Ensuite se sont les débits de Chooz Trou du Diable.",,"04/13/05 18:31:00","01/12/04 15:17:00"
55,138,"05/06/00 00:00:00","09/24/01 00:00:00","5","50","Du 06/05/00 au 24/09/01, construction d'un barrage automatique à clapets en remplacement du barrage à aiguilles.
Pendant cette période, la cote RN a été maintenue pour la navigation :
- RN mini à 2.20 m = 133.43 en IGN 69
- RN maxi à 2.40 m = 133.63 en IGN 69
Du 24/09/01 au 05/10/01, mise en service et essais du barrage à clapets et démontage de l'ancien barrage à aiguilles.
A partir du 24/09/01 prise en compte des nouvelles échelles avec 0  nivellé à 130.03 IGN 69.",,"07/31/08 11:41:00","01/20/04 16:10:00"
57,138,"10/07/01 00:00:00",,"2","24","La CT D11 prend effet à partir du 24/09/01, date de mise en route du barrage et de la prise en compte du nouveau 0  échelle nivelé à 130.03 IGN 69.
Pour info et d'après M. BAGAZZI contrôleur NNE :
- ancien barrage à aiguilles couché à 480 m3/s débit à Chooz
- nouveau barrage à clapets couché à 600 m3/s débit à Chooz",,"07/31/08 14:09:00","01/20/04 16:41:00"
60,134,"12/03/03 00:00:00",,"2","26","ct D15d créée suite jaugeage crue n° 77; mesure de qualité moyenne car réalisée en pleine descente mais pour le moment c'est le seul dans cette plage.",,"02/03/04 14:37:00","02/03/04 13:34:00"
61,85,"04/01/02 00:00:00",,"2","26","ct D18b crée suite jaugeage de crue n° 365 et n° 361 recalculé",,"02/03/04 14:39:00","02/03/04 14:39:00"
62,140,"01/01/02 00:00:00",,"2","26","ct D14b créée suite jaugeage crue n° 69 et modification bas de courbe suite jaugeages recalculés",,"02/04/04 09:26:00","02/04/04 09:26:00"
63,140,"09/01/97 00:00:00",,"2","26","ct D12a créée suite modification haut de ct D14b + bas de courbe changé",,"02/04/04 09:46:00","02/04/04 09:28:00"
64,8,"01/01/03 00:00:00",,"2","26","ct D15c créée suite jaugeage crue n° 232 et chgt haut n° 227 et rectifié haut. jaugeage n° 15 : 295 à 291cm",,"02/04/04 12:57:00","02/04/04 11:44:00"
65,144,"01/27/02 00:00:00","12/02/02 00:00:00","1","17","La crue de fin décembre 2002 a provoqué d'importants dégats sur les rives en aval du barrage de Belleville, sur le capteur d'enregistrement et les échelles occasionnant :
- enregistrement douteux du 01/01/02 au 27/01/02 
- pas d'enregistrement du 27/01/02 au 02/12/02 ",,"02/23/04 09:31:00","02/06/04 15:57:00"
