nosta,qmin,qmax,priorite
216,0.139,1.48,2
216,2.01,4.1199999,1
58,10.8,20,1
58,25.799999,39.799999,1
58,51.400002,133,2
37,111,571,1
35,196,258,1
35,335,394,1
35,472,1270,2
146,75.599998,133,2
147,25.6,29.299999,1
147,40.400002,59,1
146,9.8100004,23.9,1
147,96.199997,365,2
154,5.5599999,18.799999,1
154,51.5,121,2
155,144,1340,2
301,10.1,19.6,1
174,0.082999997,1.01,1
63,3.96,11.3,1
63,14,30,1
152,431,876,2
303,12.5,21.6,2
138,910,3120,2
61,15.8,91.300003,1
301,47.700001,88.900002,2
32,10.1,70.900002,2
320,356,752,2
190,87.199997,123,1
81,2.0599999,4.29,1
1,82.099998,198,2
77,3.55,23.9,1
190,157,317,2
81,7.3299999,25.799999,2
55,7.8000002,42.900002,1
191,1.78,9.7200003,1
1,25,67.199997,1
192,1.02,3.3499999,1
192,5.3099999,29,2
140,63.599998,188,2
43,148,294,1
43,427,634,1
130,633,2110,2
139,653,1310,2
305,13.4,25.6,2
148,46.200001,69.800003,1
13,10.1,79.699997,2
73,2.4100001,10.6,1
73,13.9,78.5,2
309,309,1150,2
144,116,990,2
129,11.1,16.5,1
129,18.6,23.4,1
129,29.6,94.900002,1
43,767,1030,2
3,6.0799999,46.400002,1
125,21.6,83.900002,2
184,3.9400001,17.4,2
19,210,1060,2
19,86.599998,145,1
33,10.5,55.700001,2
305,6.6399999,9.7799997,1
91,29.4,161,2
148,100,283,2
46,20.9,174,2
46,6.4200001,11.5,1
18,30.6,53.799999,1
18,109,247,2
143,6.3400002,10.4,1
143,16.799999,37.299999,2
56,4.2600002,9.7299995,1
56,13.4,60.400002,2
60,15.1,38.599998,1
60,56.900002,128,2
112,4.8400002,10.4,1
112,18.6,78,1
126,48.599998,302,2
34,22.799999,30.200001,1
34,43.599998,72.699997,1
34,86.900002,134,1
34,151,288,2
165,2.6800001,5.2199998,1
319,40.200001,84.800003,1
319,96.900002,201,2
314,108,185,1
267,1.4,11.1,1
267,19.299999,55.299999,2
165,7.8800001,14.4,2
186,0.83999997,6.6100001,1
186,0.68199998,7.54,1
85,102,315,2
85,36.599998,54.799999,1
85,4.0500002,9.9300003,1
137,263,1000,2
137,42,73.699997,1
6,109,422,2
312,602,2370,1
44,1200,2980,1
44,673,934,1
202,25.200001,74.199997,2
107,79.599998,182,2
27,79.099998,158,2
27,31.200001,58.799999,1
8,308,775,2
134,113,415,2
134,29.9,69.800003,1
50,144,466,2
50,14.2,44.5,1
59,8.6800003,9.79,1
59,7.1999998,19,1
59,30.1,143,2
84,6.2199998,11.3,1
84,15.8,36.599998,2
15,60,141,2
15,14.2,47.599998,1
53,4.0599999,39.200001,1
150,546,1780,1
7,440,2200,1
39,372,1230,2
39,70.900002,97.199997,1
133,85.699997,1100,2
12,441,1280,2
131,3.03,9.4899998,1
131,13.6,49,2
142,15.4,16.700001,2
142,10.8,116,1
142,115,255,2
260,7.3699999,101,1
171,0.46200001,17.799999,1
4,41.099998,173,2
41,416,1200,2
41,109,130,1
156,693,1670,2
9,655,1070,1
9,1070,3160,2
