numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
-1,"---Courantomètre---",,0.1,,,,,,,,,,
0,"pour calcul vitesse nulle     ",,0,0,,,,,,,,,
1,"    C2 n°05/1-107384/05-06-90 ",1.77,0.06320000000000001,0.016,8.33,0.057,0.027,,0.0534,0.057,,,
2,"  C2 n°18/1-15260/08-03-67    ",6.11,0.0566,0.039,,0.0548,0.05,,,,,,
3,"C2 n°02/1-65593               ",2.27,0.0635,0.017,6.45,0.0591,0.027,,0.056,0.047,,,
4,"Z Agence                      ",0.5600000000000001,0.4963,0.016,,0.523,0.001,,,,,,
5,"C31 n°05/4-112850/24-06-94    ",1.08,0.1269,0.025,,0.1334,0.018,,,,,,
6,"C2 n°06/1-88273/21-03-85      ",1.84,0.06270000000000001,0.016,6.13,0.0578,0.025,,0.0547,0.044,,,
7,"C31 n°02/A-102744/24-06-94    ",,0.1289,0.018,,,,,,,,,
8,"C31 n°02/A-102744/21-04-88    ",,0.1291,0.019,,,,,,,,,
9,"C31 n°06/1-75559/01-02-82     ",0.6,0.2458,0.015,,0.2625,0.005,,,,,,
10,"C2 n°18/1-15260/01-02-11      ",3.66,0.0624,0.018,4.29,0.0706,0.012,,0.0529,0.064,,,
11,"GH C2 pas 0.10                ",3.57,0.1046,0.015,,0.1032,0.02,,,,,,
12,"GH C2 pas 0.05                ",1.94,0.06320000000000001,0.016,7,0.057,0.028,,0.053,0.056,,,
13,"C31 n°15/R-80505              ",0.6,0.235,0.018,,0.25,0.008999999999999999,,,,,,
14,"C2 n°14/2-104695/20-01-84     ",3.57,0.1046,0.015,,0.1032,0.02,,,,,,
15,"C2 n°04/1-107219/05-07-12     ",2.87,0.06370000000000001,0.014,8.890000000000001,0.055,0.039,,0.0532,0.055,,,
16,"C2 n°06/1-88273/05-07-12      ",3.21,0.0625,0.016,6.86,0.0572,0.033,,0.0537,0.057,,,
17,"C31 n°16/4-17183/30-11-11     ",,0.1356,0.022,,,,,,,,,
18,"C31 n°18/4-80232              ",1.38,0.1277,0.028,,0.1335,0.02,,,,,,
19,"C31 n°19/R-161013             ",,0.2485,0.008999999999999999,,,,,,,,,
20,"C31 n°17/R-161009/22-11-99    ",0.5600000000000001,0.2354,0.018,,0.2516,0.008999999999999999,,,,,,
21,"C31 n°03/4-119384/07-03-94    ",,0.1333,0.022,,,,,,,,,
22,"C31 n°10/2-74445/01-02-82     ",0.33,0.4625,0.023,,0.52,0.004,,,,,,
23,"C2 n°15/2-169576              ",,0.103,0.014,,,,,,,,,
24,"C31 n°08/1-56681/28-11-91     ",1.25,0.2576,0.014,,0.2648,0.005,,,,,,
25,"C2 n°08/3-107357            ",0.9399999999999999,0.246,0.014,,0.2513,0.008999999999999999,,,,,,
26,"C31 n°21/R-605                ",0.64,0.2302,0.024,,0.252,0.01,,,,,,
27,"C31 n°07/1-75083              ",0.58,0.2238,0.018,,0.2463,0.005,,,,,,
28,"C31 n°13/2-69378              ",0.36,0.406,0.033,,0.486,0.004,,,,,,
29,"C31 n°09/1-95790              ",0.57,0.232,0.022,,0.2549,0.008999999999999999,,,,,,
30,"C2 n°04/1-107219/05-06-90     ",2.67,0.063,0.014,9.41,0.0555,0.034,,0.0538,0.05,,,
31,"C2 n°03/1-107372/28-11-91     ",2.09,0.0646,0.014,9.550000000000001,0.0555,0.033,,0.0533,0.054,,,
32,"C2 n°07/1-208538/22-01-07     ",1.87,0.0648,0.014,7.69,0.0568,0.029,,0.0542,0.049,,,
33,"C2 n°34/1-00041             ",6.67,0.0564,0.036,,0.0546,0.048,,,,,,
34,"C2 n°07/1-208538/05-07-12     ",2.69,0.0625,0.017,7.89,0.0558,0.035,,0.0539,0.05,,,
35,"C2 n°32/2-55469             ",,0.105,0.014,,,,,,,,,
36,"C2 n°16/1-126014/05-07-12     ",2.36,0.06370000000000001,0.013,6.67,0.0565,0.03,,0.0541,0.046,,,
37,"C2 n°33/2-87228             ",3.03,0.1073,0.012,,0.104,0.022,,,,,,
38,"C31 n°04/4-119388/07-03-94    ",,0.1339,0.02,,,,,,,,,
39,"C2 n°35/3-15260             ",0.63,0.205,0.048,2.96,0.2476,0.021,,0.253,0.005,,,
40,"C2 n°12/2-147110            ",,0.1021,0.018,,,,,,,,,
41,"C2 n°13/2-161081/05-12-00     ",,0.1022,0.015,,,,,,,,,
42,"C2 n°27/5-22699             ",2.36,0.0397,0.095,,0.0545,0.06,,,,,,
43,"C2 n°28/1-36542             ",2.5,0.0653,0.012,7.42,0.0581,0.03,,0.055,0.053,,,
44,"C2 n°25/1-38334             ",0.57,0.2365,0.022,,0.2575,0.01,,,,,,
45,"C2 n°26/5-49989/26-04-77      ",6.43,0.0581,0.034,,0.0553,0.052,,,,,,
46,"C2 n°29/2-48297             ",,0.1054,0.015,,,,,,,,,
47,"C2 n°30/3-50881             ",0.63,0.2383,0.02,,0.2605,0.006,,,,,,
48,"C2 n°23/2-62694/20-09-79      ",,0.1015,0.014,,,,,,,,,
49,"C2 n°31/3-15477             ",1.14,0.2227,0.04,,0.2535,0.005,,,,,,
50,"C2 n°19/1-102990/24-05-88     ",2.03,0.0643,0.012,7.43,0.0574,0.026,,0.0539,0.052,,,
51,"C2 n°22/1-256546/09-11-10     ",1.84,0.0653,0.018,7.78,0.0566,0.034,,0.0539,0.055,,,
52,"  C2 n°21/1-104694/01-02-11   ",1.11,0.1003,0.021,,0.103,0.018,,,,,,
53,"C31 n°14/4-73849              ",1.05,0.1278,0.025,,0.1335,0.019,,,,,,
54,"C2 n°10/3-87386             ",0.54,0.2352,0.016,,0.252,0.007,,,,,,
55,"C2 n°01/1-62346               ",2.44,0.0609,0.014,7.14,0.0568,0.024,,0.054,0.044,,,
56,"C31 n°12/2-94310              ",0.31,0.3793,0.037,,0.4854,0.004,,,,,,
57,"C2 n°11/3-62782             ",0.5600000000000001,0.2302,0.017,,0.2515,0.005,,,,,,
58,"C2 n°20/5-22698/07-12-71      ",1.97,0.0388,0.094,,0.054,0.064,,,,,,
59,"C2 n°24/3-00057/07-11-68      ",0.76,0.2232,0.044,2.53,0.2495,0.024,,0.257,0.005,,,
60,"C2 n°20/5-22698/30-11-11      ",8.039999999999999,0.0586,0.033,,0.053,0.078,,,,,,
61,"C2 n°24/3-00057/30-11-11      ",0.53,0.235,0.022,,0.2537,0.012,,,,,,
62,"C2 n°18/1-15260/03-12-19      ",2.69,0.0629,0.016,8.119999999999999,0.0551,0.037,,0.0535,0.05,,,
63,"C2 n°14/2-104695/30-11-11     ",5.93,0.103,0.018,,0.1003,0.034,,,,,,
64,"C2 n°19/1-102990/05-07-12     ",2.36,0.0639,0.012,7,0.0567,0.029,,0.0537,0.05,,,
65,"C2 n°03/1-107372/30-11-11     ",3.85,0.0602,0.024,12.42,0.055,0.044,,0.0517,0.08500000000000001,,,
66,"C31 n°23/1-12623/30-11-11     ",1.5,0.2546,0.012,,0.2626,0,,,,,,
67,"C31 n°11/1-10965/30-11-11     ",1.34,0.2556,0.011,,0.2638,0,,,,,,
68,"C2 n°22/1-256546/05-07-12     ",2.61,0.0639,0.015,13.85,0.0547,0.039,,0.0534,0.057,,,
69,"C31 n°11/1-10965/             ",1.31,0.246,0.024,,0.262,0.008999999999999999,,,,,,
70,"C31 n°01/A104442/09-07-12     ",,0.1314,0.012,,,,,,,,,
71,"C31 n°02/A-102744/09-07-12    ",1,0.1266,0.018,,0.1296,0.015,,,,,,
72,"C31 n°20/R-80489              ",0.63,0.2305,0.021,,0.248,0.01,,,,,,
73,"C2 n°17/2-120972/09-01-04     ",,0.1043,0.017,,,,,,,,,
74,"C2 n°16/1-126014/09-01-04     ",1.88,0.0641,0.017,9.550000000000001,0.0572,0.03,,0.055,0.051,,,
75,"C31 n°16/4-17183/29-11-68     ",2.41,0.1267,0.048,,0.135,0.028,,,,,,
76,"C31 n°22/1-43853              ",0.6899999999999999,0.245,0.016,,0.2595,0.006,,,,,,
77,"C31 n°17/R-161009/30-11-11    ",0.93,0.2415,0.015,2.19,0.2576,0,,0.2544,0.007,,,
78,"C31 n°06/1-75559/30-11-11     ",0.78,0.2471,0.018,,0.2637,0.005,,,,,,
79,"C2 n°03/1-107372/13-02-90     ",2.22,0.0654,0.014,8.33,0.0555,0.036,,0.0537,0.051,,,
80,"C31 n°24/R17029/04-12-70      ",1.34,0.2298,0.044,,0.253,0.013,,,,,,
81,"  C2 n°05/1-107384/05-07-12   ",2.65,0.0629,0.014,6.77,0.0546,0.036,,0.0515,0.057,,,
82,"C31 n°24/R17029/29-11-68      ",1.2,0.23,0.04,,0.255,0.01,,,,,,
83,"C31 n°03/4-119384/09-07-12    ",,0.1338,0.023,,,,,,,,,
84,"C31 n°04/4-119388/09-07-12    ",,0.1341,0.02,,,,,,,,,
85,"C31 n°05/4-112850/09-07-12    ",,0.1337,0.02,,,,,,,,,
86,"C31 n°10/2-74445/05-07-12     ",0.37,0.4531,0.023,,0.5203,0.002,,,,,,
87,"C31 n°23/1-12623/24-03-69     ",1.11,0.2434,0.024,,0.2605,0.005,,,,,,
88,"C31 n°25/1-17430              ",1.36,0.2473,0.025,,0.262,0.005,,,,,,
89,"C2 n°23/2-62694/05-07-12      ",1.6,0.1063,0.011,5.26,0.1038,0.015,,0.1019,0.025,,,
90,"C31 n°05/4-112850/17-01-92",,0.1329,0.027,,,,,,,,,
91,"C2 n°13/2-161081/05-07-12     ",4.62,0.1054,0.012,,0.1028,0.024,,,,,,
92,"Gereea C2/1-113048            ",1.94,0.06320000000000001,0.016,7,0.057,0.028,,0.053,0.056,,,
93,"Gereea C2/1-120933            ",2.27,0.0597,0.018,6.15,0.0575,0.023,,0.0536,0.047,,,
94,"C2 n°17/2-120972/05-07-12     ",4.06,0.1057,0.01,,0.1025,0.023,,,,,,
95,"Gereea C2/1-57830             ",1.93,0.0621,0.015,6.36,0.0564,0.026,,0.0542,0.04,,,
96,"C31 n°01/A104442/26-01-89     ",,0.1305,0.021,,,,,,,,,
97,"C31 n°01/A-104442/24-06-94    ",,0.1307,0.014,,,,,,,,,
98,"C2 n°09/3-65413             ",0.61,0.2301,0.023,,0.263,0.003,,,,,,
99,"C31 n°08/1-56681/30-11-11     ",0.86,0.2494,0.015,,0.2645,0.002,,,,,,
100,"pour calcul vitesse nulle     ",0,0,0,,0,0,,,,,,
101,"GH C2 pas 0.10                ",3.57,0.1046,0.015,,0.1032,0.02,,,,,,
102,"GH C31 R-605                  ",0.64,0.2302,0.024,,0.252,0.01,,,,,,
104,"C2 n°21/1-104694/03-12-19     ",1.74,0.1057,0.013,5.38,0.1034,0.017,,0.1021,0.024,,,
105,"C2 n°05/1-107384/03-12-19     ",2.79,0.06279999999999999,0.016,9.23,0.0542,0.04,,0.0516,0.064,,,
110,"Z Alsace                      ",0.6,0.2493,0.016,,0.2593,0.01,,,,,,
111,"C31 n°23/1-12623/24-03-69     ",1.11,0.2434,0.024,,0.2605,0.005,,,,,,
112,"C2 n°26/5-49989/05-07-12      ",3.13,0.0589,0.028,7.74,0.0573,0.033,,0.0542,0.057,,,
120,"GH C2-1-00041/20171129",1.94,0.06320000000000001,0.016,7,0.057,0.028,,0.053,0.056,,,
121,"GH C2-1-171663/20171129",2.13,0.064,0.015,8.67,0.0551,0.034,,0.0536,0.047,,,
122,"GH C2-2-203426/20171129",2.41,0.0669,0.007,8.5,0.0586,0.27,,0.0566,0.044,,,
123,"GH C2-2-44618/20171129",3.57,0.1046,0.015,,0.1032,0.02,,,,,,
124,"GH C31-R-605/20171129",0.64,0.2302,0.024,,0.252,0.01,,,,,,
999,"GH moulinet C2 num1_999",1.94,0.06320000000000001,0.016,7,0.057,0.028,,0.053,0.056,,,
9996,"Gereea C2/1-113048            ",1.94,0.06320000000000001,0.016,7,0.057,0.028,,0.053,0.056,,,
9998,"Gereea C2/1-57830             ",1.93,0.0621,0.015,6.36,0.0564,0.026,,0.0542,0.04,,,
9999,"Gereea C2/1-120933            ",2.27,0.0597,0.018,6.15,0.0575,0.023,,0.0536,0.047,,,
