noct,nopt,h,q
17578,1,-552,-0.013
17578,2,-163,0.0080000004
17578,3,71,0.032000002
17578,4,114,0.081
17578,5,147,0.167
17578,6,189,0.292
17578,7,285,0.583
17578,8,344,0.80699998
17578,9,515,1.37
17578,10,756,2.1300001
17578,11,900,2.7
17578,12,1077,3.3900001
17578,13,1220,4
17578,14,1516,6.1799998
17578,15,1823,9.1800003
17578,16,1970,10.7
17578,17,2038,11.7
17578,18,2165,13.7
17578,19,2559,36.700001
17579,1,-427,0.0049999999
17579,2,-235,0.071999997
17579,3,-210,0.094999999
17579,4,-160,0.13
17579,5,-120,0.2
17579,6,-80,0.36000001
17579,7,0,1
17579,8,58,1.47
17579,9,116,2.03
17579,10,231,3.4100001
17579,11,347,5.1900001
17579,12,462,7.3200002
17579,13,578,9.8599997
17579,14,693,12.8
17579,15,923,19.700001
17579,16,1154,28.299999
17579,17,1384,38.5
17579,18,1845,63.599998
17579,19,2307,95.400002
17579,20,2768,134
17579,21,3200,176
17580,1,56,0.034000002
17580,2,153,0.103
17580,3,169,0.131
17580,4,212,0.25
17580,5,241,0.36700001
17580,6,299,0.62199998
17580,7,359,1.09
17580,8,418,1.64
17580,9,476,2.27
17580,10,593,3.8399999
17580,11,711,5.7800002
17580,12,828,8.0600004
17580,13,1062,13.6
17580,14,1297,20.5
17580,15,1531,28.5
17580,16,2000,48.200001
17584,1,160,0.037
17584,2,205,0.037
17584,3,360,0.132
17584,4,400,0.148
17584,5,430,0.204
17584,6,470,0.35299999
17584,7,559,0.81699997
17584,8,650,1.36
17584,9,680,1.58
17584,10,712,1.9
17584,11,741,2.3099999
17584,12,905,4.6199999
17584,13,1111,8.0200005
17584,14,1212,10.2
17584,15,1369,15.4
17584,16,2000,40.900002
17585,1,228,0.015
17585,2,330,0.030999999
17585,3,387,0.086999997
17585,4,402,0.122
17585,5,433,0.213
17585,6,464,0.32800001
17585,7,495,0.46700001
17585,8,557,0.815
17585,9,619,1.25
17585,10,681,1.78
17585,11,743,2.4000001
17585,12,805,3.1099999
17585,13,929,4.79
17585,14,1053,6.8200002
17585,15,1217,10.4
17585,16,1369,15.4
17585,17,2000,40.900002
17586,1,41,6.6999998
17586,2,131,7.46
17586,3,232,12.3
17586,4,292,16.200001
17586,5,326,19.5
17586,6,357,25.799999
17586,7,549,54.599998
17586,8,1180,159
17586,9,1957,314
17586,10,2592,455
17586,11,3277,655
17586,12,3729,813
17586,13,4444,1110
17586,14,4968,1440
17586,15,5492,1840
17586,16,6016,2330
17586,17,6540,2910
17587,1,41,6.6999998
17587,2,131,7.46
17587,3,231,11.5
17587,4,292,16.200001
17587,5,326,19.5
17587,6,357,25.799999
17587,7,549,54.599998
17587,8,1180,159
17587,9,1957,314
17587,10,2592,455
17587,11,3277,655
17587,12,3729,813
17587,13,4444,1110
17587,14,4968,1440
17587,15,5492,1840
17587,16,6016,2330
17587,17,6540,2910
17588,1,396,3.3099999
17588,2,499,5.54
17588,3,555,8.2600002
17588,4,610,11.1
17588,5,665,17.1
17588,6,720,23.9
17588,7,840,41.599998
17588,8,960,62.700001
