noct,nopt,a,b,h0,hsup
7611,1,0,0,0,400
7611,2,1.445e-07,1.9123,309,1000
7612,1,0,0,0,19
7612,2,3.062e-07,2.5566,18,287
7612,3,0.001376,1.2208,162,401
7613,1,0,0,0,19
7613,2,1.082e-06,2.2051,18,78
7613,3,2.619e-08,2.9786,6,161
7613,4,0.0001911,1.502,102,287
7613,5,4.165e-06,2.1172,39,402
7614,1,0,0,0,39
7614,2,9.433e-07,2.2402,38,589
7614,3,8.823e-05,1.6074,197,759
7615,1,0,0,0,39
7615,2,5.99e-07,2.3107,38,332
7615,3,2.419e-05,1.7833,134,501
7615,4,0.005728,0.9641999999999999,309,576
7615,5,0.000314,1.4245,239,759
7616,1,0,0,0,300
7616,2,0.0002146,1.4893,277,644
7616,3,0.00278,1.1334,399,824
7616,4,0.002028,1.1856,399,1306
7617,1,0,0,0,300
7617,2,0.0002146,1.4893,277,644
7617,3,0.00278,1.1334,399,824
7617,4,0.002028,1.1856,399,1306
7618,1,0,0,0,0
7618,2,3.635e-06,1.8308,-111,600
7619,1,0,0,0,0
7619,2,2.328e-08,2.7676,-90,54
7619,3,8.835999999999999e-15,5,-248,94
7619,4,0.0001875,1.256,21,257
7619,5,3.755e-05,1.502,-24,602
7620,1,0,0,0,80
7620,2,8.175999999999999e-06,1.7832,79,263
7620,3,3.019e-14,5,-49,295
7620,4,1.164e-06,2.455,176,401
7621,1,0,0,0,80
7621,2,7.461e-06,0.5175999999999999,79,179
7621,3,5.761e-05,0.5175999999999999,178,210
7621,4,7.314e-09,3.3301,209,262
7621,5,7.089e-13,4.9825,171,285
7621,6,1.393e-07,2.7814,226,341
7621,7,6.816e-13,4.9825,176,393
7622,1,0,0,0,100
7622,2,1.463e-07,2.627,-26,390
7622,3,0.0004597,1.4316,159,495
7622,4,2.125e-11,3.7064,-406,602
7623,1,0,0,0,100
7623,2,1.276e-14,5,-211,187
7623,3,2.418e-14,5,-163,298
7623,4,0.001932,1.2208,203,334
7623,5,0.004769,1.0691,221,388
7623,6,0.01067,0.9395,245,495
7623,7,9.412999999999999e-05,1.6437,77,600
7624,1,0,0,0,100
7624,2,3.612e-06,1.9087,39,700
7625,1,0,0,0,100
7625,2,2.914e-15,5,-234,143
7625,3,1.979e-06,2.0452,48,220
7625,4,3.612e-06,1.9087,39,700
7626,1,0,0,0,139
7626,2,0.0003103,0.9993,139,181
7626,3,0.000198,1.1152,138,234
7626,4,7.092e-12,3.8178,-104,418
7627,1,0,0,0,140
7627,2,0.0002029,1.045,90,179
7627,3,7.601e-07,2.0645,34,230
7627,4,1.666e-09,2.9682,-79,418
7628,1,0,0,0,141
7628,2,1.097e-15,5,-223,189
