noct,cdatedeb,cdatefin
461610,"01/01/19 00:00:00","01/01/30 00:00:00"
462815,"01/01/19 00:00:00","01/01/30 00:00:00"
464030,"01/01/19 00:00:00","01/01/30 00:00:00"
465261,"01/01/19 00:00:00","01/01/30 00:00:00"
466452,"01/01/19 00:00:00","01/01/30 00:00:00"
467641,"01/01/19 00:00:00","01/01/30 00:00:00"
468833,"01/01/19 00:00:00","01/01/30 00:00:00"
470024,"01/01/19 00:00:00","01/01/30 00:00:00"
471266,"01/01/19 00:00:00","01/01/30 00:00:00"
472459,"01/01/19 00:00:00","01/01/30 00:00:00"
473662,"01/01/19 00:00:00","01/01/30 00:00:00"
474892,"01/01/19 00:00:00","01/01/30 00:00:00"
476106,"01/01/19 00:00:00","01/01/30 00:00:00"
477305,"01/01/19 00:00:00","01/01/30 00:00:00"
478502,"01/01/19 00:00:00","01/01/30 00:00:00"
479708,"01/01/19 00:00:00","01/01/30 00:00:00"
480900,"01/01/19 00:00:00","01/01/30 00:00:00"
482097,"01/01/19 00:00:00","01/01/30 00:00:00"
483312,"01/01/19 00:00:00","01/01/30 00:00:00"
484547,"01/01/19 00:00:00","01/01/30 00:00:00"
485832,"01/01/19 00:00:00","01/01/30 00:00:00"
487723,"01/01/19 00:00:00","01/01/30 00:00:00"
489132,"01/01/19 00:00:00","01/01/30 00:00:00"
490325,"01/01/19 00:00:00","01/01/30 00:00:00"
491505,"01/01/19 00:00:00","01/01/30 00:00:00"
494748,"01/01/19 00:00:00","01/01/30 00:00:00"
496007,"01/01/19 00:00:00","01/01/30 00:00:00"
497222,"01/01/19 00:00:00","01/01/30 00:00:00"
498501,"01/01/19 00:00:00","01/01/30 00:00:00"
499741,"01/01/19 00:00:00","01/01/30 00:00:00"
501518,"01/01/19 00:00:00","01/01/30 00:00:00"
501519,"01/01/19 00:00:00","01/01/30 00:00:00"
502744,"01/01/19 00:00:00","01/01/30 00:00:00"
502747,"01/01/19 00:00:00","11/23/19 16:25:00"
503988,"01/01/19 00:00:00","01/01/30 00:00:00"
503991,"01/01/19 00:00:00","11/23/19 16:25:00"
505315,"01/01/19 00:00:00","01/01/30 00:00:00"
505318,"01/01/19 00:00:00","11/23/19 16:25:00"
506748,"01/01/19 00:00:00","01/01/30 00:00:00"
506751,"01/01/19 00:00:00","11/23/19 16:25:00"
509060,"01/01/19 00:00:00","01/01/30 00:00:00"
509063,"01/01/19 00:00:00","11/23/19 16:25:00"
510356,"01/01/19 00:00:00","01/01/30 00:00:00"
510359,"01/01/19 00:00:00","11/23/19 16:25:00"
511639,"01/01/19 00:00:00","01/01/30 00:00:00"
511642,"01/01/19 00:00:00","11/23/19 16:25:00"
512875,"01/01/19 00:00:00","01/01/30 00:00:00"
512878,"01/01/19 00:00:00","11/23/19 16:25:00"
514140,"01/01/19 00:00:00","01/01/30 00:00:00"
514143,"01/01/19 00:00:00","11/23/19 16:25:00"
515411,"01/01/19 00:00:00","01/01/30 00:00:00"
515414,"01/01/19 00:00:00","11/23/19 16:25:00"
516669,"01/01/19 00:00:00","01/01/30 00:00:00"
516672,"01/01/19 00:00:00","11/23/19 16:25:00"
517951,"01/01/19 00:00:00","01/01/30 00:00:00"
517954,"01/01/19 00:00:00","11/23/19 16:25:00"
519218,"01/01/19 00:00:00","01/01/30 00:00:00"
519221,"01/01/19 00:00:00","11/23/19 16:25:00"
520485,"01/01/19 00:00:00","01/01/30 00:00:00"
520488,"01/01/19 00:00:00","11/23/19 16:25:00"
521787,"01/01/19 00:00:00","01/01/30 00:00:00"
521790,"01/01/19 00:00:00","11/23/19 16:25:00"
523147,"01/01/19 00:00:00","01/01/30 00:00:00"
523150,"01/01/19 00:00:00","11/23/19 16:25:00"
524428,"01/01/19 00:00:00","01/01/30 00:00:00"
524431,"01/01/19 00:00:00","11/23/19 16:25:00"
525712,"01/01/19 00:00:00","01/01/30 00:00:00"
525715,"01/01/19 00:00:00","11/23/19 16:25:00"
526974,"01/01/19 00:00:00","01/01/30 00:00:00"
526977,"01/01/19 00:00:00","11/23/19 16:25:00"
528255,"01/01/19 00:00:00","01/01/30 00:00:00"
528258,"01/01/19 00:00:00","11/23/19 16:25:00"
529526,"01/01/19 00:00:00","01/01/30 00:00:00"
529529,"01/01/19 00:00:00","11/23/19 16:25:00"
530790,"01/01/19 00:00:00","01/01/30 00:00:00"
530793,"01/01/19 00:00:00","11/23/19 16:25:00"
532052,"01/01/19 00:00:00","01/01/30 00:00:00"
532055,"01/01/19 00:00:00","11/23/19 16:25:00"
533320,"01/01/19 00:00:00","01/01/30 00:00:00"
533323,"01/01/19 00:00:00","11/23/19 16:25:00"
534590,"01/01/19 00:00:00","01/01/30 00:00:00"
534593,"01/01/19 00:00:00","11/23/19 16:25:00"
535921,"01/01/19 00:00:00","01/01/30 00:00:00"
