numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
101988,265,"06/12/02 00:00:00",,"5","50","Photos",,,
102017,268,"06/12/02 00:00:00",,"5","50",,,,
197030,41,"11/15/11 00:00:00","11/28/11 00:00:00","1","11","absence de données",,"12/07/11 08:48:00","12/07/11 08:48:00"
197031,41,"12/06/11 00:00:00",,"3","30",,,"12/07/11 08:49:00","12/07/11 08:49:00"
197032,41,"12/02/11 10:15:00",,"5","50","nettoyage du contrôle (végétation et branchages). cote avant:0.308m - cote après: 0.295m- arrêt du CORTH ce jour",,"02/27/13 11:01:00","02/27/13 11:00:00"
197033,48,"11/09/08 00:00:00",,"2","21",,,"01/25/10 17:23:00","01/25/10 17:23:00"
197034,48,"03/06/07 00:00:00",,"2","21",,,"01/25/10 17:24:00","01/25/10 17:24:00"
197035,48,"07/09/08 00:00:00",,"5","50","Photos du site de la station",,"01/25/10 17:41:00","01/25/10 17:26:00"
197036,48,"06/05/09 00:00:00",,"5","50","Photos de l'environnement de la station",,"01/25/10 17:28:00","01/25/10 17:28:00"
197037,48,"11/27/09 00:00:00",,"5","50","Photos du nettoyage aux abords de la prise de pression",,"01/25/10 17:40:00","01/25/10 17:40:00"
197038,49,"09/01/09 00:00:00",,"5","50","Nivellement du "" 0 "" de l'échelle par un cabinet de géomètre-Cote (IGN 69): 59.64m
",,"02/17/12 14:17:00","02/17/12 14:16:00"
197039,55,"01/01/02 00:00:00",,"2","24","en 2002 la digue et le déversoir rive gauche a été entierement refaite
en 2003 la crue de décembre a modifier les travaux de 2002 réparer sur l'année 2004
en  2008 la chevrette rive gauche a été enlevée à partir de la station vers l'aval modifiant complettement le controle de la courbe de tarage faible eau et étiage",,"03/18/09 09:32:00","03/18/09 09:09:00"
197040,55,"07/05/23 00:00:00",,"3","32","Chantier installation de 2 nouveaux capteurs en remplacement des 2 anciens capteurs, en cours. Effectué par P.GUICHON, V.BERTHEAU et Patrick IMBERT (HBTP). ",,"07/07/23 11:49:00","07/07/23 11:49:00"
197041,74,"03/11/10 00:00:00",,"5","50","Essai d'un radar télétransmis sur la partie centrale du lit mineur.",,"02/17/12 11:49:00","02/17/12 11:49:00"
197042,74,"03/08/11 00:00:00",,"3","31","Mise en service officielle du radar télétransmis sur la partie centrale du lit mineur utilisée comme voie principale hauteur",,"02/17/12 11:50:00","02/17/12 11:50:00"
197043,75,"01/04/10 00:00:00","01/15/10 00:00:00","5","50","Baisse progressive de la vanne au Moulin de Ballan",,"01/18/10 10:46:00","01/18/10 10:46:00"
