nosec,snoptsec,sabsc,scoteinf,scotesup
43436,1,0,74605,74800
43436,2,30,74605,
43436,3,150,74597,
43436,4,350,74608,
43436,5,500,74604,
43436,6,700,74593,
43436,7,850,74592,
43436,8,990,74607,
43436,9,1020,74624,74800
43437,1,-1115,74097,74200
43437,2,-1088,74066,74240
43437,3,-1069,74110,74250
43437,4,-1018,74071,74250
43437,5,-1006,74028,74286
43437,6,-984,74045,74318
43437,7,-956,74014,74354
43437,8,-908,74016,74403
43437,9,-842,73994,74454
43437,10,-768,74011,74495
43437,11,-735,73984,74508
43437,12,-651,73983,74530
43437,13,-588,73982,74541
43437,14,-509,73991,74542
43437,15,-470,73991,74538
43437,16,-403,73999,74525
43437,17,-336,73995,74505
43437,18,-283,73994,74477
43437,19,-232,74007,74445
43437,20,-160,73991,74384
43437,21,-86,73990,74293
43437,22,0,73986,74200
43437,23,94,74005,74200
43438,1,0,0,200
43438,2,100,10,200
43438,3,200,18,200
43438,4,300,20,200
43438,5,400,27,200
43438,6,500,22,200
43438,7,600,24,200
43438,8,650,29,200
43438,9,750,80,200
43438,10,950,80,200
43439,1,0,811,1000
43439,2,500,306,
43439,3,595,218,
43439,4,913,98,
43439,5,1031,49,
43439,6,1106,44,
43439,7,1287,92,
43439,8,1489,45,
43439,9,1767,-7,
43439,10,2022,-19,
43439,11,2252,-22,
43439,12,2507,-28,
43439,13,2731,-28,
43439,14,2977,-14,
43439,15,3164,1,
43439,16,3403,11,
43439,17,3595,215,
43439,18,3821,281,
43439,19,4200,681,1000
43440,1,0,40123,40400
43440,2,309,39949,
43440,3,473,39831,
43440,4,559,39758,
43440,5,1007,39571,
43440,6,1174,39432,
43440,7,1726,39401,
43440,8,2265,39401,
43440,9,2830,39421,
43440,10,3113,39498,
43440,11,3528,39449,
43440,12,4155,39786,
43440,13,4484,40040,40400
43441,1,0,0,100
43441,2,30,-2,
43441,3,150,-10,
43441,4,300,-9,
43441,5,450,-16,
43441,6,600,-10,
43441,7,670,-5,
43441,8,740,-2,
43441,9,770,-2,100
43442,1,0,97,500
43442,2,39,97,
43442,3,40,50,
43442,4,120,37,
43442,5,200,23,
43442,6,350,20,
43442,7,500,23,
43442,8,650,5,
43442,9,800,0,
43442,10,900,0,
43442,11,990,0,
43442,12,1000,37,
43442,13,1010,97,
43442,14,1040,97,
43442,15,1050,500,
43442,16,1150,500,
43442,17,1160,97,
43442,18,1200,97,
43442,19,1201,15,
43442,20,1350,0,
43442,21,1500,1,
43442,22,1650,0,
43442,23,1850,10,
43442,24,2050,31,
43442,25,2150,37,
43442,26,2151,97,
43442,27,2190,97,
43442,28,2200,500,500
43443,1,0,240,1000
43443,2,264,188,
43443,3,503,103,
43443,4,603,24,
43443,5,615,15,
43443,6,648,3,
43443,7,686,-2,
43443,8,736,-11,
43443,9,776,-12,
43443,10,824,-11,
43443,11,889,-10,
43443,12,1012,-13,
43443,13,1069,-11,
43443,14,1264,20,
43443,15,1300,-8,
43443,16,1458,-28,
43443,17,1549,-33,
43443,18,1607,-33,
43443,19,1633,-40,
43443,20,1669,-42,
43443,21,1700,-37,
43443,22,1740,-39,
43443,23,1790,-30,
43443,24,1822,-35,
43443,25,1830,-35,
43443,26,1881,-27,
43443,27,1936,-23,
43443,28,1952,-17,
43443,29,1982,-8,
43443,30,2028,6,
43443,31,2058,5,
43443,32,2140,12,
43443,33,2240,107,
43443,34,2814,223,1000
43444,1,0,290,290
43444,2,1000,190,290
43444,3,1600,116,290
43444,4,1600,36,290
43444,5,2330,0,290
43444,6,2330,270,290
43444,7,2480,290,290
43445,1,0,1,11
43445,2,30,1,
43445,3,100,0,
43445,4,200,-8,
