noct,ladate
17524,"10/04/06 13:55:00"
17524,"11/05/14 14:45:00"
17524,"01/14/04 17:14:00"
17524,"01/15/04 09:03:00"
17524,"01/06/88 00:00:00"
17524,"02/22/02 08:46:00"
17524,"04/01/86 00:00:00"
17524,"10/17/13 13:00:00"
17524,"12/17/11 09:57:00"
17245,"01/19/18 16:25:00"
17246,"01/03/12 13:15:00"
17247,"05/25/83 00:01:00"
17247,"04/12/83 00:01:00"
15319,"02/26/97 00:00:00"
15319,"11/15/00 10:10:00"
14295,"12/03/02 09:31:00"
14295,"11/13/96 00:00:00"
14295,"02/14/96 01:00:00"
14295,"02/14/96 00:00:00"
14295,"01/15/99 09:15:00"
14295,"01/21/97 01:00:00"
14295,"01/21/97 00:00:00"
14295,"05/17/01 09:30:00"
14295,"03/09/99 19:21:00"
14295,"02/21/02 12:21:00"
14295,"11/13/96 00:01:00"
14295,"12/23/09 15:56:00"
14295,"12/23/09 14:16:00"
14295,"01/29/02 12:01:00"
14295,"02/14/96 01:01:00"
14295,"12/30/09 09:46:00"
14295,"01/12/11 09:23:00"
14295,"01/15/99 09:16:00"
14295,"05/17/01 09:31:00"
14295,"01/21/97 17:41:00"
14295,"02/23/00 06:51:00"
14295,"12/03/97 10:31:00"
14295,"12/31/90 00:00:00"
14295,"10/12/93 00:00:00"
14295,"03/09/99 19:20:00"
14295,"03/09/99 19:22:00"
14295,"02/21/02 12:22:00"
14295,"11/13/96 09:32:00"
14295,"12/31/90 09:50:00"
14296,"12/31/90 00:00:00"
14296,"10/12/93 00:00:00"
14296,"03/09/99 19:20:00"
14296,"11/13/96 00:00:00"
14296,"02/14/96 01:00:00"
14296,"02/14/96 00:00:00"
14296,"01/15/99 09:15:00"
14296,"01/21/97 01:00:00"
14296,"01/21/97 00:00:00"
14296,"05/17/01 09:30:00"
14296,"03/09/99 19:22:00"
14296,"02/21/02 12:22:00"
14296,"12/31/90 09:50:00"
14296,"01/14/04 14:30:00"
14321,"01/04/91 00:00:00"
14321,"02/10/88 00:00:00"
14321,"12/14/93 00:00:00"
14321,"02/20/96 00:00:00"
14321,"03/22/95 00:00:00"
14321,"09/30/76 00:00:00"
14321,"08/19/76 00:00:00"
9882,"10/23/86 00:00:00"
9882,"02/06/80 00:00:00"
9882,"11/18/82 00:00:00"
9882,"07/27/80 00:00:00"
9882,"01/26/94 00:00:00"
9882,"10/14/93 00:00:00"
9882,"09/14/94 00:00:00"
9882,"10/09/97 00:00:00"
9882,"11/04/97 00:00:00"
9882,"09/07/83 00:00:00"
9883,"02/15/90 00:00:00"
9883,"05/17/01 11:00:00"
9883,"02/12/88 00:00:00"
9883,"12/19/86 00:00:00"
9883,"10/09/97 00:00:00"
9883,"09/07/83 00:00:00"
9883,"11/04/97 00:00:00"
9965,"01/24/95 10:00:00"
9966,"01/24/95 10:00:00"
9967,"04/05/01 10:00:00"
9967,"09/17/01 10:00:00"
9981,"02/27/95 00:00:00"
9981,"01/24/95 00:00:00"
9981,"03/14/95 00:00:00"
9990,"10/21/91 00:00:00"
9990,"09/24/91 00:00:00"
9990,"10/23/90 00:00:00"
9990,"09/11/96 00:00:00"
9994,"09/10/03 15:45:00"
9994,"09/26/03 16:20:00"
16077,"09/30/76 00:00:00"
16077,"08/19/76 00:00:00"
16077,"01/04/91 00:00:00"
16077,"02/10/88 00:00:00"
16077,"12/14/93 00:00:00"
16077,"02/20/96 00:00:00"
16077,"03/22/95 00:00:00"
16077,"03/19/88 00:00:00"
16077,"02/17/66 00:00:00"
9994,"08/27/03 17:50:00"
9999,"04/25/01 07:30:00"
9999,"11/15/01 10:45:00"
16970,"01/21/97 17:41:00"
16970,"11/13/96 09:32:00"
16970,"12/31/90 09:50:00"
16970,"12/31/90 00:00:00"
16970,"10/12/93 00:00:00"
16970,"03/09/99 19:20:00"
16970,"11/13/96 00:00:00"
16970,"02/14/96 01:00:00"
16970,"02/14/96 00:00:00"
16970,"01/15/99 09:15:00"
16970,"01/21/97 01:00:00"
16970,"01/21/97 00:00:00"
16970,"05/17/01 09:30:00"
16970,"11/13/96 00:01:00"
16970,"01/14/04 14:30:00"
16970,"12/20/04 13:48:00"
17517,"06/04/16 10:25:00"
17517,"06/03/16 09:20:00"
17517,"06/02/16 09:13:00"
16970,"12/30/09 09:46:00"
16970,"02/18/06 09:16:00"
16970,"02/14/96 01:01:00"
16970,"12/23/09 14:16:00"
9999,"09/23/03 12:45:00"
9999,"08/28/03 11:50:00"
10003,"02/01/01 13:15:00"
10024,"04/23/96 00:00:00"
10024,"07/15/96 00:00:00"
10024,"06/19/96 00:00:00"
10024,"10/16/96 00:00:00"
10024,"09/10/96 00:00:00"
10024,"10/01/97 00:00:00"
10024,"10/16/90 00:00:00"
10024,"11/18/76 00:00:00"
10024,"01/31/74 00:00:00"
10024,"05/04/73 00:00:00"
10024,"04/03/75 00:00:00"
10024,"01/26/71 00:00:00"
10024,"11/23/87 00:00:00"
10024,"10/15/93 00:00:00"
10024,"02/11/70 00:00:00"
10024,"12/19/79 00:00:00"
10024,"03/03/99 23:01:00"
10024,"03/03/99 23:00:00"
10026,"08/11/93 00:00:00"
10026,"03/08/99 23:00:00"
10026,"11/13/96 00:00:00"
10026,"02/21/02 11:30:00"
10026,"07/31/86 00:00:00"
10026,"08/25/76 00:00:00"
10026,"07/02/76 00:00:00"
10026,"02/16/77 00:00:00"
10026,"05/23/75 00:00:00"
10042,"02/06/97 00:00:00"
10042,"03/19/97 00:00:00"
10042,"03/20/96 00:00:00"
10042,"10/01/97 00:00:00"
10042,"06/19/96 00:00:00"
10042,"09/10/96 00:00:00"
