nocon,nosta,condatedeb,condatefin,condatemaj,condateenregistrement,condatecreation,concomment,connom,libcont1,valinf1,incer1,libcont2,valinf2,incer2,libcont3,valinf3,incer3,libcont4,valinf4,incer4,libcont5,valinf5,incer5
406,345,"09/01/23 00:00:00","01/01/50 00:00:00","01/08/24 16:25:00","01/08/24 16:25:00","01/08/24 16:25:00",,"config bourbon 2022","petit chenal",0,50,"chenal élargi mais rugueux",300,100,"chenal largeur du pont",700,200,"Litmineur+ débordmt rive droit",2700,200,,,
618,1,"12/18/24 00:00:00","01/01/50 00:00:00","01/16/25 16:19:00","01/16/25 16:19:00","01/16/25 16:19:00",,"chenal rectangulaire","petit chenal",-400,100,"chenal largeur de pont ",350,150,"ensemble lit mineur",850,200,"lit mineur + lit majeur",2770,500,,,
619,247,"06/25/24 00:00:00","01/01/50 00:00:00",,"01/17/25 15:03:00","01/17/25 15:03:00","Issu du relevé topo du 25/06/2024 suite à la crue du 22/06/2024","controles hydro","chenal largeur pont",350,100,"chenal + débordemt rive droite",1690,100,,,,,,,,,
638,13,"01/01/00 00:00:00","01/01/50 00:00:00",,"01/30/25 14:55:00","01/30/25 14:55:00",,"analyse basses eaux ","petit déversoir",-550,80,"déversoir étiage sévère",-410,50,"déversoir basses eaux",-300,50,"lit mineur",120,50,"lit mineur + lit majeur",1200,50
639,13,"01/01/00 00:00:00","01/01/50 00:00:00",,"01/30/25 15:04:00","01/30/25 15:04:00",,"hautes eaux","lit majeur autres ponts buses",1550,150,"lit majeur + debordement route",2250,100,,,,,,,,,
749,21,"01/01/00 00:00:00","01/01/50 00:00:00",,"04/23/25 15:36:00","04/18/25 11:29:00",,"CHETANG","Déversoir triangulaire",0,100,"déversoir Basses eaux",150,20,"lit mineur",3200,100,"lit majeur",4100,300,,,
806,556,"01/01/00 00:00:00","01/01/50 00:00:00",,"01/06/25 15:45:00","01/06/25 15:12:00",,"Baratin 2024","seuil 1",0,10,"seuil 2",230,30,"lit mineur",850,50,"lit majeur",1600,200,"débordement",2500,500
807,81,"06/21/24 19:00:00","01/01/50 00:00:00",,"10/07/24 09:27:00","10/02/24 11:25:00","Zéro écoulement estimé à 3 cm.
Pose des IP sur le seuil du pont le 11/07/2022.
Hauteur estimée de la mise en charge du pont vers les 2m à l'échelle.
","Voueize","Seuil 1 (Echancrure)",30,10,"Seuil 2 (IP)",220,30,"Lit mineur",450,100,"Lit majeur",1500,200,"Pont en charge",2000,200
808,586,"01/01/00 00:00:00","01/01/50 00:00:00",,"11/20/24 09:35:00","11/20/24 09:35:00",,"Controles Jauron","Encoche",10,20,"Seuil débordement IPN",250,30,"Chenal Lit mineur",600,200,"Chenal Lit majeur",3000,800,"Mise en charge du Pont",6000,1000
809,287,"01/01/00 00:00:00","01/01/50 00:00:00",,"09/03/21 13:49:00","09/03/21 13:49:00",,"vo1","e",0,50,"p",200,50,"pp",600,100,"d",2600,200,,,
810,288,"01/01/00 00:00:00","01/01/50 00:00:00",,"07/06/20 11:39:00","07/06/20 11:39:00",,"goulotte","goul",540,40,,,,,,,,,,,,
811,340,"01/01/11 00:00:00","01/01/50 00:00:00",,"06/30/23 11:39:00","03/14/22 13:17:00",,"Blavozy basique","Lit mineur bas moy débit",200,50,"Haut lit mineur haute eaux",1050,100,"Débordement lit majeur RG",1600,100,,,,,,
812,92,"01/01/00 00:00:00","01/01/50 00:00:00",,"03/12/25 15:51:00","04/08/22 14:22:00","Classification des types d'écoulemnts et contrôles.","Pandraux  tcontrôles","Mineur Basses Eaux",400,50,"Mineur moy-Hautes eaux chenal",800,100,"Début charge Pont puis orifice",1800,200,"Débordement majeur RD",3500,300,,,
