numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
-1,"---Courantomètre---",,0.1,,,,,,,,,,
0,"141516.1",2.08,0.0617,0.017,6.47,0.0569,0.027,,0.0535,0.049,,,
1,"OTT 112924",0.75,0.2487,0.012,,0.2593,0.004,,,,,,
2,"OTT 97147",0.65,0.2492,0.016,,0.2599,0.008999999999999999,,,,,,
3,"OTT 55374",0.72,0.2435,0.018,,0.2615,0.005,,,,,,
4,"OTT 13235 H1",7.27,0.0567,0.03,,0.0545,0.046,,,,,,
5,"OTT 77576 H1",3.18,0.0606,0.015,6.56,0.0562,0.029,,0.053,0.05,,,
6,"OTT 70334 H2",25,0.1025,0.019,,0.1025,0.091,,,,,,
7,"OTT 23996 H2",1.29,0.0878,0.044,,0.1025,0.025,,,,,,
8,"NEYRFLUX",10,0.2261,0.015,20,0.2261,0.015,,,,,,
9,"NEYRFLUX 45 KG",10,0.2261,0.015,20,0.2261,0.015,,,,,,
10,"17031 SAUMON 45 KG",1.02,0.2295,0.038,,0.253,0.016,,,,,,
11,"17032 SAUMON 45 KG",1.16,0.2375,0.034,,0.253,0.016,,,,,,
12,"SEBA RAPIDE 250809",1.74,0.2473,0.012,,0.2568,0.004,,,,,,
13,"SEBA LENT 0100316",1.16,0.1057,0.019,,0.1026,0.023,,,,,,
14,"SEBA TRES LENT 30 050258",3,0.0584,0.027,8.5,0.0561,0.034,,0.0541,0.051,,,
15,"Courantomètre",10,0.01,0,,0.01,0,,,,,,
16,"OTTC31Hjaune125(170868&9)P20mm",0.64,0.2221,0.021,,0.2488,0.004,,,,,,
17,"OTTC31Hjaune125(171838&9)S25Kg",0.65,0.2221,0.021,,0.2481,0.004,,,,,,
18,"OTT169043-h125(170838&9)S50Kg",0.62,0.2221,0.021,,0.2494,0.004,,,,,,
19,"OTTC31Hjaune125(170838&9)S100K",0.59,0.2221,0.021,,0.2511,0.004,,,,,,
20,"OTT HELICE 19203",0.48,0.205,0.048,2.25,0.245,0.029,,0.253,0.011,,,
21,"OTTC31h125(149201à149302)per20",0.3,0.3872,0.031,,0.4781,0.004,,,,,,
22,"OTTC31h125(149201à149302)S25K",0.3,0.3872,0.031,,0.4767,0.004,,,,,,
23,"SEBA JAUNEH80 1.47980 1.46280 ",1,0.3134,0.028,,0.3332,0.008200000000000001,,,,,,
24,"SEBA F1833 H125 SAUMON 100 Kg",0.27,0.3091,0.008999999999999999,,0.3206,0.006,,,,,,
25,"OTTC31h125(149201à149302)S50K",0.29,0.3872,0.031,,0.4792,0.004,,,,,,
26,"OTTC31h125(149201à149302) S100",0.28,0.3872,0.031,,0.4826,0.004,,,,,,
27,"110 (1-122655) 20mm",0.55,0.2459,0.01,,0.2604,0.002,,,,,,
28,"111 (1-122655) 100 kg",0.75,0.2485,0.012,,0.2632,0.001,,,,,,
29,"112 (1-125168)  20 mm",0.6,0.2414,0.014,,0.2597,0.003,,,,,,
30,"SEBA1838 P20mm H125",1.98,0.3117,0.019,10.27,0.3205,0.002,,0.3344,-0.14,,,
31,"C31he125(194214à194302)per20mm",0.76,0.2342,0.015,,0.248,0.005,,,,,,
32,"C31he125(194214à194302)S25KG",0.76,0.2342,0.015,,0.2473,0.005,,,,,,
33,"C31hel125(194214à194302)S50KG",0.6899999999999999,0.2342,0.015,,0.2486,0.005,,,,,,
34,"C31hel125(194214à194302)100kg",0.62,0.2342,0.015,,0.2503,0.005,,,,,,
35,"ZTTC31h125(200714à200818)perch",0.71,0.2297,0.018,,0.248,0.005,,,,,,
36,"ZTTC31h125(200714à200818)S25kg",0.74,0.2297,0.018,,0.2473,0.005,,,,,,
37,"ZTTC31h125(200714à200818)S50KG",0.6899999999999999,0.2297,0.018,,0.2486,0.005,,,,,,
38,"ZTTC31h125(200714à200818)S100K",0.63,0.2297,0.018,,0.2503,0.005,,,,,,
39,"ZTUC31h125(200618à200713)perch",0.36,0.4017,0.031,,0.4805,0.003,,,,,,
40,"ZTUC31h125(200618à200713)S25Kg",0.36,0.4017,0.031,,0.4791,0.003,,,,,,
41,"ZTUC31h125(200618à200713)S50Kg",0.35,0.4017,0.031,,0.4816,0.003,,,,,,
42,"ZTUC31h125(200618à200713)s100K",0.34,0.4017,0.031,,0.485,0.003,,,,,,
43,"118 (47624) 9 mm",0.59,0.2429,0.013,7.06,0.2615,0.002,,0.0532,0.052,,,
44,"44 (100284 - SEBA 878) 9 mm",6.75,0.1016,0.0154,,0.1,0.0262,,,,,,
45,"86 (A-94058) 20 mm, 5 à 50 kg",,0.129,0.025,,,,,,,,,
46,"89 (4-95650) 20 mm",2.14,0.1371,0.021,,0.1343,0.027,,,,,,
47,"119 (1-108872) 20 mm",,0.2585,0.007,,,,,,,,,
48,"121 (1-108872) 100 kg",,0.2613,0.006,,,,,,,,,
49,"45 (250890 SEBA 878) 9 mm",1.74,0.2473,0.0123,,0.2568,-0.0042,,,,,,
50,"120 (1-108872) 25 kg",,0.2574,0.008999999999999999,,,,,,,,,
51,"87 (A-94059)",,0.1299,0.016,,,,,,,,,
52,"123 (3-13536 - C2) 9 mm",0.65,0.211,0.04,2.67,0.2465,0.017,,0.251,0.005,,,
53,"124 (50.538 - SEBA 1434) 9 mm ",2.08,0.06419999999999999,0.0154,7.22,0.0568,0.0308,,0.0536,0.0539,,,
54,"125 (250.1422 -SEBA 1434) 9 mm",1.74,0.2473,0.0123,,0.2568,0,,,,,,
55,"Couranto 3 (EM23035 UNIT23031)",,1,0,,,,,,,,,
56,"126 (1-15299 /C2 n° 15299) 9mm",7.5,0.0566,0.036,,0.055,0.048,,,,,,
