noct,nopt,h,q
41905,1,100,0
41905,2,200,0.075000003
41905,3,250,0.16
41905,4,300,0.34999999
41905,5,350,0.61500001
41905,6,380,0.81
41905,7,420,1.1
41905,8,470,1.65
41905,9,500,2.05
41905,10,580,3.3
41905,11,700,5.5999999
41905,12,1010,13
41905,13,1400,22
41905,14,1500,25.299999
41905,15,1600,30
41906,1,100,0
41906,2,200,0.075000003
41906,3,250,0.16
41906,4,300,0.26499999
41906,5,320,0.37
41906,6,350,0.57499999
41906,7,380,0.76999998
41906,8,420,1.1
41906,9,470,1.65
41906,10,500,2.05
41906,11,580,3.3
41906,12,700,5.5999999
41906,13,1010,13
41906,14,1400,22
41906,15,1500,25.299999
41906,16,1600,30
41907,1,100,0
41907,2,200,0.075000003
41907,3,250,0.15000001
41907,4,300,0.27500001
41907,5,350,0.50999999
41907,6,380,0.73500001
41907,7,420,1.1
41907,8,470,1.7
41907,9,500,2.0999999
41907,10,580,3.3
41907,11,700,5.5999999
41907,12,1000,13
41907,13,1340,23.5
41907,14,1480,29
41907,15,1510,30
41909,1,100,0
41909,2,200,0.075000003
41909,3,250,0.15000001
41909,4,300,0.27000001
41909,5,370,0.62
41909,6,425,1.05
41909,7,475,1.6
41909,8,510,2.05
41909,9,540,2.5
41909,10,595,3.3
41909,11,650,4.25
41909,12,770,6.4499998
41909,13,870,8.8000002
41909,14,995,13.5
41909,15,1160,20
41909,16,1295,27
41909,17,1335,29.5
41909,18,1375,32
41909,19,1416,34.799999
41909,20,1491,40
41909,21,1615,50
41909,22,1725,62
41909,23,1830,75
41912,1,100,0
41912,2,200,0.075000003
41912,3,250,0.15000001
41912,4,290,0.30000001
41912,5,360,0.60000002
41912,6,420,1
41912,7,470,1.5
41912,8,510,2
41912,9,545,2.45
41912,10,600,3.25
41912,11,650,4.25
41912,12,750,6.5
41912,13,865,9.1000004
41912,14,995,13.5
41912,15,1160,20
41912,16,1295,27
41912,17,1335,29.5
41912,18,1375,32
41912,19,1416,34.799999
41912,20,1490,40
41912,21,1620,50
41912,22,1730,62
41912,23,1830,74
41912,24,1900,82
47174,1,0,0.001
47174,2,10,0.0099999998
47174,3,50,0.050000001
47174,4,100,0.162
47174,5,200,0.38699999
47174,6,300,0.72000003
47174,7,400,1.16
47174,8,500,1.6
47174,9,600,2.1400001
47174,10,700,2.6800001
47174,11,800,3.26
47174,12,900,3.8800001
47174,13,1000,4.5
47174,14,1100,5.3000002
47174,15,1200,6.0999999
47174,16,1250,6.5
47175,1,0,0.001
47175,2,30,0.057999998
47175,3,70,0.119
47175,4,100,0.16500001
47175,5,200,0.391
47175,6,300,0.72000003
47175,7,400,1.16
47175,8,500,1.65
47175,9,600,2.1400001
47175,10,700,2.6800001
47175,11,800,3.26
47175,12,894,4
47175,13,983,4.8200002
47175,14,1068,5.75
47175,15,1133,6.48
47175,16,1215,7.5700002
47175,17,1750,16
47176,1,0,0.001
47176,2,50,0.025
47176,3,100,0.059999999
47176,4,140,0.082999997
47176,5,180,0.127
47176,6,200,0.171
47176,7,290,0.537
47176,8,400,1
47176,9,600,2.0599999
47176,10,800,3.1700001
47176,11,1000,4.4099998
47176,12,1250,5.9699998
47177,1,50,0.090999998
47177,2,100,0.155
47177,3,110,0.168
47177,4,200,0.33399999
47177,5,260,0.50300002
47177,6,300,0.65100002
47177,7,330,0.796
47177,8,400,1.12
47177,9,500,1.65
47177,10,600,2.2
47177,11,700,2.73
47177,12,800,3.3
47177,13,900,3.8699999
47177,14,1000,4.4099998
47177,15,1100,5.0300002
47177,16,1200,5.6599998
47177,17,1250,5.9699998
47177,18,1350,6.73
47177,19,1580,8.6400003
47178,1,0,0.02
47178,2,20,0.046
47178,3,50,0.090000004
47178,4,70,0.131
47178,5,90,0.18000001
47178,6,100,0.212
47178,7,125,0.31
47178,8,160,0.47400001
47178,9,270,0.96399999
47178,10,420,1.75
47178,11,710,3.3599999
47178,12,1020,5.2199998
47178,13,1150,6.02
47178,14,1300,7.1100001
47178,15,1420,8.0699997
47178,16,1560,9.1999998
47179,1,0,0.02
47179,2,20,0.046
47179,3,50,0.090000004
47179,4,70,0.131
47179,5,90,0.18000001
47179,6,100,0.212
47179,7,125,0.31
47179,8,160,0.47400001
47179,9,270,0.972
47179,10,410,1.62
47179,11,800,3.5799999
47179,12,1150,5.27
47179,13,1300,6.0500002
47179,14,1420,6.6599998
47179,15,1550,7.3499999
47179,16,1710,8.1999998
47180,1,1,0.003
47180,2,30,0.027000001
47180,3,50,0.046999998
47180,4,80,0.078000002
47180,5,100,0.102
47180,6,120,0.12899999
47180,7,160,0.192
47180,8,200,0.29800001
47180,9,250,0.49900001
47180,10,350,1.09
47180,11,670,3.3099999
47180,12,920,5.0100002
47180,13,1130,6.3499999
47180,14,1300,7.48
47180,15,1400,8.1400003
47180,16,1500,8.8800001
47181,1,-50,0.0089999996
47181,2,-10,0.052000001
47181,3,10,0.074000001
47181,4,20,0.085000001
47181,5,30,0.1
47181,6,50,0.12899999
47181,7,70,0.163
47181,8,100,0.213
47181,9,130,0.27599999
47181,10,160,0.354
47181,11,190,0.447
47181,12,240,0.61199999
47181,13,310,0.84200001
47181,14,400,1.16
47181,15,600,1.95
47181,16,740,2.78
47181,17,960,4.0700002
47181,18,1250,5.98
47181,19,1400,6.9899998
47181,20,1550,8
54828,1,200,0
54828,2,250,0.050000001
54828,3,300,0.16500001
54828,4,370,0.49000001
54828,5,406,0.76300001
54828,6,472,1.4299999
54828,7,514,1.9400001
54828,8,560,2.71
54828,9,625,3.9000001
54828,10,765,7
54828,11,856,9.3199997
54828,12,990,13.5
54828,13,1160,20
54828,14,1295,27
54828,15,1335,29.5
54828,16,1375,32
54828,17,1417,34.799999
54828,18,1490,40
54828,19,1620,50
54828,20,1730,62
54828,21,1830,73.599998
54828,22,1900,82
54838,1,200,0.38299999
54838,2,262,0.50700003
54838,3,301,0.59100002
54838,4,333,0.67299998
54838,5,381,0.824
54838,6,424,1.02
54838,7,485,1.22
54838,8,700,1.87
56453,1,201,0.30899999
56453,2,250,0.40099999
56453,3,307,0.51599997
56453,4,354,0.634
56453,5,393,0.75800002
56453,6,423,0.875
56453,7,449,0.98500001
56453,8,488,1.11
56453,9,533,1.26
56453,10,602,1.46
56453,11,698,1.74
57215,1,200,0.38299999
57215,2,262,0.50700003
57215,3,300,0.59500003
57215,4,331,0.67400002
57215,5,380,0.82999998
57215,6,424,1.02
57215,7,485,1.22
57215,8,700,1.87
60492,1,200,0
60492,2,250,0.050000001
60492,3,300,0.16500001
60492,4,370,0.49000001
60492,5,406,0.76300001
60492,6,472,1.4299999
60492,7,514,1.9400001
60492,8,560,2.71
60492,9,625,3.9000001
60492,10,765,7
60492,11,856,9.3199997
60492,12,990,13.5
60492,13,1160,20
60492,14,1295,27
60492,15,1335,29.5
