nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,cotedebordement,coteseuil,codehydro3,codesitehydro3,synchronisation
1,"K1173210","MONTCEAUX L'ETOILE","Arconce",731860,2152310,,598.70001,"S","430450",5.61,0.348,68.2,104,128,"K1173210"," Mise à jour Débits caractéristiques le 16/04/2025","10/16/20 09:53:00","00",,,,"04/16/25 16:36:00",,,,"K117321001","K1173210",1
4,"K1391810","LE VERDIER","Arroux",726690,2167690,,3166,"S","430450",34.2,2.35,295,372,423,"K1391810"," Mise à jour Débits caractéristiques le 16/04/2025","12/26/00 00:00:00","00",,,,"04/16/25 16:12:00",,,,"K139181001","K1391810",1
7,"K4793010","CHAILLES","Cosson",572.841,6717.275,,740,"S","430450",2.94,0.138,21.7,38.3,49.3,"K4793010","Cette station est située sur la commune de Chailles (41) au pont de la départementale D751, en direction de Blois.
Type de contrôle: seuil en béton en aval de la station
Equipement: PLQ 2000 2400BD Téléphone: 02.54.79.49.41 nivellement  01/09/1990 

Mise à jour débits caractéristiques le 23/04/2025.
","02/03/98 00:00:00","00",,,6407,"04/23/25 09:29:00","02/03/98 00:00:00",,34,"K479301001","K4793010",1
13,"K1341810","RIGNY/ARROUX","Arroux",730160,2171860,,2277,"S","430450",27.2,1.22,248,338,398,"K1341810","Mise à jour Débits caractéristiques le 15/04/2025","12/26/00 00:00:00","00",,,,"04/15/25 16:01:00",,,,"K134181001","K1341810",1
14,"K1773010","VERNEUIL","Aron",694500,2206520,,1465,"S","430450",17.5,1.13,186,236,269,"K1773010"," Mise à jour Débits caractéristiques le 16/04/2025","12/26/00 00:00:00","00",,,,"04/16/25 11:34:00",,,,"K177301001","K1773010",1
15,"K3650810","CUFFY (LE GUÉTIN)","Allier",655850,2216600,,14310,"S","430450",138,22.9,554,796,956,"K3650810"," Mise à jour Débits caractéristiques le 16/04/2025","02/03/98 00:00:00","00","CUFFY",,,"04/16/25 16:21:00",,,,"K365081001","K3650810",1
16,"K3400810","CHATEL-DE-NEUVRE","ALLIER",675390,2156330,,12430,"S","430450",113,23.1,578,812,967,"K3400810","Mise à jour des débits caractéristiques le 02/05/2025","02/03/98 00:00:00","00","CHATEL-DE-NEUVRE",,,"05/02/25 15:18:00",,,,"K340081001","K3400810",1
17,"K3450810","MOULINS","Allier",675630,2173900,,12980,"S","430450",130,24.3,581,799,943,"K3450810","Mise à jour des débits caractéristiques le 02/05/2025","02/03/98 00:00:00","00",,,,"05/02/25 15:22:00",,,,"K345081001","K3450810",1
20,"K1563020","SAINT-POURCAIN-SUR-BESBRE","La Besbre",701030,2164930,,710,"S","430450",7.75,0.656,58.4,86.7,105,"K1563020"," Mise à jour Débits caractéristiques le 16/04/2025","02/03/98 00:00:00","00","SAINT-POURCAIN-SUR-BESBRE",,,"04/16/25 16:46:00",,,,"K156302001","K1563020",1
21,"K1321810","ETANG SUR ARROUX","Arroux",741330,2207550,,1798,"S","430450",22.2,1.06,229,316,374,"K1321810"," Mise à jour Débits caractéristiques le 15/04/2025","10/16/20 09:52:00","00",,,,"04/15/25 15:53:00",,,,"K132181010","K1321810",1
24,"K5383020","HERISSON","Aumance",628890,2167600,,920,"S","430450",5.38,0.108,94.09999999999999,154,194,"K5383020","Mise à jour des débits caractéristiques le 17/04/2025","02/03/98 00:00:00","00","HERISSON","03127",19197,"04/18/25 15:12:00",,,,"K538302001","K5383020",1
26,"K5400920","ST AMAND MONTROND","Le Cher",611810,2192170,,3492,"S","430450",27.2,2.6,240,366,449,"K5400920","MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","01/04/16 16:27:00","00","STAMAND MONROND","18197",14986,"05/02/25 09:57:00",,,,"K540092001","K5400920",1
29,"K6192420","MÉREAU [ALNAY]","Arnon",626.739,6675.975,,2164,"S","430450",11.7,1.66,87.2,133,164,"K6192420","Contrôle: Seuil Béton à l'amont, au pied du Pont.  Equipement: PLQ 2000 2400BD Téléphone: 02.48.52.83.67
Mesures de crues faites au pont de Méreau, 2 km en amont de la station 
mars 2017: Interlocuteur du conseil départemental pour les travaux sur le pont de Méreau(mesure en crue): Fabrice Bruneau tél 0682917242

Mise à jour Débit caractéristiques le 24/04/2025","12/23/15 11:40:00","00",,,9794,"04/24/25 11:19:00","09/01/96 00:00:00",,,"K619242001","K6192420",1
30,"K5712310","FOECY","Yevre",637.081,6676.655,,1970,"S","430450",14,1.37,64.59999999999999,91,108,"K5712310","MISE A JOUR DEBITS CARACTERISTIQUES LE 02/05/2025.","12/14/00 00:00:00","00",,,,"05/02/25 10:02:00",,,,"K571231001","K5712310",1
31,"K6220910","SELLES-SUR-CHER - LA TIZARDIERE [HS]","Le Cher",589.11,6686.886,,9252,"S","430450",61.8,7,360,510,610,"K6220910","Cette station est située sur la commune de Selles sur Cher (41) au lieu dit la Thizardière
Contrôle: Seuil Naturel Equipement: PLQ 2000 2400BD Téléphone: 02.54.97.71.06
Les mesures sont faites essentiellement au pont de Selles sur Cher sur la D956A soit à 3km en amont de la station","12/23/15 11:40:00","00","SELLES-SUR-CHER","41242",6965,"04/02/25 17:40:00","01/01/32 00:00:00",,,"K622091001","K6220910",1
32,"K6492510","SELLES ST ANDRE [HS]","La Sauldre",539180,2254880,,2254,"S","430450",14.8,1.69,87.5,121,143,"K6492510","Station influencée par les crues du Cher à partir de 350 m3/s

Débits caractéristiques mis à jour le 16/04/2025","03/10/00 00:00:00","00",,,,"04/16/25 17:03:00",,,,"K649251001","K6492510",1
33,"K6500910","CHÂTILLON-SUR-CHER","Le Cher",585.686,6686.625,,11540,"S","430450",71.90000000000001,7.49,398,555,658,"K6500910","Cette station est située sur la commune de Châtillon sur Cher (41) dans le bâtiment attenant à l'ancienne maison éclusière en aval de l'écluse direction Meusnes.
Contrôle: seuil naturel-Equipement : PLQ 2000- 9600BD Téléphone: 02.54.71.54.40
Temps de propagation moyen entre Selles-Thizardière et Chatillon -> 2h 

Mise à jour débits caractéristiques le 23/04/2025.
","12/23/15 11:41:00","00",,,6947,"04/23/25 09:51:00","01/01/93 00:00:00",,,"K650091001","K6500910",1
39,"K7022620","MONTGIVRAY","Indre",621.8579999999999,6611.684,,227,"S","430450",1.4,0.1,20.5,29.7,35.7,"K7022620","station utilisée de 1992 à 1995 puis reprise en 2008

Mise à jour débits caractéristiques le 17/04/2025
","02/06/98 00:00:00","00",,,19218,"04/18/25 07:34:00","09/01/92 00:00:00",,,"K702262001","K7022620",1
40,"K7202610","ARDENTES (HAUTEURS)","Indre",610.732,6627.512,,697,"S","430450",5.08,0.351,58,89,110,"K7202610","Mise à jour débits caractéristiques le 17/04/2025","02/06/98 00:00:00","00","ARDENTES","36005",15517,"04/18/25 07:39:00",,,,"K720261001","K7202610",1
41,"K7312610","SAINT-CYRAN-DU-JAMBOT","Indre",557.72,6659.115,,1712,"S","430450",12.8,1.53,95,150,190,"K7312610","Mise à jour des débits caractéristiques le 17/04/2025","02/06/98 00:00:00","00",,,8002,"04/18/25 07:47:00",,,,"K731261001","K7312610",1
44,"K1930010","NEVERS","La Loire",663160,2220960,,17570,"S","430450",174,23.2,1010,1380,1620,"K1930010"," Mise à jour Débits caractéristiques le 16/04/2025","03/10/00 00:00:00","00",,,,"04/16/25 16:19:00",,,,"K193001010","K1930010",1
45,"K4350010","ORLEANS PONT ROYAL","La Loire",567710,2322210,,36970,"S","430450",330,48.4,1400,1970,2340,"K4350010","Mise à jour débits caractéristiques le 23/04/2025.
","03/10/00 00:00:00","00",,,,"04/23/25 08:02:00",,20,60,"K435001010","K4350010",1
46,"K4350020","ORLEANS QUAI","La Loire",,,,36970,"S","430450",330,48.4,1400,1970,2340,"K4350020","Mise à jour débits caractéristiques le 23/04/2025.
","08/05/03 00:00:00","00",,,,"04/23/25 08:05:00",,,,"K435001020","K4350010",1
48,"K4470010","BLOIS","La Loire",574.96,6721.749,,38320,"S","430450",355,56.9,1440,1940,2280,"K4470010","Cette station est située sur la commune de Blois(41) dans le centre ville, à 50m en aval RD du pont historique. Les instruments sont dans un local situé dans le parking ""Valin de la Vaissière"" au niveau de la barrière d'entrée
Type de contrôle: naturel Les mesures d'étiage sont effectuées à la station de Onzain (Pt de Chaumont) à 17km en aval
Equipement: Station LNS et LPN8, alimentation secteur
01/09/2009 : Nivellement géomètre IGN 69

Mise à jour des débites caractéristiques le 17/04/2025","02/02/12 14:17:00","00","BLOIS","41018",6597,"04/18/25 14:42:00","01/00/00 00:00:00",,,"K447001001","K4470010",1
49,"K4800010","ONZAIN [PONT DE CHAUMONT]","La Loire",563.67,6711.028,,40500,"S","430450",335,66.3,1500,2030,2380,"K4800010","Cette station est située sur la commune de Onzain(41), à 50m en aval RD  du pont de Chaumont. 
Type de contrôle: naturel - Equipement: Station CPL et capteur LPN8.  secteur. Echelle inclinée sur sa partie haute
01/09/2009  Nivellement géomètre(IGN 69)

Mise à jour des débits caractéristiques le 17/04/2025","02/17/12 14:15:00","00","ONZAIN","41167",5964,"04/18/25 14:44:00","09/01/93 12:00:00",,,"K480001001","K4800010",1
50,"K4843010","COULANGES [HS]","La Cisse",567.2809999999999,6717.723,,490,"S","430450",,,,,,"K4843010",,"12/23/15 11:39:00","00",,,,"04/02/25 14:52:00",,,,"K484000101","K4840001",1
53,"K1383010","VITRY EN CHAROLAIS","La Bourbince",733620,2165490,,819,"S","430450",7.62,0.964,74.90000000000001,101,119,"K1383010","Mise à jour Débits caractéristiques le 15/04/2025","12/26/00 00:00:00","00",,,,"04/15/25 16:22:00",,,,"K138301001","K1383010",1
55,"K4000010","GIVRY","La Loire",655780,2224460,,32610,"S","430450",305,52.1,1460,2020,2390,"K4000010"," Mise à jour Débits caractéristiques le 16/04/2025","03/10/00 00:00:00","00",,,,"04/16/25 16:28:00",,,,"K400001010","K4000010",1
59,"K0030020","ISSARLES (PONT DE LA BORIE","LOIRE",782883,6413947,,226,"S","430450",1.49,0.42,100,220,290,"K0030020",,,,,,88134,"12/17/15 15:34:00","08/30/13 16:00:00",,,"K003002010","K0030020",
74,"K4900030","TOURS [PONT MIRABEAU]","La Loire",526.55,6702.409,,42130,"S","430450",330,67.09999999999999,1520,2030,2380,"K4900030","K4900010 Wilson amont Rive Gauche a été remplacée par K4900020 station aval Wilson Rive Droite qui a été  remplacée par K4900030 Mirabeau
Cette station est située sur la commune de Tours(37) dans le centre ville, à l'aplomb aval RG  du pont Mirabeau. On accède à la station par l'entrée du parking sur berge situé au même endroit
Contrôle: naturel - Les mesures d'étiage sont effectuées à 4km en aval de la station, au lieu-dit "" la Guignière "" sur la commune de Fondettes
Equipement: Station CPL équipée de capteurs LPN8 et radar radio-télétransmis. Alimentation secteur
01/09/2009 : Nivellement géomètre (IGN 69)
08/03/2011 : Mise en service du capteur radar télétransmis sur la partie centrale du lit mineur - Dorénavant c'est la voie officielle des données hauteurs à traiter.

Mise à jour des débits caractéristiques le 17/04/2025
","02/14/12 17:34:00","00","TOURS","37261",4295,"04/18/25 14:46:00","01/01/95 00:00:00",,,"K490003010","K4900030",1
75,"K6710910","TOURS [PONT SAINT SAUVEUR]","Le Cher",524.8,6699.493,,13615,"S","430450",81.5,9.19,421,591,704,"K6710910","Cette station est située sur la ville de Tours (31) au Pont St Sauveur, boulevard Louis XI,  qui relie Tours à Joué les Tours. 
Contrôle: Radier naturel.- Equipement : PLQ 2000- 2400 BD Téléphone: 02.47.37.97.04
La station peut être influençée par un ouvrage en aval. Au grands moulins de Ballan, une vanne régule la lame d'eau sur le déversoir. Mr Piaumier tél 02 47 53 00 15, employé du moulin, manoeuvre cette vanne deux par an. Il existe donc deux positions une, estivale et l'autre hivernale.
L'observation de l'environnement proche de la station laisse penser qu'une influence de la végétaion aquatique dans le lit sur les hauteurs enregistrées est possible.

Mise à jour débits caractéristiques le 23/04/2025.

","12/23/15 11:41:00","00",,,4254,"04/23/25 09:53:00",,,,"K671091001","K6710910",1
76,"K4080010","ST SATUR-ST THIBAULT","Loire",,,,,"S","430450",285,52.5,1460,2070,2470,"K4080010","Mise à jour débits caractéristiques le 22/04/2025.","08/28/00 00:00:00","10",,,,"04/23/25 07:40:00",,,,"K408001001","K4080010",1
77,"K6830020","LANGEAIS","Loire",503.95,6694.266,,56480,"S","430450",415,79.2,1720,2330,2740,"K6830020","Cette station est située sur la commune de Langeais(37), implanté dans un abri en contrebas du pont, coté aval RD. On accède à la station par l'accès au chemin de berge coté aval RD.
Objectif connu: Hydrologie générale et prévision des crues
Equipement: Station CPL équipée de capteur LPN8. Alimentation secteur
Evénements marquants:
01/01/1987: Départ des données hauteurs disponibles sur Hydro
01/01/1985: Départ des données débits disponibles sur Hydro
01/09/2009 : Nivellement de l'altitude du "" 0 "" de l'échelle historique de la 1ère pile coté RD du pont par un cabinet de géomètre - Echelle utilisée par l'hydrométrie
01/09/2009 : Nivellement de l'altitude du "" 0 "" de l'échelle inclinée 50m en amont du pont coté RD par un cabinet de géomètre-Cote (IGN 69): 36.463m
16/09/2011 : Remise en état des rappels d'échelle étiage et replacée à l'aplomb aval du pont, là où il y a la prise de pression du LPN8. Auparavant, ils étaient plutôt dans l'axe du pont. Photos

Mise à jour des débits caractéristiques le 17/04/2025","03/16/12 14:21:00","10","LANGEAIS","37123",3451,"04/18/25 14:48:00","09/01/85 12:00:00",,,"K683002001","K6830020",1
78,"K5090910","CHAMBONCHARD 2 [HS]","CHER",,,,517,"S","430450",,,,,,"K5090910","remplace la K5090905, période du 3 juin 1966 au 12 juillet 2000
K509 0900 02 - Le Cher à Chambonchard - Rive droite aval pont vieille échelle","11/17/97 00:00:00","00",,,,"04/02/25 15:57:00","06/03/66 00:00:00",,,"K509090002","K5090900",
79,"K5090900","CHAMBONCHARD (LA CABORNE)","Cher",616400,2130760,,,"S","430450",5.65,0.16,59,90,110,"K5090900","station cristal sur la pèriode du 16 janvier 2001 à nos jours","01/04/16 16:20:00","00","CHAMBONCHARD","23046",31751,"04/16/25 15:42:00","01/01/12 00:00:00",,,"K509090001","K5090900",1
81,"K5143110","GOUZON","VOUEIZE",594108,2132947,,144,"S","430450",1.48,0.044,13,17,20,"K5143110",,"01/04/16 16:11:00","00","GOUZON","23093",,"01/04/16 16:11:00",,,,"K514311001","K5143110",1
82,"K5183010","EVAUX LES BAINS","TARDES",,,,854,"S","430450",,,,,,"K5183010","K518 3020 02 - La Tardes à Évaux-les-Bains","01/08/01 00:00:00","00",,,,"04/02/25 15:59:00",,,,"K518302002","K5183020",
84,"K1833010","SAINT-GERMAIN-CHASSENAY","Acolin",683600,2198940,,389,"S","430450",2.42,0.646,26.3,44,55.8,"K1833010"," Mise à jour Débits caractéristiques le 16/04/2025","03/10/00 00:00:00","00","SAINT-GERMAIN-CHASSENAY",,,"04/16/25 11:42:00",,,,"K183301001","K1833010",1
