code,nom
"1","Absence d'information"
"10","Limnigramme papier inexploitable"
"11","Panne du dispositif d'enregistrement"
"12","Panne du dispositif de mesure"
"13","Erreur de manipulation ayant conduit à la perte du relevé"
"14","Perte de limnigrammes papier"
"15","Absence définitive de courbe de tarage"
"16","Arrêt de la station (travaux, ...)"
"17","Autres"
"2","Changement de courbe de tarage"
"20","Déplacement de l'échelle"
"21","Détarage suite à une crue"
"22","Détarage suite à un curage"
"23","Détarage lié à la végétation"
"24","Intervention sur le contrôle"
"25","Changement de site"
"26","Autres"
"3","Changement d'appareillage"
"30","Modernisation"
"31","Changement du type de capteur de mesure"
"32","Autres"
"4","Reconstitution de débits"
"40","Corrélation"
"41","Interpolation"
"42","Reconstitution de hauteur"
"43","Autres"
"5","Autres événements importants"
"50","Autres"
