noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
9,6,"01/01/92 00:00:00","12/31/99 00:00:00",300,700,"1",5,,"C",,,,,,,,
10,7,"01/01/95 00:00:00","12/31/96 00:00:00",50,500,"3",5,,"C",,,,,,,,
14,10,"01/01/96 00:00:00","12/31/96 00:00:00",0,500,"2",9,,"C",,,,,,,,
18,13,"01/01/95 00:00:00","12/31/95 00:00:00",200,800,"2",6,,"C",,,,,,,,
19,13,"01/01/95 00:00:00","12/31/96 00:00:00",0,500,"3",3,,"C",,,,,,,,
22,15,"01/01/95 00:00:00","12/31/95 00:00:00",120,400,"2",4,,"C",,,,,,,,
24,16,"01/01/94 00:00:00","05/01/95 00:00:00",900,1900,"2",14,,"C",,,,,,,,
27,17,"01/01/94 00:00:00","12/31/99 00:00:00",150,700,"2",5,,"C",,,,,,,,
47,36,"01/12/92 00:00:00","03/16/94 00:00:00",0,450,"12",13,,"C",,,,,,,,
49,37,"01/01/81 00:00:00","05/17/95 00:00:00",100,3000,"1",22,"CTHYDRO","C",,,,,,,,
50,37,"05/18/95 00:00:00","12/31/99 00:00:00",100,2500,"2",23,,"C",,,,,,,,
105,57,"01/01/97 00:00:00","12/31/98 00:00:00",150,310,"1",4,,"C",,,,,,,,
115,29,"06/05/96 00:00:00","12/31/99 00:00:00",110,980,"1",3,,"C",,,,,,,,
116,29,"06/05/96 00:00:00","12/31/99 00:00:00",90,980,"2",6,,"C",,,,,,,,
200,16,"01/01/95 06:00:00","01/01/96 00:00:00",900,1600,"3",7,,"C",,,,,,,,
205,16,"01/01/80 00:00:00","01/01/99 00:00:00",970,1530,"1",5,,"C",,,,,,,,
296,50,"01/01/98 00:00:00","05/12/98 00:00:00",540,760,"1",6,,"C",,,,,,,,
298,13,"01/01/97 00:00:00","12/31/99 00:00:00",240,420,"4",3,,"C",,,,,,,,
301,90,"01/01/80 00:00:00","01/01/00 00:00:00",50,350,"1",2,,"C",,,,,,,,
312,10,"02/26/97 00:00:00","12/31/99 00:00:00",0,450,"3",8,,"C",,,,,,,,
356,3,"01/01/71 00:00:00","12/31/01 00:00:00",110,2700,"0003",18,"=CTHYDRO NUMERO 1","C",,,,,,,,
381,58,"01/01/97 00:00:00","12/31/99 00:00:00",120,340,"1",11,,"C",,,,,,,,
399,8,"01/01/97 00:00:00","06/30/00 00:00:00",120,1100,"3",11,,"C",,,,,,,,
401,12,"01/01/97 00:00:00","10/28/99 00:00:00",200,550,"1",3,,"C",,,,,,,,
421,56,"01/01/97 00:00:00","12/31/10 00:00:00",110,350,"1",7,,"C",,,,,,,,
431,97,"01/31/00 00:00:00","12/31/10 00:00:00",320,1400,"1",6,,"C",,,,,,,,
437,80,"01/01/99 00:00:00","12/31/10 00:00:00",120,300,"1",5,,"C",,,,,,,,
481,50,"05/13/98 00:00:00","12/31/99 00:00:00",590,740,"2",17,,"C",,,,,,,,
521,60,"01/01/97 00:00:00","04/10/99 00:00:00",310,1190,"2",11,,"C",,,,,,,,
532,57,"01/01/98 00:00:00","02/27/01 00:00:00",130,190,"2",6,,"C",,,,,,,,
557,13,"01/01/98 00:00:00","05/30/02 00:00:00",200,330,"5",6,,"C",,,,,,,,
2418,40,"12/26/66 00:00:00","02/24/70 00:00:00",230,2200,"C15631",15,,"C",,,,,,,,
561,81,"01/01/99 00:00:00","12/31/02 00:00:00",420,490,"1",7,,"C",,,,,,,,
565,9,"01/01/97 00:00:00","01/29/02 00:00:00",100,350,"3",15,,"C",,,,,,,,
572,36,"03/17/00 00:00:00","11/15/05 00:00:00",20,500,"13",10,"CTHYDRO","C",,,,,,,,
579,54,"01/01/97 00:00:00","12/31/03 00:00:00",190,480,"1",14,,"C",,,,,,,,
611,68,"01/01/60 00:00:00","01/01/10 00:00:00",510,2000,"1",10,,"C",,,,,,,,
642,7,"01/01/97 00:00:00","12/31/02 00:00:00",100,520,"4",6,,"C",,,,,,,,
651,54,"01/01/97 00:00:00","12/31/03 00:00:00",150,450,"2",12,,"C",,,,,,,,
674,53,"01/01/97 00:00:00","06/30/03 00:00:00",110,310,"3",6,,"C",,,,,,,,
700,40,"02/27/97 00:00:00","02/21/99 00:00:00",320,2200,"C20",14,,"C",,,,,,,,
702,40,"03/22/01 00:00:00","12/31/01 00:00:00",500,2200,"C23",14,,"C",,,,,,,,
717,48,"01/01/97 00:00:00","12/31/01 00:00:00",380,1000,"1",3,,"C",,,,,,,,
2421,40,"11/18/72 00:00:00","02/11/77 00:00:00",100,2000,"C15641",13,,"C",,,,,,,,
2446,127,"03/01/05 00:00:00","10/03/06 15:00:00",300,750,"1",6,"Courbe issue d'Hydro","C",,"12/03/14 09:18:00",,,,,,
730,37,"05/19/95 00:00:00","12/31/04 00:00:00",40,800,"2",22,,"C",,,,,,,,
735,41,"02/22/99 00:00:00","12/30/01 00:00:00",260,800,"8",10,,"C",,,,,,,,
751,41,"12/22/93 00:00:00","02/22/99 00:00:00",240,900,"7",11,,"C",,,,,,,,
752,9,"01/30/02 00:00:00","01/14/03 00:00:00",116,780,"4",11,,"C",,,,,,,,
760,8,"06/30/00 00:00:00","08/20/03 00:00:00",300,410,"4",16,,"C",,,,,,,,
828,53,"06/30/03 00:00:00","10/26/04 00:00:00",10,190,"4",7,,"C",,,,,,,,
834,40,"01/05/03 00:00:00","10/29/04 00:00:00",310,2000,"C25",14,,"C",,,,,,,,
863,124,"01/01/05 00:00:00","12/31/06 00:00:00",380,430,"1",3,,"C",,,,,,,,
885,9,"01/15/03 00:00:00","05/30/05 00:00:00",200,700,"5",9,,"C",,,,,,,,
