noct,ladate
3525,"02/10/16 09:30:00"
3572,"02/10/16 09:30:00"
3160,"02/06/80 00:00:00"
3662,"12/23/12 12:10:00"
3662,"12/21/10 10:51:00"
3691,"10/29/13 11:30:00"
3691,"12/18/12 10:55:00"
3691,"12/23/12 14:35:00"
3691,"01/07/11 10:15:00"
3691,"11/29/10 14:00:00"
3700,"10/29/13 11:30:00"
3700,"12/18/12 10:55:00"
3700,"12/23/12 14:35:00"
3700,"01/07/11 10:15:00"
3700,"11/29/10 14:00:00"
3701,"10/29/13 11:30:00"
3701,"12/18/12 10:55:00"
3701,"12/23/12 14:35:00"
3701,"01/07/11 10:15:00"
3701,"11/29/10 14:00:00"
3702,"10/29/13 11:30:00"
3702,"12/18/12 10:55:00"
3702,"12/23/12 14:35:00"
3702,"01/07/11 10:15:00"
3702,"01/05/18 11:15:00"
3702,"01/19/18 13:30:00"
3717,"12/09/10 14:19:00"
3717,"01/05/18 10:45:00"
3717,"12/22/10 13:20:00"
3717,"01/19/18 12:00:00"
3718,"12/09/10 14:19:00"
3718,"01/05/18 10:45:00"
3718,"12/22/10 13:20:00"
3718,"01/19/18 12:00:00"
3720,"12/22/10 13:20:00"
3720,"12/09/10 14:19:00"
3720,"02/27/97 00:00:00"
3724,"02/27/97 00:00:00"
3724,"01/19/18 12:00:00"
3724,"01/05/18 10:45:00"
3724,"12/22/10 13:20:00"
3724,"03/13/01 09:56:00"
3724,"06/06/16 12:20:00"
3724,"04/18/16 10:30:00"
3724,"12/23/12 13:50:00"
3724,"01/04/18 14:00:00"
3724,"02/02/18 10:50:00"
3724,"05/06/13 09:55:00"
3724,"01/17/18 13:00:00"
3724,"01/14/19 12:15:00"
3724,"02/25/16 12:30:00"
3724,"10/29/13 10:00:00"
3724,"01/06/14 10:50:00"
3724,"11/06/14 11:00:00"
3724,"02/08/01 14:52:00"
3724,"01/07/16 11:15:00"
3724,"03/27/08 13:15:00"
3724,"01/20/15 12:30:00"
3724,"01/29/19 10:45:00"
3724,"06/29/16 12:25:00"
3724,"03/31/15 11:30:00"
3724,"05/25/16 10:40:00"
3724,"05/16/19 11:50:00"
3724,"11/20/17 11:10:00"
3724,"02/28/17 11:10:00"
3724,"02/19/15 10:45:00"
3724,"03/28/18 11:05:00"
3724,"02/27/18 13:00:00"
3724,"03/27/17 10:00:00"
3724,"03/23/16 10:10:00"
3724,"05/16/18 12:10:00"
3724,"04/02/19 11:35:00"
3724,"04/27/18 10:15:00"
3724,"06/06/18 12:25:00"
3724,"02/27/19 11:00:00"
3724,"05/02/19 10:00:00"
3724,"12/05/19 13:00:00"
3724,"06/18/18 10:40:00"
3724,"04/24/17 10:00:00"
3724,"10/31/18 10:35:00"
3724,"11/15/19 13:00:00"
3724,"11/28/18 11:00:00"
3724,"01/09/17 11:00:00"
3724,"06/28/18 09:45:00"
3724,"08/02/18 10:00:00"
3724,"07/19/18 12:05:00"
3724,"10/24/18 10:00:00"
3724,"08/23/18 10:15:00"
3724,"07/26/18 12:10:00"
3724,"09/27/18 11:15:00"
3724,"09/20/19 10:00:00"
3724,"08/29/17 09:00:00"
3724,"12/09/10 14:19:00"
3734,"04/17/16 10:40:00"
3734,"12/08/10 08:53:00"
3734,"01/26/18 10:00:00"
3734,"02/10/16 11:30:00"
3734,"12/07/10 15:00:00"
3734,"12/23/12 09:40:00"
3734,"01/10/11 13:50:00"
3734,"12/11/17 14:30:00"
3734,"01/19/18 08:15:00"
3734,"01/05/18 15:15:00"
3743,"03/31/16 09:45:00"
3743,"05/01/16 09:15:00"
3743,"06/02/16 10:10:00"
3745,"02/06/17 12:40:00"
3745,"11/14/17 11:00:00"
3745,"01/15/19 10:00:00"
3745,"01/13/17 13:00:00"
3745,"01/05/16 10:45:00"
3745,"02/09/18 12:00:00"
3745,"03/30/16 12:30:00"
3745,"01/26/16 11:00:00"
3745,"05/10/16 10:00:00"
3745,"02/18/19 11:00:00"
3745,"05/06/19 11:15:00"
3745,"11/29/18 11:15:00"
3745,"08/29/17 09:40:00"
3745,"02/04/20 10:00:00"
3745,"01/05/18 09:30:00"
3745,"04/18/16 09:30:00"
3745,"12/12/17 11:10:00"
3745,"06/06/16 10:30:00"
3745,"02/11/16 10:30:00"
3745,"02/28/20 10:45:00"
3745,"01/04/18 14:00:00"
3745,"03/02/17 13:30:00"
3745,"02/15/16 12:35:00"
3745,"07/23/20 11:50:00"
4847,"04/11/83 12:00:00"
4868,"03/05/20 14:09:00"
4868,"02/07/22 10:30:00"
4868,"10/21/22 08:40:00"
4868,"06/07/18 12:20:00"
4868,"01/22/18 12:10:00"
4868,"01/05/12 11:30:00"
4868,"02/07/84 00:00:00"
4869,"03/05/20 14:09:00"
4869,"02/07/22 10:30:00"
4869,"10/21/22 08:40:00"
