nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,codehydro3,codesitehydro3,synchronisation
1,"A3792010","BEINHEIM","la Sauer",1020.447,2444.379,,530,"S","115680",3.75,1.03,19,26,30,"A3792010","
observations depuis le 26/10/64
zéro de l'échelle :renivelée le 22/06/1982 = 111.89 NGF rive gauche, puis renivelé le 23 juillet 2002 par géomètre expert Pierre-André BORD:=112.277
Adresse: pont de la Sauer à 1000 m env. du 60, rue principale
67930-BEINHEIM
Propriétaire du terrain : la commune de BEINHEIM
plan cadastral: section  ; parcelle 296 

appareil d'acquisition sur site installé le 23 octobre 2001.
Marque OTT: type NIMBUS n° 149987; MIDI n°166668.
La station a été modernisée en 2007 avec CPL + lpn/8 +modem waevcom
Tel : 06 77 07 81 61 

Jaugeages au saumon effectués à partir de 3 m au pont de la RN 63; LAMBERT X=1020-560;Y=1145-220

Responsable et gestionnaire de la station: Stephane LAPINE

SECURITE
L'accès de la station de mesure ce fait par un chemin de terre, il est relativement carrossable sauf par temps enneigé. Par temps humide il est également difficile de faire demi-tour car il y a un risque d'enlisement.
Le lieu est isolé et n'est fréquenté que par des chasseurs ou des paysans.
Echelle LIMNIMETRIQUE:
L'accès à l'échelle est difficile ainsi qu'au lit de la rivière.
Jaugeage au MOULINET:
Les jaugeages à gué se font  sans risques si la hauteur à l'échelle limnimétrique ne dépasse pas  120cm.
Jaugeage au SAUMON et au stream pro ADCP:
En cas de crue le pont de la station peut être innondé en conséquence,  la mesure au saumon se fait au niveau du village à l'intersection avec le pont de la RN 63.
Dans ce cas il faut mettre en oeuvre les feux spéciaux du camion et porter les vêtements à haute visibilité classe 3 ou 2.
Jaugeage ADCP/STREAM PRO:
En eau moyenne, le jaugeage est possible sans danger avec le stream pro.

RECOMMANDATIONS:
Nettoyage de l'échelle LIMNIMETRIQUE: Une perche telescopique munie d'une brosse est souhaitable.
Pour éviter la glissade et la chute, il serait souhaitable pour sécuriser l' accès à l'échelle et au lit, d'équiper la station d'un escalier en béton ou d'un autre support adapté au terrain.
Jaugeage au MOULINET: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, mettre les EPI.

GP
","05/12/05 00:00:00","10",,,,,,"07/06/23 16:12:00",,"A369011001","A3690110",
2,"A2702010","SAULXURES","la Bruche",956.612,2389.293,,39,"S","115680",0.9389999999999999,0.19,8,11,13,"A2702010","observations depuis le 01/09/1965
arrêtée le 08/01/2001
zéro de l'échelle jusqu'au 01/08/199 5: 425.015 m NGF
nouvelle échelle = pas nivelée
Adresse : rte de Senone(N424) première maison à droite 67420- SAINT BLAISE LA ROCHE

Historique des gestionnaire, si différent de DIREN Alsace : NON

Buts- vocation station : ..

---
EMPLACEMENT ET METHODES DE JAUGEAGE : en amont du pont et de l'emplacement de l'échelle limnimétrique.
(la dernière méthode utilisée) moulinet avec perche pirée

Etiage : moulinet c31

Eaux basses : moulinet c31

Eaux moyennes : adcp stream pro

Crues : saumon ; ADCP rio grande possible

---
---
ANALYSE QUALITE COURBES TARAGE : 
---
Jaug en crue ? OUI
Jaug étiage ? OUI
Jaug moyen ? OUI

T du jaug maxi (gumbel) : N.R.
T du jaug mini (débits classés) : N.R.
Incertitudes ? Habituelles (5%)

Courbe de tarage stable ? Non

Géométrie lit stable ? Non
Causes changement courbe ? Modifications progressives ( phénomènes lents d'alluvionnement)

EN CRUE :
Débordement en lit majeur ? non
Totalité débit mesuré ? oui
si non, estimation partie dérivée ?
Si débordement, cote de débordement ?
si oui, comment est prise en compte cela dans courbe ?

Présence ouvrage influençant écoulement et comment ? pendant une époque les pêcheurs alimentés leur étang en agissant une vanne situé à 50 m en aval de la station.

Existe t il un contrôle aval ? N.R.

Extrapolation courbe :
Quelle méthode employée ? depuis 1995 tracé assisté par le logiciel BAREME
Qualité globale de la partie extrapolée de la courbe ? bonne

EN ETIAGE :
Ecoulements influencés par des rejets ? non.

Gêne de l'écoulement par de la végétation, ou autre ? non.

Présence ouvrage influençant écoulement et comment ? N.R.

Existe t il un contrôle aval ? Non

Bilan sur Hydro : bon

Qualité des débits selon les années ? N.R.du 13 septembre 1965 à aujourd'hui il y a 457 jaugeages qui ont éét réalisés

Qualité des débits par gamme de débit ? N.R.

Etudes antérieures ayant étudié la qualité des courbes de tarage , réf ? N.R.
","10/18/99 00:00:00","10",,,,,,"02/04/25 16:28:00",,"A270011001","A2700110",
3,"A3151010","SCHWEIGHOUSE AMONT","moder",995.9450000000001,2438.879,,282,"S","115680",2.47,0.98,22,32,39,"A3151010","observations depuis le11/08/67
zéro de l'échelle = 146.416 NGF
Adresse:Tennis Club, rue des Sports
67590- SCHWEIGHOUSE
","10/18/99 00:00:00","10",,,,,,"02/04/25 16:29:00",,"A315010001","A3150100",
4,"A3301010","SCHWEIGHOUSE (AVAL)","La Moder",996.8390000000001,2438.573,953.2,622,"S","115680",5.58,2.38,44,65,79,"A3301010","Coordonnées LAMBERT Zone II étendu.
Plan cadastral: section 53, parcelle: 32. Propriétaire: Association foncière de remembrement (Mairie de Schweighouse).
Station ""ANNONCE DE CRUE"".
Observations depuis le 11/05/1966
Adresse: Station d'épuration 67590 SCHWEIGHOUSE
gestionnaire: Guillaume PHILIPPS

zéro de l'échelle = 143.904 NGF
Echelle limnimétrique: 3 m.
CR2M/SAB 600 - HDL N° 5984 (en attente sur le site)
Sonde
Abri: Type ""OTT R16"".
ALCYR: CYR 2/GSM n° 020111
Abri: GROLLEAU + panneau solaire
Depuis septembre 2006 la station est équipée pour l'AC par le matériel CPL PARATRONIC avec un capteur intelligent hydrologic type LPN/8 + moden RTC N°03 88 72 60 66.
Jaugeage de crue au saumon sur le pond de la D85.

SECURITE
L'accès de la station de mesure ce fait par un chemin de terre, il est relativement carrossable sauf par temps enneigé. Par temps humide il est également difficile de faire demi-tour car il y a un risque d'enlisement, par forte crue le chemin qui mène à la station peut-être innondée.

Jaugeage au MOULINET:
Les jaugeages à gué se font  sans risques spécifiques. 

Jaugeage au SAUMON
A partir du pont situé sur la D85, le danger est rél sur ce pont à grande circulation.

Jaugeage ADCP/STREAM PRO
A partir du pont situé sur la D85.


RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, revêtir les EPI.

Le TELEPHERIQUE SERVANT à RéALISER LES JAUGEAGES MOYENs a été en partie détrits en décembre 2010.","05/10/05 00:00:00","00",,,,,,"07/06/23 16:19:00",,"A330010001","A3300100",
5,"A0044000","BIETLENHEIM","Zorn",999.8,126.775,985.1,738,"S","115680",,,,,,"A0044000","Altitude du zéro de l'échelle: 132.15 NGF
","02/05/99 00:00:00",,,,,,,,,,,
6,"A0042300","KALTENHOUSE","MODER",,,,679,"S","115680",,,,,,"A0042300",,"12/24/98 00:00:00",,,,,,,"02/04/25 16:20:00",,"A331010001","A3310100",
7,"A0041000","INGWILLER","Moder",,,925.48,,"S","115680",,,,,,"A0041000",,"02/05/99 00:00:00",,,,,,,,,,,
8,"A0029000","FEGERSHEIM","ANDLAU",,,998.52,,"S","115680",,,,,,"A0029000","station RCS anciennement RNB","02/05/99 00:00:00","10",,,,,,"08/20/08 16:35:00",,,,
9,"A0030500","GEISPOLSHEIM","EHN",,,999.9299999999999,,"S","115680",,,,,,"A0030500",,"02/05/99 00:00:00",,,,,,,,,,,
10,"A0043500","HATTMATT","ZINSEL DU SUD",,,,,"S","115680",,,,,,"A0043500",,"02/05/99 00:00:00",,,,,,,,,,,
