noct,nopt,a,b,h0,hsup
3487,1,0,0,0,443
3487,2,7.852e-17,5,-921.2,804
3525,1,0,0,0,548
3525,2,6.287999999999999e-11,3.6756,115.2,1466
3525,3,0.0002411,1.7134,719.1,4291
3528,1,0,0,0,200
3528,2,1.309e-14,5,-246,343
3528,3,1.627e-09,3.3174,-93,528
3528,4,2.068e-05,1.9584,96,995
3528,5,0.003964,1.2861,466,1923
3528,6,0.004476,1.2949,661,3102
3528,7,7.517e-06,2.1414,893,3714
3532,1,0,0,0,147
3532,2,1.95e-05,1.9788,132,383
3532,3,0.004548,1.1042,240,1701
3560,1,0,0,0,-100
3560,2,0,0,-101,338
3560,3,2.371e-06,2.3303,307.1,1088
3568,1,0,0,0,-199
3568,2,4.707e-06,2.1804,-346.8,32
3568,3,2.396e-05,1.9897,-263.2,2966
3572,1,0,0,0,548
3572,2,5.256e-09,3.1104,242.5,1604
3572,3,0.8739,0.6318,1343,1855
3572,4,0.0004332,1.5305,-40.3,2377
3572,5,3.871e-05,1.8832,351,2606
3572,6,3.871e-05,1.8832,351,3400
3609,1,0,0,0,200
3609,2,2.101e-05,1.8958,55.6,546
3609,3,2.063e-09,3.106,-311.4,998
3609,4,0.0007602,1.4976,438.6,1943
3609,5,0.0002944,1.6245,423.6,3102
3609,6,7.517e-06,2.1414,893,3714
4586,1,0,0,0,-199
4586,2,5.949e-15,5,-730.8,108
4586,3,4.401e-05,1.92,-189.5,2966
4744,1,0,0,0,123
4744,2,1.657e-06,2.3918,123,460
4744,3,0.0001125,1.7184,177.7,1434
4774,1,0,0,0,-119
4871,1,0,0,0,120
1819,1,0,0,0,-200
1819,2,8.678e-08,2.5514,-526,200
1820,1,0,0,0,-196
1820,2,0.1136,0.1577,-196,400
2024,1,0,0,0,-93
2024,2,8.572e-06,2.0045,-932,56
2917,1,0,0,0,118
2917,2,0.001341,1.2553,78.40000000000001,1623
3045,1,0,0,0,305
3045,2,5.912000000000001e-07,2.4907,13,1002
3045,3,0.001382,1.4223,248,2810
3045,4,4.949e-06,2.1414,262,3700
3046,1,0,0,0,305
3046,2,5.912000000000001e-07,2.4907,13,1002
3046,3,0.001307,1.4223,217.8,3102
3046,4,7.516e-06,2.1414,892.5,3714
3048,1,0,0,0,-200
3048,2,0.001445,1.3097,-200,67
3048,3,3.129e-05,1.9562,-231.3,2566
3130,1,0,0,0,800
3130,2,0.0001346,1.7178,-423.3,1725
3133,1,0,0,0,800
3133,2,8.486e-05,1.742,-728.4,1717
3135,1,0,0,0,802
3135,2,1.37e-05,2.0128,-518.6,1650
3137,1,0,0,0,719
3137,2,8.88e-08,2.549,-1433.4,1688
3140,1,0,0,0,89
3140,2,0.002333,1.1575,85.2,484
3140,3,7.704e-10,3.1252,-605.3,1527
3168,1,0,0,0,200
3168,2,0.09994,1,0,2001
3405,1,0,0,0,191
3405,2,2.056e-06,2.3704,141.9,377
3405,3,0.004632,1.1042,263.7,1701
3420,1,0,0,0,359
3420,2,1.868e-05,1.9694,359,524
3420,3,5.407e-05,1.9095,413,2001
3420,4,2.86e-05,1.9766,301,2900
3454,1,0,0,0,60
3454,2,2.198e-05,1.9109,42.9,252
3454,3,0.001313,1.3383,155,594
3454,4,5.853e-16,5,-909.7,782
3454,5,0.6048,0.5004999999999999,603.1,932
3454,6,4.793e-08,2.5023,-1262.4,2100
3542,1,0,0,0,-122
3542,2,8.342e-15,5,-1028.3,412
3542,3,2.043,0.6181,225.7,794
3542,4,9.118e-06,2.1364,-1207.3,1323
3542,5,0.1959,1,455.2,1420
3542,6,0.3765,1,918,1505
3542,7,0.6289,1,1153.6,1602
3543,1,0,0,0,-122
3543,2,8.342e-15,5,-1028.3,412
3543,3,4.113,0.5099,268.8,791
3543,4,8.396999999999999e-06,2.1364,-1260.4,1948
3546,1,0,0,0,300
3546,2,4.516e-17,5,-2440.4,516
3546,3,3.403e-15,5,-729.5,770
3553,1,0,0,0,300
3553,2,5.599e-17,5,-2316,516
3553,3,6.464e-09,3.1922,-245.1,774
3553,4,0.06605,1.0109,406.3,1944
3581,1,0,0,0,149
3581,2,3.664e-07,2.644,115.3,384
3581,3,0.004608,1.1042,256.9,1701
4510,1,0,0,0,331
4510,2,7.711e-07,2.5715,331,543
4510,3,5.068e-05,1.9128,393,2900
4553,1,0,0,0,147
3184,1,0,0,0,200
3184,2,0.004486,1,122.2,305
3184,3,7.754000000000001e-05,1.7711,117.9,995
3184,4,0.003964,1.2861,466.4,1923
3184,5,0.004476,1.2949,661,3102
3184,6,7.517e-06,2.1414,893,3714
4639,1,0,0,0,763
4639,2,0.002474,1.4014,184,3001
4647,1,0,0,0,0
4647,2,0,0,-1,54
4647,3,0.001,0,53,58
4647,4,2.405e-05,1.9359,51.1,190
4647,5,6.8e-05,1.7612,64.5,593
4647,6,6.553e-16,5,-861.6,780
4647,7,0.6287,0.5004999999999999,627.6,932
4647,8,4.793e-08,2.5023,-1262.4,2100
3220,1,0,0,0,549
3220,2,3.952e-06,2.1095,-914.4,1751
3422,1,0,0,0,-31
3422,2,9.261999999999999e-16,5,-31,262
3422,3,2.606e-11,5,224.2,309
3422,4,1.046e-11,3.9618,-32.7,337
3422,5,1.046e-11,3.9618,-32.7,1090
3422,6,1.027e-06,2.3825,142,2902
3423,1,0,0,0,-149
3423,2,2.222e-05,1,-149,526
3423,3,0.0002406,1.519,510.8,654
3423,4,0.001532,1.5025,609.9,935
3423,5,0.0002388,1.6953,431,1996
3423,6,4.204e-05,1.8991,222,2972
3426,1,0,0,0,0
3426,2,0.0001538,1,0,312
3426,3,0.0003557,1.4564,283,543
3426,4,0.0001482,1.6503,313,752
3426,5,0.0006165,1.5783,517.3,1978
3426,6,4.217e-05,1.8991,226.5,2972
3427,1,0,0,0,159
3427,2,2.584e-12,4.282,-10.2,566
3427,3,0.0001036,1.7953,342.4,1978
3427,4,4.217e-05,1.8991,226.5,2972
3428,1,0,0,0,-121
3428,2,0,0,-122,203
3428,3,9.071e-06,2.0441,193,556
3428,4,2.978e-12,4.0706,-200,881
3428,5,0.0002413,1.6986,470,2299
3428,6,0.000107,1.7936,370,2972
3538,1,0,0,0,296
3538,2,0.007788,1,-869.8,504
3538,3,0.05109,1,294.6,641
3538,4,0.04588,1.0609,366.8,1993
3538,5,0.1299,1,1092.1,2147
3538,6,0.1404,1,1170.9,2261
3538,7,4.75e-16,5,-915.8,2384
3553,5,0.1342,1,1124.2,2257
3553,6,4.574e-16,5,-936.8,2385
3553,7,5.309e-15,5,350.6,2584
4745,1,0,0,0,821
4745,2,0.06991,1.062,602,2400
4847,1,0,0,0,763
4847,2,0.002474,1.4014,184,3001
3538,8,4.985e-15,5,322.1,2512
3538,9,0.001112,1.8618,1762.8,2818
3546,4,0.07183,1,410.8,2708
3553,8,2.691e-05,2.3369,1553.1,2816
3560,4,0.0002651,1.6887,487.6,2993
4623,1,0,0,0,152
4623,2,5.981e-06,2.0331,106.6,220
4623,3,0.0004714,1.4487,182.5,383
4623,4,0.004581,1.1042,249,1701
4631,1,0,0,0,151
4631,2,4.102e-05,1.6816,-28,676
3646,1,0,0,0,399
3646,2,0.0002408,1.731,371,546
3646,3,0.278,0.5004999999999999,503,739
3646,4,3.452e-07,2.2814,-547,2104
3681,1,0,0,0,59
3681,2,9.736000000000001e-07,2.2814,-318.5,2477
3682,1,0,0,0,141
