nosta,ladate,valeur
123,"07/16/07 14:00:00",-405
123,"08/10/07 12:00:00",-385
123,"09/11/07 12:00:00",-155
123,"10/09/07 12:00:00",-230
123,"11/08/07 12:00:00",-170
123,"12/06/07 12:00:00",-100
123,"01/08/08 12:00:00",-45
123,"01/29/08 12:00:00",-5
123,"02/13/08 12:00:00",0
123,"03/06/08 12:00:00",5
123,"04/03/08 12:00:00",0
123,"05/06/08 12:00:00",0
123,"06/06/08 12:00:00",-85
123,"07/16/08 12:00:00",-90
123,"08/12/08 12:00:00",-165
123,"09/23/08 12:00:00",-140
123,"10/09/08 12:00:00",-160
123,"11/12/08 12:00:00",-100
123,"12/04/08 12:00:00",-195
123,"01/15/09 12:00:00",-105
123,"02/12/09 14:00:00",0
123,"03/12/09 14:00:00",10
123,"04/09/09 11:00:00",10
123,"05/07/09 11:00:00",-80
123,"06/11/09 11:00:00",-80
123,"07/15/09 11:00:00",-65
123,"08/11/09 12:00:00",-135
123,"09/15/09 12:00:00",-215
123,"10/19/09 14:00:00",-145
123,"11/10/09 12:20:00",-70
123,"12/08/09 14:00:00",-35
123,"01/12/10 11:00:00",50
123,"02/11/10 11:00:00",0
123,"03/09/10 10:30:00",40
123,"04/15/10 10:10:00",0
123,"05/11/10 09:50:00",-30
123,"06/15/10 12:20:00",-60
123,"07/15/10 11:15:00",-125
123,"08/24/10 08:30:00",-100
123,"09/09/10 10:00:00",-50
123,"10/14/10 09:30:00",-30
123,"11/16/10 11:00:00",-25
123,"12/15/10 08:00:00",20
123,"01/25/11 10:00:00",35
123,"02/10/11 10:00:00",20
123,"03/15/11 10:00:00",0
123,"04/14/11 10:00:00",0
123,"05/12/11 10:00:00",-10
123,"05/31/11 15:30:00",-10
123,"06/16/11 10:00:00",50
123,"07/13/11 10:00:00",45
123,"08/12/11 10:00:00",-30
123,"09/21/11 12:30:00",-40
123,"10/12/11 10:00:00",-15
123,"11/09/11 08:30:00",-15
123,"11/12/11 07:30:00",-106
123,"11/17/11 06:30:00",-106
123,"12/15/11 10:00:00",-80
123,"01/12/12 10:00:00",-50
123,"02/15/12 09:00:00",-85
123,"03/08/12 12:00:00",0
119,"05/30/09 12:00:00",0
119,"06/11/09 13:00:00",-10
119,"07/15/09 13:00:00",-25
119,"08/11/09 14:00:00",-15
119,"08/30/09 15:30:00",-15
119,"08/30/09 18:00:00",-35
119,"09/15/09 14:00:00",-45
119,"09/30/09 18:00:00",-50
119,"10/19/09 13:25:00",-60
119,"10/19/09 13:30:00",-15
119,"10/29/09 10:00:00",-15
119,"11/06/09 11:00:00",-20
119,"11/10/09 13:30:00",-20
119,"11/10/09 13:35:00",0
119,"11/28/09 00:00:00",0
119,"12/08/09 10:00:00",-15
119,"12/08/09 10:05:00",0
119,"01/01/10 00:00:00",0
119,"03/01/10 10:00:00",15
119,"04/15/10 09:00:00",10
119,"05/11/10 11:00:00",10
119,"06/15/10 13:00:00",5
119,"07/15/10 12:30:00",10
119,"08/18/10 08:00:00",0
119,"09/09/10 09:00:00",15
119,"11/16/10 12:00:00",10
119,"12/14/10 13:00:00",10
119,"06/13/11 11:30:00",0
119,"07/13/11 12:30:00",-20
119,"08/01/11 13:30:00",-10
119,"08/11/11 11:30:00",-10
119,"09/21/11 12:00:00",-15
119,"10/12/11 09:00:00",-20
119,"11/17/11 10:30:00",0
119,"02/15/12 10:00:00",0
119,"02/29/12 12:00:00",-10
119,"03/14/12 09:00:00",-10
119,"04/12/12 12:00:00",-10
119,"05/15/12 11:00:00",-10
2,"05/10/92 05:25:00",-60
2,"05/11/92 06:15:00",-60
2,"05/12/92 08:00:00",-70
2,"05/13/92 05:39:00",-70
2,"05/14/92 04:36:00",-80
2,"05/15/92 04:39:00",-80
2,"05/15/92 07:22:00",-90
2,"06/29/92 05:45:00",-250
2,"08/01/92 09:56:00",-220
2,"08/12/92 11:21:00",-180
2,"08/19/92 15:10:00",-90
2,"08/21/92 13:06:00",-90
2,"08/22/92 00:02:00",-80
2,"08/25/92 22:06:00",-80
2,"08/26/92 12:33:00",-70
2,"08/29/92 06:28:00",-70
2,"08/30/92 12:46:00",-60
2,"09/02/92 08:54:00",-60
2,"09/04/92 09:04:00",-50
2,"09/06/92 04:17:00",-50
2,"09/07/92 19:09:00",-40
2,"09/11/92 03:57:00",-40
2,"09/14/92 16:53:00",-30
2,"09/19/92 22:10:00",-30
2,"09/21/92 18:54:00",-20
2,"10/01/92 22:49:00",-20
2,"10/02/92 08:42:00",-10
2,"10/15/92 19:12:00",-10
2,"10/17/92 05:23:00",0
2,"05/01/93 22:01:00",0
2,"05/02/93 02:11:00",-10
2,"05/03/93 23:38:00",-10
2,"05/04/93 02:22:00",-20
2,"05/05/93 23:57:00",-20
2,"05/06/93 02:28:00",-30
2,"05/08/93 16:32:00",-40
2,"05/09/93 22:47:00",-40
2,"05/10/93 01:55:00",-50
2,"05/11/93 05:34:00",-50
2,"05/12/93 05:38:00",-60
2,"05/12/93 22:12:00",-60
2,"05/13/93 06:18:00",-70
2,"05/13/93 14:29:00",-70
2,"06/09/93 11:21:00",-270
2,"06/20/93 12:38:00",-310
2,"08/09/93 04:32:00",-250
2,"08/30/93 11:31:00",-180
2,"10/19/93 15:40:00",-190
2,"11/08/93 04:10:00",-110
2,"11/23/93 16:36:00",-100
2,"11/23/93 18:12:00",-90
2,"11/30/93 23:19:00",-90
2,"12/08/93 04:04:00",-80
2,"12/08/93 09:48:00",-90
2,"12/19/93 15:36:00",-220
2,"12/30/93 22:42:00",-180
2,"01/07/94 03:30:00",-110
2,"01/13/94 22:01:00",-90
2,"01/14/94 04:24:00",-80
2,"01/16/94 20:09:00",-80
2,"01/17/94 01:03:00",-70
2,"01/19/94 14:25:00",-70
2,"01/19/94 21:30:00",-60
2,"01/22/94 09:15:00",-60
2,"01/22/94 22:20:00",-50
2,"02/01/94 18:44:00",-50
2,"02/02/94 02:11:00",-40
2,"02/14/94 12:28:00",-40
2,"02/15/94 06:36:00",-30
2,"02/22/94 13:47:00",-30
2,"02/22/94 17:18:00",-20
2,"03/01/94 21:59:00",-20
2,"03/02/94 13:36:00",-10
2,"03/09/94 18:44:00",-10
2,"03/10/94 03:28:00",0
2,"03/17/94 22:49:00",0
2,"03/18/94 04:49:00",-10
2,"03/25/94 23:12:00",-10
2,"03/26/94 05:00:00",-20
2,"04/10/94 11:22:00",-20
2,"04/10/94 14:13:00",-30
2,"04/23/94 08:54:00",-30
2,"04/23/94 12:46:00",-40
2,"04/26/94 04:55:00",-40
2,"04/26/94 22:47:00",-50
2,"04/29/94 04:45:00",-50
2,"04/29/94 23:31:00",-60
2,"05/02/94 01:52:00",-60
2,"05/03/94 00:07:00",-70
2,"05/04/94 13:55:00",-70
2,"05/20/94 16:43:00",-170
2,"05/21/94 07:14:00",-150
2,"05/23/94 07:17:00",-130
2,"06/06/94 20:38:00",-170
2,"07/12/94 14:29:00",-300
2,"10/10/94 04:39:00",-90
2,"10/11/94 06:25:00",-50
2,"10/12/94 02:47:00",-50
2,"10/13/94 00:48:00",-60
2,"10/14/94 17:22:00",-60
2,"10/17/94 02:28:00",-80
2,"10/20/94 19:23:00",-70
2,"10/28/94 02:03:00",-60
2,"10/29/94 02:58:00",-70
2,"11/02/94 06:46:00",-70
2,"11/03/94 03:01:00",-60
2,"11/08/94 03:28:00",-60
2,"11/08/94 06:28:00",-70
2,"11/14/94 08:06:00",-70
2,"11/14/94 18:31:00",-80
2,"11/20/94 15:28:00",-80
2,"11/21/94 00:53:00",-70
2,"11/24/94 09:41:00",-70
2,"11/28/94 13:30:00",-60
2,"12/01/94 09:12:00",-60
2,"12/02/94 03:30:00",-50
2,"12/06/94 13:06:00",-50
2,"12/07/94 00:41:00",-40
2,"12/11/94 23:05:00",-40
2,"12/12/94 05:29:00",-30
2,"12/17/94 08:03:00",-30
2,"12/18/94 00:40:00",-20
2,"12/22/94 22:16:00",-20
2,"12/25/94 00:27:00",-10
2,"12/28/94 07:06:00",-10
2,"12/28/94 08:16:00",0
2,"01/13/95 23:09:00",0
2,"01/14/95 12:15:00",-10
2,"01/22/95 11:34:00",-10
2,"01/22/95 16:37:00",0
2,"05/01/95 16:22:00",0
2,"05/01/95 23:08:00",-10
