numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
-1,"---Courantomètre---",,0.1,,,,,,,,,,
15,"1-45120",2.73,0.0593,0.024,6.67,0.0571,0.03,,0.0535,0.054,,,
16,"1-76847   Saumon 25kg",,0.2556,0.008,,,,,,,,,
18,"3-99546",0.6,0.2295,0.023,,0.253,0.008999999999999999,,,,,,
19,"2-9662  Saumon 25kg",0.47,0.4873,0.014,,0.515,0.001,,,,,,
20,"2-62690",6.52,0.1041,0.013,,0.1018,0.028,,,,,,
21,"1-96963",1.91,0.0659,0.014,9.41,0.0565,0.032,,0.0531,0.064,,,
22,"2-114397",,0.1031,0.02,,,,,,,,,
23,"6-010074",1.23,0.0895,0.0561,,0.1026,0.04,,,,,,
24,"3-22971",0.6,0.238,0.016,,0.258,0.004,,,,,,
25,"2-220 250 125",1.34,0.2569,0.0058,3.95,0.2487,0.0168,,0.2547,0,,,
26,"5-9245",5.88,0.0577,0.033,,0.056,0.043,,,,,,
27,"3-119297",0.14,0.9059,0.026,0.55,1.0206,0.01,,1.0388,0,,,
28,"1-965",0.4,0.2917,0.0138,,0.3203,0.0024,,,,,,
29,"1-60956",0.63,0.2435,0.016,,0.2595,0.006,,,,,,
30,"9662/1a'  Saumon 25kg",,0.2597,0.006,,,,,,,,,
31,"1/35384   Saumon 25kg",0.62,0.2475,0.013,,0.2605,0.005,,,,,,
32,"2-9662 Saumon 50kg",0.45,0.4492,0.03,,0.5178,-0.001,,,,,,
33,"1-34003 Saumon 25kg",0.7,0.2491,0.015,,0.2619,0.006,,,,,,
34,"9662/1a'          saumon 50kg",0.72,0.2477,0.014,,0.2616,0.004,,,,,,
35,"76847/1        saumon 50kg",0.67,0.2471,0.014,,0.2575,0.007,,,,,,
36,"3/12423",0.5600000000000001,0.2317,0.021,,0.2569,0.007,,,,,,
37,"2/137622   saumon 50kg",0.36,0.4967,0.007,4.8,0.5214,0.002,,0.5206,0.003,,,
38,"1-12621 Saumon 50kg",1.11,0.255,0.01,,0.2613,0.003,,,,,,
39,"3-5084 Saumon 50kg",0.38,0.488,0.014,,0.52,0.002,,,,,,
40,"3-3361   Perche",2.94,0.1235,0.026,,0.1201,0.036,,,,,,
41,"2/137622",0.44,0.4912,0.012,,0.5183,0.001,,,,,,
42,"1-169241remplacée par 420",2.9,0.062,0.014,8.18,0.0558,0.032,,0.0536,0.05,,,
43,"2-123162",1.54,0.1061,0.01,,0.1035,0.014,,,,,,
44,"3-171786 remplacée par 440",0.82,0.2394,0.018,,0.2576,0.003,,,,,,
45,"3/9245",0.87,0.2484,0.011,,0.253,0.007,,,,,,
46,"1-3/12423",1.71,0.0613,0.027,8.67,0.0572,0.034,,0.0557,0.047,,,
1468,"1-14410 du 67",0.6,0.2493,0.016,,0.2593,0.01,,,,,,
47,"2-23998",5.33,0.1039,0.011,13.13,0.1024,0.019,,0.1008,0.04,,,
48,"3-55602",0.86,0.2337,0.019,6.47,0.2547,0.001,,0.253,0.012,,,
109,"2-21 811 (hélice 67)",3.24,0.1078,0.012,,0.1041,0.024,,,,,,
49,"1/383735",2.56,0.06370000000000001,0.016,12.1,0.0555,0.037,,0.0536,0.06,,,
1,"Sarre 1-120919 remplacée 401",2.42,0.0626,0.015,7.58,0.0564,0.03,17.84,0.0531,0.055,,0,0
2,"Sarre 2-141556 remplacée 402",0.96,0.0978,0.021,19.29,0.103,0.016,,0,0,,,
3,"Sarre 3-121044 remplacée 403",0.5600000000000001,0.2226,0.025,9.710000000000001,0.255,0.007,,0,0,,,
4,"SAUMON C31 2-135117",0.26,0.478,0.013,4.62,0.5199,0.002,0,0,0,,0,0
5,"SAUMON C31 1-132931",0.71,0.2466,0.016,9.050000000000001,0.2663,0.002,,0,0,,,
6,"SAUMON C31 4-142065",1.48,0.1292,0.028,18.48,0.1346,0.02,,0,0,,,
7,"1-45120",2.73,0.0593,0.024,6.67,0.0571,0.03,,0.0535,0.054,,,
8,"2-62690",6.52,0.1041,0.013,,0.1018,0.028,,,,,,
9,"3-99546",0.6,0.2295,0.023,,0.253,0.008999999999999999,,,,,,
10,"1a'-9662 Saumon 50kg",0.72,0.2477,0.014,,0.2616,0.004,,,,,,
11,"2-9662 Saumon 50kg",0.45,0.4492,0.03,,0.5178,-0.001,,,,,,
