noct,nopt,h,q
216,1,150,0.079999998
216,2,250,0.25999999
216,3,300,0.41
216,4,340,0.58999997
216,5,360,0.70999998
216,6,370,0.77999997
216,7,380,0.85000002
216,8,430,1.25
216,9,500,1.95
216,10,600,3.0999999
217,1,160,0.28
217,2,280,0.57999998
217,3,320,0.74000001
217,4,390,1.16
217,5,420,1.4
217,6,430,1.5
217,7,440,1.62
217,8,460,1.9
217,9,500,2.5
217,10,600,4.1999998
217,11,1000,11
217,12,1500,21
220,1,100,0.60000002
220,2,120,0.69999999
220,3,150,0.91000003
220,4,200,1.36
220,5,300,2.46
220,6,320,2.7
220,7,350,3.3
220,8,650,10.2
220,9,950,17.700001
221,1,100,0.60000002
221,2,120,0.69999999
221,3,150,0.91000003
221,4,200,1.36
221,5,220,1.58
221,6,250,1.9400001
221,7,310,2.9000001
221,8,390,4.5
221,9,470,6.5
221,10,570,9.1999998
221,11,670,12
221,12,770,15
221,13,970,23
221,14,1100,29.5
223,1,100,0.25999999
223,2,120,0.28999999
223,3,140,0.34
223,4,160,0.41
223,5,180,0.5
223,6,200,0.61000001
223,7,220,0.73000002
223,8,230,0.80000001
223,9,280,1.2
223,10,380,2.0999999
223,11,500,3.3
223,12,700,5.6999998
224,1,50,0.17
224,2,80,0.25999999
224,3,120,0.40000001
224,4,160,0.56
224,5,180,0.66000003
224,6,240,1.14
224,7,290,1.59
224,8,320,1.92
224,9,360,2.48
224,10,400,3.0799999
224,11,440,3.8
224,12,500,5
224,13,570,6.5209999
224,14,800,12.5
224,15,1100,21.5
226,1,400,6
226,2,500,8
226,3,550,9.1999998
226,4,600,10.7
226,5,700,14
226,6,1100,28
226,7,1300,36
226,8,1700,54
226,9,1900,64
227,1,400,6
227,2,520,7.4400001
227,3,600,8.8000002
227,4,650,10.2
227,5,1170,31
227,6,1510,46.299999
227,7,1770,60.599998
227,8,1900,68.400002
227,9,2050,78.900002
227,10,2240,94.099998
227,11,2350,104
227,12,2650,134
227,13,3000,176
229,1,100,0.1
229,2,150,0.2
229,3,200,0.34999999
229,4,400,1.15
229,5,450,1.4
229,6,600,2.3
229,7,800,3.7
231,1,250,0.1
231,2,270,0.15000001
231,3,300,0.23999999
231,4,330,0.36000001
231,5,360,0.50999999
231,6,400,0.75
231,7,450,1.25
231,8,500,1.85
231,9,1150,10.3
231,10,1500,17.299999
232,1,200,0.0049999999
232,2,240,0.0089999996
232,3,260,0.015
232,4,310,0.059999999
232,5,330,0.1
232,6,340,0.13
232,7,380,0.38999999
232,8,400,0.55000001
232,9,450,1
232,10,500,1.6
232,11,700,4.4000001
232,12,780,5.5999999
232,13,850,7
232,14,950,9.3000002
232,15,1250,16.799999
232,16,1800,33.299999
233,1,300,0.1
233,2,350,0.25
233,3,400,0.60000002
233,4,450,1
233,5,550,2
233,6,650,3.2
233,7,900,7
233,8,1000,8.8000002
233,9,1300,14.8
233,10,1500,19.6
233,11,1600,22.200001
233,12,1700,25
233,13,2000,34
235,1,50,0.1
235,2,60,0.15000001
235,3,70,0.22
235,4,80,0.31
235,5,100,0.55000001
235,6,120,0.82999998
235,7,140,1.15
235,8,160,1.49
235,9,180,1.85
235,10,200,2.23
235,11,210,2.4300001
235,12,270,3.75
235,13,500,9.5
237,1,210,0.059999999
237,2,250,0.16
237,3,360,0.49000001
237,4,500,1.05
237,5,600,1.55
238,1,160,0.0049999999
238,2,170,0.011
238,3,180,0.02
238,4,190,0.029999999
238,5,210,0.059999999
238,6,250,0.16
238,7,300,0.31
238,8,420,0.73000002
238,9,500,1.05
238,10,600,1.55
241,1,100,0.60000002
241,2,150,1
241,3,200,1.5
241,4,250,2.0999999
241,5,300,2.8499999
241,6,350,3.8499999
241,7,400,5.0999999
241,8,450,6.5999999
241,9,500,8.6000004
241,10,600,13.6
241,11,700,19
241,12,800,25
242,1,60,0.5
242,2,100,0.69999999
242,3,130,0.97000003
242,4,160,1.36
242,5,180,1.64
242,6,250,2.76
242,7,280,3.3599999
242,8,350,4.9000001
242,9,400,6.5
242,10,500,10.5
242,11,1200,45.5
243,1,50,0.1
243,2,60,0.15000001
243,3,70,0.22
243,4,90,0.40000001
243,5,150,1
243,6,200,1.75
243,7,250,2.75
243,8,300,4
243,9,350,5.5
243,10,400,7.25
243,11,450,9.25
243,12,500,11.5
243,13,600,16.5
243,14,800,27
244,1,50,0.1
244,2,60,0.15000001
244,3,70,0.22
244,4,90,0.40000001
244,5,150,1
244,6,200,1.75
244,7,250,2.75
244,8,300,4
244,9,350,5.5
244,10,450,9
244,11,2400,87
245,1,50,0.23999999
245,2,110,0.60000002
245,3,160,0.94999999
245,4,190,1.4
245,5,220,2
245,6,280,3.5
245,7,300,4.1999998
245,8,1000,32.200001
247,1,150,0.13
247,2,170,0.18000001
247,3,200,0.30000001
247,4,250,0.60000002
247,5,450,2.4000001
247,6,700,4.9000001
248,1,150,0.30000001
248,2,170,0.37
248,3,190,0.52999997
248,4,220,0.80000001
248,5,1000,8.6000004
249,1,150,0.34999999
249,2,160,0.41999999
249,3,180,0.57999998
249,4,190,0.68000001
249,5,200,0.79000002
249,6,210,0.92000002
249,7,220,1.0700001
249,8,230,1.24
249,9,240,1.4299999
249,10,250,1.64
251,1,30,0
251,2,40,0.001
251,3,50,0.003
251,4,60,0.0070000002
251,5,70,0.012
251,6,80,0.018999999
251,7,90,0.028000001
251,8,100,0.039999999
251,9,120,0.07
251,10,140,0.11
251,11,180,0.20999999
251,12,220,0.33000001
251,13,260,0.47
251,14,280,0.55000001
251,15,340,0.81999999
251,16,380,1.02
251,17,530,1.9299999
251,18,600,2.4200001
284,1,250,0.12
284,2,260,0.18000001
284,3,280,0.34
284,4,300,0.54000002
284,5,330,0.89999998
284,6,400,1.95
284,7,440,2.75
284,8,550,5.5
284,9,650,8.5
284,10,750,12
284,11,850,16
284,12,950,20.5
284,13,1100,28
284,14,1200,34
284,15,1300,41
284,16,1400,50
284,17,1500,61
284,18,1600,74
284,19,1700,89
284,20,1800,106
284,21,1900,125
326,1,0,0
326,2,20,0.015
326,3,40,0.039999999
326,4,60,0.07
326,5,70,0.090000004
326,6,80,0.12
326,7,100,0.18000001
326,8,120,0.25999999
326,9,140,0.34999999
326,10,160,0.44999999
326,11,180,0.56
326,12,200,0.68000001
326,13,250,1.04
326,14,300,1.48
326,15,350,2
326,16,400,2.6500001
326,17,450,3.4000001
326,18,500,4.1999998
326,19,1000,13.2
333,1,0,0
333,2,50,0.025
333,3,70,0.050000001
333,4,120,0.15000001
333,5,140,0.20999999
333,6,160,0.28999999
333,7,200,0.49000001
333,8,250,0.79000002
333,9,300,1.14
333,10,350,1.54
333,11,390,1.9
333,12,1000,8
3362,1,200,0
3362,2,210,0.02
3362,3,240,0.11
3362,4,250,0.15000001
3362,5,280,0.30000001
3362,6,300,0.41999999
3362,7,330,0.63
3362,8,340,0.70999998
3362,9,370,0.98000002
3362,10,390,1.1799999
3362,11,410,1.38
3362,12,420,1.5
361,1,0,0
361,2,60,0
361,3,70,0.001
361,4,80,0.0020000001
361,5,100,0.0070000002
361,6,110,0.011
361,7,120,0.017000001
361,8,150,0.041000001
361,9,160,0.050000001
361,10,400,0.28999999
361,11,450,0.38999999
362,1,0,0
362,2,60,0
362,3,80,0.0020000001
362,4,90,0.0040000002
362,5,100,0.0099999998
362,6,150,0.055
362,7,180,0.1
362,8,220,0.168
362,9,260,0.23999999
362,10,300,0.31999999
362,11,350,0.44999999
362,12,400,0.62
362,13,500,1.05
362,14,600,1.7
362,15,700,2.5999999
362,16,800,3.8
363,1,0,0
363,2,90,0
363,3,110,0.0020000001
363,4,130,0.0060000001
363,5,140,0.0099999998
363,6,150,0.015
363,7,200,0.055
363,8,250,0.11
363,9,300,0.2
363,10,350,0.31
363,11,400,0.5
363,12,500,1.05
363,13,800,3
363,14,1000,4.4000001
364,1,0,0
364,2,40,0
364,3,60,0.0020000001
364,4,80,0.0099999998
364,5,100,0.02
364,6,150,0.059999999
364,7,190,0.1
364,8,250,0.19
364,9,300,0.28999999
364,10,350,0.44
364,11,390,0.60000002
364,12,450,0.89999998
364,13,600,1.8
364,14,800,3.2
365,1,0,0
365,2,40,0
365,3,60,0.0020000001
365,4,80,0.0099999998
365,5,100,0.024
365,6,120,0.041999999
365,7,160,0.082000002
365,8,180,0.11
365,9,200,0.15000001
365,10,260,0.30000001
365,11,320,0.47999999
365,12,400,0.80000001
365,13,500,1.3
366,1,40,0.029999999
366,2,50,0.039999999
366,3,80,0.1
366,4,100,0.16
366,5,140,0.30000001
366,6,180,0.47
366,7,220,0.67000002
366,8,260,0.88999999
366,9,400,1.73
367,1,40,0.029999999
367,2,50,0.050000001
367,3,80,0.14
367,4,100,0.20999999
