nosec,snoptsec,sabsc,scoteinf,scotesup
4,1,0,39850,39940
4,2,3000,39800,
4,3,3060,39715,
4,4,3100,39711,
4,5,3190,39706,
4,6,3300,39700,
4,7,3460,39692,
4,8,3630,39689,
4,9,3750,39684,
4,10,3870,39684,
4,11,4020,39690,
4,12,4140,39696,
4,13,4280,39698,
4,14,4440,39703,
4,15,4560,39702,
4,16,4650,39703,
4,17,4720,39715,
4,18,4770,39715,
4,19,4820,39765,39940
17,1,0,56883,57100
17,2,15,56883,
17,3,40,56884,
17,4,80,56883,
17,5,110,56883,
17,6,160,56882,
17,7,220,56888,
17,8,260,56892,
17,9,310,56898,
17,10,340,56901,
17,11,400,56904,
17,12,450,56914,
17,13,500,56934,
17,14,550,56950,57100
21,1,0,39692,39836
21,2,40,39694,
21,3,50,39677,
21,4,120,39681,
21,5,200,39683,
21,6,280,39690,
21,7,350,39695,
21,8,420,39704,
21,9,450,39707,
21,10,500,39729,
21,11,520,39729,39836
28,1,0,20400,20400
28,2,900,20192,
28,3,1050,20161,20354
28,4,1150,20161,20354
28,5,1600,20155,
28,6,2250,20165,20354
28,7,2350,20165,20354
28,8,3300,20161,
28,9,3400,20135,
28,10,3500,20035,20354
28,11,3600,19950,20354
28,12,3650,19939,
28,13,3750,19878,
28,14,4050,19865,
28,15,4350,19855,
28,16,4500,19847,
28,17,4650,19857,20354
28,18,4750,19857,20354
28,19,4900,19853,
28,20,5200,19855,
28,21,5550,19864,
28,22,5650,19887,
28,23,5800,19942,20354
28,24,5950,20047,20356
28,25,6100,20112,
28,26,6200,20133,
28,27,6600,20136,
28,28,7050,20132,20354
28,29,7150,20132,20354
28,30,7700,20131,
28,31,8250,20157,20354
28,32,8350,20181,20354
28,33,8500,20206,
28,34,8650,20255,
28,35,8850,20346,
28,36,8900,20380,20380
31,1,0,29489,29700
31,2,20,29489,
31,3,50,29482,
31,4,120,29482,
31,5,190,29483,
31,6,250,29482,
31,7,310,29483,
31,8,390,29480,
31,9,440,29487,
31,10,480,29480,
31,11,520,29488,
31,12,550,29488,29700
34,7,700,38714,
34,8,900,38715,
34,9,1200,38710,
34,10,1500,38708,
34,11,1900,38709,
34,12,2150,38721,
34,13,2300,38725,
34,14,2430,38725,
34,15,2440,38828,
34,16,2540,38832,
34,17,2650,38867,
34,18,2750,38918,
34,19,2800,38959,
34,20,2900,39005,
34,21,3000,39030,
34,22,3200,39065,39065
34,1,0,38972,39065
34,2,200,38943,
34,3,300,38883,
34,4,400,38833,
34,5,480,38728,
34,6,550,38707,
36,1,0,24764,24764
36,2,150,24647,
36,3,300,24623,
36,4,500,24601,
36,5,600,24580,
36,6,750,24580,
36,7,895,24580,
36,8,900,24552,
36,9,1050,24552,
36,10,1100,24572,
36,11,1250,24555,
36,12,1300,24535,
36,13,1350,24530,
36,14,1500,24513,
36,15,1650,24509,
36,16,1850,24505,
36,17,2100,24504,
36,18,2400,24499,
36,19,2600,24502,
36,20,2750,24519,
36,21,2880,24532,
36,22,2885,24593,
36,23,3000,24551,
36,24,3150,24575,
36,25,3250,24596,
36,26,3300,24612,
36,27,3450,24642,
36,28,3700,24658,
36,29,4095,24657,
36,30,4100,24707,
36,31,4120,24707,
36,32,4125,24657,
36,33,4450,24657,24764
39,1,0,22367,22367
39,2,100,22357,
39,3,800,22328,
39,4,1700,22327,
39,5,2400,22313,
39,6,3500,22304,
39,7,4300,22282,
39,8,4500,22181,
39,9,4600,22088,
39,10,4700,22072,
39,11,4800,22054,
39,12,5000,22050,
39,13,5300,22058,
39,14,5500,22067,
39,15,5800,22074,
39,16,6100,22073,
39,17,6400,22059,
39,18,6600,22055,
39,19,6800,22066,
39,20,7000,22081,
39,21,7200,22108,
39,22,7300,22131,
39,23,7600,22134,
39,24,8000,22162,
39,25,8400,22161,
39,26,8600,22176,
39,27,8750,22215,
39,28,8900,22251,
39,29,9000,22325,
39,30,9300,22370,22370
40,1,0,21838,21838
40,2,350,21588,
40,3,600,21576,
40,4,950,21555,
40,5,1150,21443,
40,6,1200,21405,
40,7,1350,21398,
40,8,1550,21397,
40,9,1800,21391,
40,10,2050,21386,
40,11,2300,21386,
40,12,2500,21393,
40,13,2700,21405,
40,14,2800,21410,
40,15,2850,21418,
40,16,3100,21568,
40,17,3500,21571,
40,18,4150,21590,
40,19,4500,21812,21812
46,1,0,24777,24777
46,2,150,24647,
46,3,250,24603,
46,4,450,24594,
46,5,700,24584,
46,6,1080,24577,
46,7,1130,24564,
46,8,1300,24541,
46,9,1550,24532,
46,10,1850,24514,
46,11,2150,24499,
46,12,2450,24496,
46,13,2700,24500,
46,14,2920,24512,
46,15,2930,24584,
46,16,3050,24572,
46,17,3300,24600,
46,18,3500,24627,
46,19,3600,24689,
46,20,3700,24728,
46,21,3950,24853,24853
48,1,0,43004,43300
48,2,15,43004,
48,3,45,43005,
48,4,100,43004,
48,5,170,43010,
48,6,280,43004,
48,7,330,42996,
48,8,400,43000,
48,9,460,43005,
48,10,510,43005,
48,11,570,43004,
48,12,630,43004,
48,13,700,43009,
48,14,750,43008,
48,15,780,43009,
48,16,810,43009,
48,17,850,43040,
48,18,920,43040,43300
50,1,0,29816,30089
50,2,90,29819,
50,3,200,29825,
50,4,370,29828,
50,5,570,29837,
50,6,730,29838,
50,7,900,29845,
50,8,1030,29842,
50,9,1100,29861,
50,10,1180,29902,
50,11,1240,29902,30122
55,1,0,27000,27244
55,2,100,27000,
55,3,300,27034,
55,4,550,27034,
55,5,900,26948,
55,6,1100,26922,
55,7,1300,26900,
55,8,1600,26894,
55,9,1900,26886,
55,10,2100,26914,
55,11,2250,26933,
55,12,2290,26933,27244
57,1,0,20392,20410
57,2,100,20331,
57,3,550,20288,
57,4,900,20221,
57,5,1000,20192,
57,6,1100,20178,
57,7,1300,20177,
57,8,1600,20173,
57,9,1800,20173,
57,10,1950,20173,
57,11,2050,20177,
57,12,2080,20226,
57,13,2150,20226,
57,14,2550,20445,20445
60,1,0,24818,24850
60,2,100,24778,
60,3,200,24696,
60,4,400,24645,
60,5,650,24530,
60,6,900,24530,
60,7,1300,24530,
60,8,1650,24570,
60,9,1900,24615,
60,10,2150,24615,
60,11,2300,24615,
60,12,2450,24627,
60,13,2600,24660,
60,14,2730,24745,
60,15,2800,24763,
60,16,2850,24803,24850
61,1,0,56935,57084
61,2,80,56922,
61,3,200,56918,
61,4,280,56920,
61,5,340,56928,
61,6,400,56924,
61,7,450,56922,
61,8,490,56932,
61,9,550,56939,57076
73,1,0,41121,41332
73,2,50,41113,
73,3,110,41100,
73,4,150,41058,
73,5,210,41052,
73,6,280,41052,
73,7,350,41057,
73,8,400,41054,
73,9,470,41056,
73,10,550,41056,
73,11,610,41061,
73,12,680,41055,
73,13,740,41062,
73,14,780,41072,41257
74,1,0,30468,30488
74,2,50,30462,
74,3,110,30456,
74,4,170,30446,
74,5,250,30453,
74,6,350,30454,
74,7,520,30454,
74,8,620,30446,
74,9,700,30453,
74,10,820,30451,
74,11,970,30446,
74,12,1100,30446,
74,13,1250,30446,
74,14,1400,30452,
74,15,1480,30454,
74,16,1530,30454,30488
75,1,0,26200,26233
75,2,700,26200,
75,3,900,26101,
75,4,1200,26034,
75,5,1500,25981,
75,6,1600,25945,
75,7,1700,25938,
75,8,1850,25941,
75,9,2000,25949,
75,10,2100,25947,
75,11,2150,25940,
75,12,2250,25926,
75,13,2390,25926,
75,14,2620,26233,26233
76,1,0,29769,30042
76,2,90,29772,
76,3,200,29778,
76,4,370,29781,
76,5,570,29789,
76,6,730,29791,
76,7,900,29798,
76,8,1030,29795,
76,9,1100,29814,
76,10,1180,29855,
76,11,1240,29855,30075
77,1,0,41131,41332
77,2,120,41119,
77,3,150,41057,
77,4,200,41053,
77,5,260,41047,
77,6,310,41053,
77,7,350,41047,
77,8,420,41049,
77,9,500,41050,
77,10,550,41057,
77,11,610,41048,
77,12,640,41052,
77,13,660,41071,
77,14,710,41068,41257
78,1,0,27908,27908
78,2,170,27839,
78,3,210,27776,
78,4,270,27773,
78,5,370,27774,
78,6,470,27770,
78,7,510,27770,
78,8,550,27782,
78,9,610,27868,
78,10,700,27914,
78,11,770,27931,
78,12,870,27931,27986
79,1,0,40323,40323
79,2,100,40272,
79,3,160,40239,
79,4,200,40194,
79,5,250,40177,
79,6,370,40174,
79,7,490,40178,
79,8,570,40182,
79,9,620,40196,
79,10,670,40248,
79,11,820,40270,
79,12,990,40367,40367
80,1,0,28509,28609
80,2,650,28509,
80,3,850,28437,
80,4,1050,28355,
80,5,1150,28290,
80,6,1200,28270,
80,7,1250,28270,
80,8,1300,28253,
80,9,1400,28240,
80,10,1550,28239,
80,11,1750,28231,
80,12,1950,28229,
80,13,2150,28240,
80,14,2250,28235,
80,15,2300,28285,
80,16,2350,28342,
80,17,2450,28422,
80,18,2550,28510,
80,19,2600,28570,28609
81,1,0,28126,28269
81,2,100,28091,
81,3,200,28030,
81,4,250,28024,
81,5,350,28022,
81,6,500,28016,
81,7,630,28018,
81,8,740,28021,
81,9,850,28029,
81,10,870,28039,28269
82,1,110,24528,24528
82,2,200,24465,
82,3,350,24387,
82,4,500,24268,
82,5,800,24243,
82,6,1200,24247,
82,7,1500,24242,
82,8,1800,24268,
82,9,2100,24287,
82,10,2400,24299,
82,11,2600,24345,
82,12,2760,24477,
82,13,2890,24498,24528
83,1,0,26621,26753
83,2,200,26600,
83,3,350,26568,
83,4,550,26505,
83,5,700,26481,
83,6,1000,26480,
83,7,1300,26459,
83,8,1450,26363,
83,9,1550,26321,
83,10,1600,26279,
83,11,1700,26281,
83,12,1850,26303,
83,13,2100,26306,
83,14,2300,26299,
83,15,2500,26293,
83,16,2600,26281,
83,17,2700,26280,
83,18,2800,26303,
83,19,2950,26416,
83,20,3000,26422,
83,21,3300,26462,
83,22,3600,26458,
83,23,3700,26457,
83,24,3800,26483,
83,25,3950,26532,
83,26,4100,26574,26752
84,1,140,29596,29754
84,2,230,29596,
84,3,400,29554,
84,4,550,29568,
84,5,800,29580,
84,6,1050,29593,
84,7,1450,29590,
84,8,1800,29630,
84,9,2100,29645,
84,10,2300,29656,
84,11,2450,29659,29754
85,1,0,26449,26449
85,2,240,26316,
85,3,550,26155,
85,4,555,26102,
85,5,590,26102,
85,6,595,26043,
85,7,700,26052,
85,8,1000,26078,
85,9,1400,26087,
85,10,1650,26091,
85,11,1800,26088,
85,12,1900,26104,
85,13,1950,26204,
85,14,2000,26257,
85,15,2200,26337,26337
86,1,0,21678,21777
86,2,400,21593,
86,3,650,21594,
86,4,1000,21561,
86,5,1150,21441,
86,6,1230,21424,
86,7,1280,21391,
86,8,1450,21377,
86,9,1650,21358,
86,10,2000,21347,
86,11,2400,21342,
86,12,2800,21341,
86,13,3100,21351,
86,14,3600,21373,
86,15,3900,21387,
86,16,4050,21383,
86,17,4150,21432,
86,18,4300,21564,
86,19,4500,21613,
86,20,4750,21713,
86,21,4850,21773,21773
87,1,0,18762,18784
87,2,470,18523,
87,3,760,18382,
87,4,910,18368,
87,5,1260,18401,
87,6,1510,18355,
87,7,1760,18328,
87,8,1860,18297,
87,9,2110,18278,
87,10,2310,18296,
87,11,2410,18281,
87,12,2540,18250,
87,13,2630,18206,
87,14,2780,18161,
87,15,2960,18099,
87,16,3160,18079,
87,17,3380,18049,
87,18,3610,18061,
87,19,3810,18071,
87,20,3940,18116,
87,21,4060,18177,
87,22,4190,18213,
87,23,4280,18229,
87,24,4530,18280,
87,25,4730,18306,
87,26,5080,18302,
87,27,5180,18341,
87,28,5330,18356,
87,29,5730,18382,
87,30,6030,18379,
87,31,6280,18504,
87,32,6480,18709,
87,33,6600,18762,18784
88,1,0,57089,57089
88,2,15,56886,
88,3,70,56884,
88,4,140,56881,
88,5,230,56884,
88,6,280,56885,
88,7,320,56895,
88,8,400,56899,
88,9,450,56900,
88,10,490,56953,
88,11,540,56946,
88,12,550,57039,57039
89,1,0,36468,36868
89,2,200,36475,
89,3,400,36472,
89,4,600,36461,
89,5,800,36466,
89,6,1050,36479,
89,7,1150,36504,
89,8,1260,36500,
89,9,1310,36868,
89,10,1400,36868,
89,11,1450,36500,
89,12,1600,36498,
89,13,1700,36481,
89,14,1850,36457,
89,15,2050,36453,
89,16,2400,36454,
89,17,2580,36448,
89,18,2660,36460,36868
90,1,0,23718,23718
