nosec,nosta,snom,sdatedeb,sdatefin,szero,sfond,scomment,sdatemaj,sdateenregistrement,sdatecreation,susage
35096,41,"section amont SVR 45","01/01/16 00:00:00","12/31/20 00:00:00",8002,7973,,,"02/12/16 12:07:00","02/12/16 12:07:00",
35097,41,"Profil du seuil aval","03/01/16 00:00:00","12/31/50 00:00:00",8005,7992,,,"03/01/16 16:48:00","03/01/16 16:24:00",
35098,49,"01-compteur treuil","11/07/13 09:05:00","11/07/13 11:10:00",5964,5679,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 07/11/2013 à 09:05",,"01/10/14 15:12:00","12/06/13 16:35:00",
35099,49,"02-capteur pression ","11/07/13 09:06:00","11/07/13 11:10:00",5964,5679,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 07/11/2013 à 09:06",,"01/10/14 15:14:00","12/06/13 16:51:00",
35100,49,"04-capteur pression ","12/17/13 09:08:00","12/17/13 11:09:00",5964,5675,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 17/12/2013 à 09:08",,"01/10/14 15:14:00","12/23/13 09:23:00",
35101,49,"03-compteur treuil","12/17/13 09:05:00","12/17/13 11:09:00",5964,5681,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 17/12/2013 à 09:05",,"01/10/14 15:15:00","12/23/13 09:20:00",
35102,49,"SVR","06/20/20 12:00:00","12/31/50 00:00:00",5964,5686,"Section située 10m à l'amont du pont. Profil levé par FF et AA le 23/06/2020 (déca et ADCP).",,"07/03/20 15:13:00","07/03/20 13:45:00",3
35107,77,"contrôle Baratin","01/01/16 00:00:00","01/01/17 00:00:00",3451,3123,"Section de contrôle, 250m aval de la station, construite avec des mesures de profondeur sur le jaugeage ADCP du 21/04/2016 + un nivellement des altitudes sur les rives + des distances prises sur géoportail. Cette section tient compte d'une pente de 0.2/1000m relevé lors du jaugeage.",,"03/03/17 11:42:00","04/25/16 16:29:00",
35112,7,"test","01/01/10 00:00:00","12/31/50 00:00:00",8000,7943,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 18/08/2009 à 07:05",,"09/04/09 13:02:00","09/04/09 13:02:00",
35114,26,"Section video radar ","01/01/16 00:00:00","12/31/50 00:00:00",14986,14777,,"05/04/16 11:01:00","09/06/21 11:31:00","05/03/16 09:36:00",3
