noct,ladate
1195947,"06/18/10 08:21:00"
1195947,"11/20/13 07:01:00"
1195947,"01/14/72 00:00:00"
1195947,"04/17/05 10:30:00"
1195947,"04/11/06 11:00:00"
1195947,"05/28/12 09:36:00"
1195947,"08/08/13 15:38:00"
1195947,"11/15/10 09:43:00"
1195947,"06/06/08 00:00:00"
1195947,"05/22/13 08:10:00"
1195948,"04/17/05 10:30:00"
1195948,"04/11/06 11:00:00"
1195948,"05/28/12 09:36:00"
1195948,"08/08/13 15:38:00"
1195948,"11/15/10 09:43:00"
1195948,"06/06/08 00:00:00"
1195948,"05/22/13 08:10:00"
1195948,"06/18/10 08:21:00"
1195948,"05/12/70 00:00:00"
1195948,"02/05/71 00:00:00"
1195949,"05/22/13 08:10:00"
1195949,"04/11/06 11:00:00"
1195949,"04/17/05 10:30:00"
1195949,"08/08/13 15:38:00"
1195949,"11/15/10 09:43:00"
1195949,"04/16/12 14:30:00"
1195949,"06/18/10 08:21:00"
1195949,"06/06/08 00:00:00"
1195950,"05/22/13 08:10:00"
1195950,"04/11/06 11:00:00"
1195950,"04/17/05 10:30:00"
1195950,"08/08/13 15:38:00"
1195950,"11/15/10 09:43:00"
1195950,"06/18/10 08:21:00"
1195950,"06/06/08 00:00:00"
1195950,"09/29/21 07:00:00"
1195950,"11/24/21 07:50:00"
1195950,"07/13/21 06:30:00"
1195951,"05/22/13 08:10:00"
1195951,"04/11/06 11:00:00"
1195951,"04/17/05 10:30:00"
1195951,"08/08/13 15:38:00"
1195951,"11/15/10 09:43:00"
1195951,"06/18/10 08:21:00"
1195951,"06/06/08 00:00:00"
1195951,"09/29/21 07:00:00"
1195951,"11/24/21 07:50:00"
1195951,"07/13/21 06:30:00"
1195952,"04/17/05 10:30:00"
1195953,"04/17/05 10:30:00"
1195953,"06/18/10 07:36:00"
1195953,"11/15/10 09:43:00"
1195954,"04/17/05 10:30:00"
1195954,"11/15/10 09:43:00"
1195955,"05/22/13 08:10:00"
1195955,"04/17/05 10:30:00"
1195955,"06/18/10 08:21:00"
1195955,"06/06/08 00:00:00"
1195955,"09/29/21 07:00:00"
1195955,"11/24/21 07:50:00"
1195955,"07/13/21 06:30:00"
1195955,"04/17/05 10:35:00"
1195955,"05/28/12 09:36:00"
1195955,"06/06/08 20:00:00"
1195955,"06/18/10 07:36:00"
1195955,"06/18/10 08:39:00"
1195955,"05/22/13 07:00:00"
1195955,"04/11/06 11:00:00"
1195955,"11/15/10 09:43:00"
1195955,"08/08/13 15:38:00"
1195963,"06/17/70 00:00:00"
1195963,"06/18/70 00:00:00"
1195963,"12/26/68 00:00:00"
1195963,"01/23/69 00:00:00"
1195963,"10/24/68 00:00:00"
1195963,"11/05/68 00:00:00"
1195963,"09/03/69 00:00:00"
1195963,"10/02/69 00:00:00"
1195963,"10/27/69 00:00:00"
1195963,"07/23/69 00:00:00"
1195963,"09/17/71 00:00:00"
1195963,"11/04/71 00:00:00"
1195963,"09/18/70 00:00:00"
1195963,"12/11/70 00:00:00"
1195963,"07/10/70 00:00:00"
1195963,"11/24/70 00:00:00"
1195963,"05/30/70 00:00:00"
1195963,"08/28/69 00:00:00"
1195963,"03/07/70 00:00:00"
1195963,"05/20/70 00:00:00"
1195963,"01/06/70 00:00:00"
1195963,"05/13/70 00:00:00"
1195963,"03/25/70 00:00:00"
1195963,"04/30/70 00:00:00"
1195963,"02/04/71 00:00:00"
1195963,"01/25/71 00:00:00"
1195963,"04/08/71 00:00:00"
1195969,"05/03/13 15:15:00"
1195969,"03/20/13 08:55:00"
1195969,"05/05/10 12:40:00"
1195969,"05/20/08 14:00:00"
1195969,"04/25/94 11:30:00"
1195971,"02/04/03 15:30:00"
1195971,"09/23/94 16:30:00"
1195971,"03/20/13 08:55:00"
