noct,nopt,a,b,h0,hsup
1195978,9,0.02857,1,850,1900
1195978,10,0.03125,1,940,2220
1195978,11,0.03846,1,1180,2480
1195978,12,0.04,1,1230,2730
1195978,13,0.04348,1,1350,2960
1195981,1,0,0,0,428
1195981,2,0.00765,1,428,430
1195981,3,0.0001997,1.6338,416,588
1195981,4,0.0003895,1.5453,438,779
1195981,5,6.240999999999999e-05,1.8536,432,926
1195981,6,0.001969,1.3586,553,1017
1195981,7,0.001859,1.4124,634,1100
1195981,8,0.0001895,1.7482,571,1230
1195981,9,0.0007936,1.5372,596,1400
1195983,1,0,0,0,200
1195983,2,0.001367,1,99.8,230
1195983,3,0.00127,1,89.8,267
1195983,4,0.0256,0.5004999999999999,190.1,335
1195983,5,0.001396,1.0004,114.2,395
1195983,6,4.366e-08,2.4394,-314.3,430
1195983,7,0.003231,1.135,353.8,462
1195983,8,7.723e-07,2.4394,192.2,535
1195983,9,6.552e-07,2.4394,168.3,616
1195983,10,1.299e-06,2.4394,277.8,629
1195983,11,1.299e-06,2.4394,277.8,730
1195983,12,7.166000000000001e-07,2.4394,152.9,872
1195983,13,4.973e-07,2.4394,36.7,979
1195983,14,6.94e-07,2.4394,157.1,1170
1195983,15,1.595e-06,2.2831,38,1438
1195984,1,0,0,0,400
1195984,2,6.995e-07,2.477,314,480
1195984,3,3.928e-05,1.7255,330.9,518
1195984,4,7.616e-05,1.7255,390.5,574
1195984,5,8.017999999999999e-05,1.7255,395.9,670
1195984,6,1.255e-07,2.639,216,730
1195984,7,2.909e-07,2.5352,253.7,911
1195984,8,2.328e-06,2.3292,433.2,1068
1195984,9,1.251e-05,2.0284,346.7,1856
1195985,1,0,0,0,160
1195985,2,2.947e-08,2.884,-3,217
1195985,3,2.947e-08,2.884,-3,269
1195985,4,2.947e-08,2.884,-3,299
1195985,5,2.947e-08,2.884,-3,352
1195985,6,2.947e-08,2.884,-3,483
1195985,7,2.947e-08,2.884,-3,587
1195985,8,2.947e-08,2.884,-3,730
1195985,9,2.947e-08,2.884,-3,831
1195985,10,2.947e-08,2.884,-3,933
1195985,11,0.03931,0.9779,617,1008
1195985,12,0.03931,0.9779,617,1138
1195985,13,0.03931,0.9779,617,1235
1195986,1,0,0,0,369
1195986,2,0.0115,0.5175999999999999,368,500
1195986,3,0.04239,0.5004999999999999,488,583
1195986,4,0.0003274,1.5349,478,716
1195986,5,0.0004284,1.5372,518,789
1195986,6,0.001483,1.3966,594,902
1195986,7,3.673e-05,1.9886,542,1105
1195986,8,3.849e-10,3.4791,98,1390
1195987,1,0,0,0,399
1195987,2,0.01142,0.5006,387,500
1195987,3,5.161e-07,2.5379,369,620
1195987,4,5.161e-07,2.5379,369,651
1195987,5,3.623e-06,2.2518,408,789
1195987,6,8.049e-06,2.1716,460,1400
1195990,1,0,0,0,300
1195990,2,5.593e-08,2.7676,231,1216
1195991,1,0,0,0,300
1195991,2,6.144e-08,2.8732,299,490
1195991,3,6.144e-08,2.8732,299,532
1195991,4,6.144e-08,2.8732,299,607
1195991,5,6.144e-08,2.8732,299,655
1195991,6,6.144e-08,2.8732,299,736
1195991,7,6.144e-08,2.8732,299,828
1195991,8,6.144e-08,2.8732,299,902
1195991,9,6.144e-08,2.8732,299,1101
