nosta,ladate,valeur
61,"04/12/86 09:14:00",0
61,"04/16/86 16:42:00",0
61,"05/05/86 09:33:00",-90
61,"08/30/86 17:03:00",0
61,"03/01/87 08:38:00",0
61,"03/17/87 11:35:00",-90
61,"04/11/87 10:55:00",-200
61,"05/14/87 06:41:00",-160
61,"07/13/87 13:56:00",0
61,"07/28/87 10:14:00",0
61,"02/15/93 12:01:00",0
61,"03/01/93 08:55:00",0
61,"03/10/93 17:15:00",-70
61,"03/29/93 10:23:00",-60
61,"05/06/93 05:51:00",-90
61,"05/29/93 15:12:00",0
61,"03/01/94 11:26:00",0
61,"03/15/94 19:29:00",-150
61,"05/09/94 09:14:00",-190
61,"06/18/94 19:03:00",-180
61,"07/12/94 02:24:00",-90
61,"09/16/94 19:50:00",0
61,"09/18/94 06:57:00",0
61,"06/17/95 09:31:00",0
61,"07/02/95 06:43:00",0
61,"08/04/95 03:00:00",-60
61,"08/31/95 15:54:00",-70
61,"09/28/95 01:53:00",0
61,"04/10/96 11:32:00",0
61,"04/29/96 12:44:00",-90
61,"06/28/96 05:23:00",0
61,"07/14/96 09:57:00",0
61,"06/05/01 00:00:00",0
61,"06/26/01 00:00:00",-70
1,"05/19/12 00:00:00",0
1,"06/27/12 00:00:00",-50
1,"06/30/14 00:00:00",-60
1,"10/27/10 13:30:00",-90
1,"11/08/10 15:30:00",0
1,"04/30/11 18:00:00",0
1,"06/06/11 12:40:00",-90
1,"07/13/11 00:00:00",-90
1,"08/29/12 00:00:00",-40
1,"05/15/10 11:11:00",0
1,"06/08/10 11:11:00",-40
112,"05/15/03 00:00:00",0
112,"06/04/03 00:00:00",-190
112,"08/27/03 08:45:00",-185
112,"09/10/03 08:15:00",-180
112,"09/26/03 08:30:00",-180
112,"11/15/03 00:00:00",0
112,"04/22/04 14:45:00",0
112,"05/15/04 00:00:00",0
112,"06/17/04 12:00:00",-280
112,"09/03/04 15:25:00",-260
112,"10/26/04 15:40:00",-170
112,"11/05/04 12:20:00",-170
112,"11/20/04 00:00:00",0
112,"05/15/05 00:00:00",0
112,"07/01/05 11:50:00",-370
112,"09/22/05 13:10:00",-190
112,"10/19/05 00:00:00",-190
112,"06/07/11 00:00:00",-240
112,"11/23/10 07:00:00",0
112,"03/31/11 00:00:00",0
112,"04/14/11 14:20:00",-45
112,"05/03/11 15:45:00",-125
112,"11/11/05 11:11:00",0
112,"05/11/06 11:11:00",0
112,"06/27/06 00:00:00",-270
112,"06/29/06 00:00:00",-230
112,"07/20/06 15:00:00",-220
112,"08/09/06 16:00:00",-160
112,"09/14/06 15:00:00",-170
58,"06/25/14 00:00:00",-30
58,"05/03/11 12:30:00",0
58,"06/09/09 11:11:00",-30
58,"05/11/08 11:11:00",0
58,"05/27/08 14:30:00",-16
58,"07/03/08 11:11:00",-40
58,"08/08/08 08:08:00",-52
58,"10/03/08 11:11:00",-25
58,"01/01/09 00:00:00",0
58,"04/28/09 11:11:00",-10
58,"03/29/09 11:11:00",0
58,"09/09/09 09:09:00",-30
58,"07/21/09 09:09:00",-45
58,"10/19/09 00:00:00",-40
58,"12/03/09 00:00:00",-15
58,"12/22/09 00:00:00",0
58,"04/20/10 00:00:00",0
58,"05/21/10 12:10:00",-10
58,"06/29/10 14:45:00",-20
58,"07/27/10 16:40:00",-40
58,"08/25/10 14:25:00",-20
58,"09/23/10 16:00:00",-10
58,"11/02/10 11:30:00",0
102,"03/11/07 00:00:00",0
102,"04/03/07 11:11:00",-10
102,"05/04/07 11:11:00",-30
102,"06/07/07 11:11:00",-70
102,"07/04/07 11:11:00",-140
102,"10/01/07 00:00:00",0
102,"04/01/08 00:00:00",0
102,"06/10/08 11:11:00",-150
102,"08/01/08 11:11:00",-90
102,"10/15/08 11:11:00",-30
102,"11/01/08 00:00:00",0
102,"04/09/09 11:11:00",0
102,"05/13/09 11:11:00",-10
58,"06/14/11 11:41:00",-24
58,"05/13/12 18:05:00",0
102,"06/05/09 11:11:00",-40
102,"07/02/09 11:11:00",-60
102,"09/08/09 11:11:00",0
102,"03/03/10 00:00:00",0
102,"05/03/10 11:11:00",-20
102,"07/28/10 11:11:00",-50
102,"08/23/10 11:11:00",-20
61,"07/11/01 00:00:00",-120
61,"08/24/01 00:00:00",-200
84,"04/15/85 13:23:00",0
84,"05/01/85 10:01:00",0
84,"06/02/85 09:07:00",-160
84,"11/27/85 14:13:00",-130
84,"12/29/85 21:44:00",0
84,"04/25/86 01:10:00",0
84,"05/12/86 22:43:00",-90
84,"06/08/86 09:43:00",-250
84,"08/01/86 20:28:00",-160
84,"08/21/86 10:43:00",-200
84,"08/22/86 12:51:00",0
84,"04/15/87 10:52:00",0
84,"05/26/87 00:38:00",-90
84,"08/04/87 15:20:00",-210
84,"09/25/87 17:32:00",-140
84,"11/06/87 19:32:00",0
84,"11/09/87 04:06:00",0
84,"04/07/90 04:35:00",0
84,"04/20/90 04:10:00",0
84,"05/04/90 13:58:00",-90
84,"06/03/90 02:02:00",-110
58,"11/24/11 00:00:00",-50
148,"07/01/05 13:30:00",-290
148,"04/22/04 11:00:00",0
148,"05/26/04 15:30:00",-80
148,"09/03/04 10:45:00",-170
148,"10/21/04 11:00:00",-170
148,"10/22/04 17:00:00",-60
148,"10/26/04 19:00:00",-40
148,"11/03/04 12:30:00",-100
148,"11/08/04 12:00:00",0
148,"04/19/05 15:40:00",0
148,"05/05/04 12:00:00",-20
148,"05/10/05 12:00:00",-20
148,"08/25/05 09:55:00",-220
148,"10/14/05 12:30:00",-160
148,"11/16/05 14:50:00",-120
148,"12/02/05 23:55:00",-110
148,"05/01/07 11:11:00",0
148,"01/01/06 11:00:00",0
148,"05/12/06 11:00:00",0
148,"07/20/06 10:00:00",-170
148,"08/09/06 11:00:00",-210
148,"09/14/06 11:00:00",-140
148,"11/16/06 16:00:00",-40
148,"12/01/07 11:11:00",0
148,"11/11/08 11:11:00",-220
148,"05/31/07 12:00:00",-160
148,"07/06/07 10:00:00",-210
148,"08/28/07 10:00:00",-130
148,"09/21/07 11:00:00",-130
148,"07/03/08 10:00:00",-210
148,"01/01/07 11:11:00",0
148,"05/11/08 11:11:00",0
148,"06/09/09 11:11:00",-260
148,"08/08/08 08:08:00",-245
148,"10/22/08 11:11:00",-180
148,"01/01/09 00:00:00",0
148,"04/28/09 11:11:00",-30
148,"04/01/09 11:11:00",0
61,"09/17/01 00:00:00",-100
61,"10/15/01 00:00:00",0
61,"04/01/02 00:00:00",0
61,"05/14/02 00:00:00",-250
61,"06/07/02 00:00:00",-260
61,"07/09/02 00:00:00",-150
61,"09/12/02 00:00:00",-120
56,"03/14/11 11:11:00",0
56,"04/14/11 11:11:00",-40
129,"06/10/14 00:00:00",-300
129,"05/01/14 00:00:00",0
129,"06/19/14 00:00:00",-340
129,"04/17/09 11:11:00",0
129,"06/15/09 11:11:00",-620
129,"08/05/09 11:11:00",-260
129,"09/15/09 11:11:00",-110
129,"07/12/08 11:11:00",-500
129,"05/16/08 11:11:00",0
129,"08/14/08 11:11:00",-550
129,"10/09/08 11:00:00",-160
129,"10/21/08 10:30:00",-110
129,"11/11/08 11:11:00",0
129,"12/22/09 11:11:00",0
129,"05/12/10 11:50:00",-40
129,"03/14/11 11:11:00",0
129,"04/14/11 11:11:00",-50
58,"07/12/11 05:34:00",-36
58,"08/12/11 22:35:00",-49
58,"10/20/11 15:28:00",-56
58,"05/26/14 06:38:00",-39
58,"07/28/14 16:40:00",-30
129,"05/03/11 11:11:00",-150
129,"06/28/10 11:15:00",-540
129,"07/27/10 15:00:00",-220
129,"08/25/10 10:25:00",-60
129,"09/23/10 12:30:00",-80
1,"08/04/10 11:11:00",-70
1,"08/24/10 11:11:00",-50
1,"07/25/14 00:00:00",-110
1,"07/31/12 11:11:00",-40
1,"11/23/11 12:45:00",-134
1,"12/06/11 00:00:00",0
1,"04/01/14 00:00:00",0
1,"05/19/14 00:00:00",-50
1,"07/01/14 00:00:00",-60
1,"09/24/12 00:00:00",-60
1,"11/06/12 00:00:00",-30
1,"12/04/12 00:00:00",0
1,"06/12/13 00:00:00",0
1,"07/25/13 00:00:00",-30
1,"08/27/13 00:00:00",-80
1,"10/08/13 00:00:00",0
1,"09/09/13 00:00:00",-60
1,"09/09/14 00:00:00",-30
37,"08/11/12 00:00:00",-50
37,"07/13/06 16:00:00",-50
37,"06/01/06 00:00:00",0
37,"07/19/06 00:00:00",-50
37,"11/01/06 00:00:00",0
37,"04/29/09 15:45:00",0
37,"06/03/09 11:50:00",-110
37,"07/07/09 15:14:00",-110
37,"06/23/14 00:00:00",-100
37,"10/10/10 10:10:00",0
37,"04/07/11 00:00:00",0
37,"05/05/11 16:15:00",-140
37,"06/01/11 15:30:00",-55
37,"08/28/12 00:00:00",-50
37,"08/11/09 14:05:00",-20
37,"09/11/09 10:40:00",0
37,"04/14/10 14:50:00",0
37,"05/05/10 16:00:00",-40
37,"06/08/10 11:11:00",-70
37,"08/04/10 14:30:00",-60
37,"07/12/10 11:11:00",-100
37,"08/24/10 14:50:00",-40
37,"09/24/10 14:50:00",-10
37,"06/22/11 14:00:00",-70
37,"07/27/11 09:30:00",0
112,"11/11/06 11:11:00",0
112,"04/24/07 16:00:00",-50
112,"04/11/07 11:11:00",0
112,"05/31/07 19:00:00",-150
112,"07/02/07 00:00:00",0
112,"08/28/07 13:00:00",-90
112,"09/21/07 11:00:00",-130
112,"11/11/07 11:11:00",0
112,"05/02/08 10:00:00",0
112,"07/03/08 15:00:00",-290
112,"06/09/09 11:11:00",-350
112,"07/21/09 11:11:00",-350
112,"09/09/09 11:11:00",-330
112,"08/08/08 08:08:00",-310
148,"09/09/09 09:09:00",-270
148,"07/21/09 11:11:00",-280
148,"10/19/09 11:11:00",-300
148,"12/03/09 11:11:00",-120
148,"12/22/09 11:11:00",0
148,"08/17/12 00:00:00",-180
148,"04/20/10 00:00:00",0
148,"05/21/10 15:25:00",-40
148,"06/29/10 12:00:00",-190
148,"07/27/10 10:15:00",-240
148,"08/25/10 15:40:00",-210
148,"09/23/10 17:15:00",-180
61,"10/10/02 00:00:00",0
61,"09/23/05 11:40:00",0
61,"07/19/06 12:00:00",-55
61,"08/23/06 12:05:00",-105
61,"12/07/06 15:00:00",-160
61,"12/17/06 00:00:00",0
56,"05/03/11 11:11:00",-70
56,"01/21/09 10:30:00",0
129,"12/09/10 14:05:00",0
129,"11/09/10 00:00:00",-250
131,"05/19/12 00:00:00",0
131,"06/30/14 00:00:00",0
131,"08/29/12 00:00:00",-50
131,"07/31/12 00:00:00",-40
131,"06/27/12 00:00:00",-50
1,"09/26/14 00:00:00",0
143,"03/07/12 00:00:00",0
143,"04/18/12 00:00:00",-50
37,"07/23/14 00:00:00",-110
37,"05/19/12 00:00:00",0
37,"06/27/12 00:00:00",-50
37,"09/24/12 00:00:00",-30
37,"04/01/14 00:00:00",0
112,"10/22/08 16:00:00",-180
112,"01/01/09 00:00:00",0
84,"06/28/90 12:14:00",-290
84,"07/09/90 20:13:00",-240
58,"12/06/11 00:00:00",0
148,"11/02/10 10:05:00",-180
148,"12/06/10 10:15:00",-40
148,"12/07/10 00:00:00",0
148,"02/28/11 23:00:00",0
58,"11/12/12 01:57:00",0
58,"08/31/13 01:41:00",-27
58,"10/29/13 12:35:00",0
58,"08/25/14 10:34:00",-41
58,"09/24/14 19:53:00",-53
58,"10/17/14 06:56:00",-30
148,"05/03/11 18:10:00",-90
148,"06/07/11 17:35:00",-240
112,"08/18/12 18:40:00",-210
61,"03/03/07 00:00:00",0
129,"12/07/10 00:00:00",-270
131,"09/20/12 00:00:00",-20
143,"06/28/12 00:00:00",-50
