noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
21,38,"05/01/98 00:00:00","08/18/98 00:00:00",740,2600,"22",18,,"C",,,,,,,,
23,38,"08/15/68 00:00:00","02/09/70 00:00:00",420,3000,"C15879",37,,"C",,,,,,,,
24,38,"02/09/70 00:00:00","01/01/75 00:00:00",380,3400,"C15880",29,,"C",,,,,,,,
25,38,"01/01/75 00:00:00","03/31/78 00:00:00",560,3400,"C15881",28,,"C",,,,,,,,
26,38,"03/31/78 00:00:00","07/29/79 00:00:00",550,3000,"C15882",25,,"C",,,,,,,,
27,38,"07/29/79 00:00:00","11/24/81 00:00:00",600,3000,"C15883",25,,"C",,,,,,,,
28,38,"11/24/81 00:00:00","12/08/81 00:00:00",750,3000,"C15884",15,,"C",,,,,,,,
29,38,"12/08/81 00:00:00","10/08/82 00:00:00",550,3200,"C15885",25,,"C",,,,,,,,
30,38,"10/08/82 00:00:00","01/15/84 00:00:00",750,3200,"C15886",21,,"C",,,,,,,,
31,38,"01/15/84 00:00:00","11/22/84 00:00:00",720,3200,"C15887",21,,"C",,,,,,,,
32,38,"11/22/84 00:00:00","12/31/86 00:00:00",700,3200,"C15888",22,,"C",,,,,,,,
33,38,"12/31/86 00:00:00","06/16/87 00:00:00",800,2500,"C15889",17,,"C",,,,,,,,
34,38,"06/16/87 00:00:00","02/29/88 00:00:00",750,2800,"C15890",16,,"C",,,,,,,,
35,38,"02/29/88 00:00:00","01/23/89 00:00:00",650,3200,"C15891",26,,"C",,,,,,,,
36,38,"01/23/89 00:00:00","06/30/89 00:00:00",550,2000,"C15892",20,,"C",,,,,,,,
37,38,"06/30/89 00:00:00","02/28/90 00:00:00",500,4200,"C15893",23,,"C",,,,,,,,
38,38,"02/28/90 00:00:00","09/21/90 00:00:00",600,2800,"C15894",18,,"C",,,,,,,,
39,38,"09/21/90 00:00:00","04/01/91 00:00:00",800,2800,"C15895",16,,"C",,,,,,,,
40,38,"04/01/91 00:00:00","12/22/91 00:00:00",600,3100,"C15896",16,,"C",,,,,,,,
41,38,"12/22/91 00:00:00","02/01/93 00:00:00",670,3100,"C15897",16,,"C",,,,,,,,
42,38,"02/01/93 00:00:00","06/01/94 00:00:00",640,3200,"C15898",17,,"C",,,,,,,,
43,38,"06/01/94 00:00:00","01/23/95 00:00:00",650,3200,"C15899",16,,"C",,,,,,,,
44,38,"01/23/95 00:00:00","05/08/96 00:00:00",650,3400,"C15900",16,,"C",,,,,,,,
45,38,"05/08/96 00:00:00","07/01/96 00:00:00",600,3400,"C15901",18,,"C",,,,,,,,
46,38,"07/01/96 00:00:00","10/16/96 00:00:00",600,3400,"C15902",17,,"C",,,,,,,,
47,38,"10/16/96 00:00:00","01/20/98 00:00:00",600,3400,"C15903",19,,"C",,,,,,,,
48,38,"01/20/98 00:00:00","05/01/98 00:00:00",740,2600,"21",20,,"C",,,,,,,,
50,45,"01/01/67 00:00:00","04/18/67 00:00:00",9290,3100,"C15904",49,,"C",,,,,,,,
51,45,"04/18/67 00:00:00","05/31/68 00:00:00",200,3000,"C15905",16,,"C",,,,,,,,
52,45,"05/31/68 00:00:00","12/31/69 00:00:00",200,2700,"C15906",15,,"C",,,,,,,,
53,45,"12/31/69 00:00:00","12/31/70 00:00:00",200,3000,"C15907",15,,"C",,,,,,,,
54,45,"12/31/70 00:00:00","06/06/71 00:00:00",200,2200,"C15908",13,,"C",,,,,,,,
55,45,"06/06/71 00:00:00","08/08/71 00:00:00",250,2000,"C15909",11,,"C",,,,,,,,
56,45,"08/08/71 00:00:00","12/31/71 00:00:00",200,2200,"C15910",13,,"C",,,,,,,,
57,45,"12/31/71 00:00:00","12/30/72 00:00:00",200,3200,"C15911",16,,"C",,,,,,,,
58,45,"12/30/72 00:00:00","12/31/73 00:00:00",200,3000,"C15912",18,,"C",,,,,,,,
59,45,"12/31/73 00:00:00","12/31/74 00:00:00",200,3000,"C15913",20,,"C",,,,,,,,
60,45,"12/31/74 00:00:00","12/31/75 00:00:00",290,3100,"C15914",49,,"C",,,,,,,,
61,45,"12/31/75 00:00:00","01/01/77 00:00:00",150,2200,"C15915",14,,"C",,,,,,,,
62,45,"01/01/77 00:00:00","01/01/84 00:00:00",200,3000,"C15916",21,,"C",,,,,,,,
63,45,"01/01/84 00:00:00","01/23/85 00:00:00",200,3000,"C15917",22,,"C",,,,,,,,
64,45,"01/23/85 00:00:00","12/31/85 00:00:00",150,3000,"C15918",24,,"C",,,,,,,,
65,45,"12/31/85 00:00:00","08/04/87 00:00:00",150,3200,"C15919",24,,"C",,,,,,,,
66,45,"08/04/87 00:00:00","04/20/88 00:00:00",150,2900,"C15920",22,,"C",,,,,,,,
67,45,"04/20/88 00:00:00","07/11/89 00:00:00",150,2900,"C15921",19,,"C",,,,,,,,
68,45,"07/11/89 00:00:00","04/30/90 00:00:00",150,3200,"C15922",23,,"C",,,,,,,,
69,45,"04/30/90 00:00:00","04/01/92 00:00:00",150,3200,"C15923",20,,"C",,,,,,,,
70,45,"04/01/92 00:00:00","02/01/93 00:00:00",150,3200,"C15924",20,,"C",,,,,,,,
71,45,"02/01/93 00:00:00","12/09/93 00:00:00",150,2400,"C15925",17,,"C",,,,,,,,
72,45,"12/09/93 00:00:00","09/16/94 00:00:00",150,3000,"C15926",20,,"C",,,,,,,,
73,45,"09/16/94 00:00:00","05/19/95 00:00:00",150,3000,"C15927",19,,"C",,,,,,,,
74,45,"05/19/95 00:00:00","10/04/95 00:00:00",150,3000,"C15928",19,,"C",,,,,,,,
75,45,"10/04/95 00:00:00","06/03/96 00:00:00",150,3000,"C15929",19,,"C",,,,,,,,
99,31,"08/10/76 00:00:00","01/01/77 00:00:00",450,2620,"015",17,,"C",,,,,,,,
100,31,"01/01/79 00:00:00","01/01/81 00:00:00",450,3870,"021",18,,"C",,,,,,,,
101,31,"01/01/70 00:00:00","01/01/71 00:00:00",480,4900,"006",24,,"C",,,,,,,,
