nosec,nosta,snom,sdatedeb,sdatefin,szero,sfond,scomment,sdatemaj,sdateenregistrement,sdatecreation,susage
0,5,,"01/01/96 00:00:00","12/31/99 00:00:00",10000,9850,,,,,
1,14,"S01_test","01/01/90 00:00:00","01/01/50 00:00:00",32427,32276,"TEST DE SECTION EN TRAVERS A LA SECTION DE JAUGEAGE STATION ECHELLE",,"08/07/07 10:09:00","08/06/07 16:25:00",
2,30,"test01","01/01/90 00:00:00","01/01/20 00:00:00",18808,18674,"test","04/07/09 15:09:00","04/07/09 15:09:00","08/07/07 10:58:00",
3,13,"101","01/01/00 00:00:00","12/31/50 00:00:00",5000,5015,,,"04/08/09 10:00:00","04/07/09 16:59:00",
4,27,"100","01/01/00 00:00:00","12/31/50 00:00:00",0,0,,,"04/09/09 13:23:00","04/09/09 13:02:00",
5,85,"100","01/01/00 00:00:00","12/31/50 00:00:00",29000,28960,,,"04/09/09 15:20:00","04/09/09 14:16:00",
6,50,,"01/01/01 00:00:00","12/31/50 00:00:00",0,0,,,"04/27/09 14:08:00","04/27/09 13:19:00",
7,58,,"01/01/10 00:00:00","12/31/50 00:00:00",0,22,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 04/02/2010 à 15:35",,"03/08/10 13:46:00","03/08/10 13:46:00",
9,138,,"01/01/00 00:00:00","12/31/50 00:00:00",0,-105,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 10/01/2011 à 15:20",,"02/14/11 15:44:00","02/14/11 15:44:00",
10,147,,"01/01/00 00:00:00","12/31/50 00:00:00",0,8000,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 09/03/1999 à 00:00",,"08/12/11 16:27:00","08/12/11 15:33:00",
12,12,"346 amtAP","01/01/00 00:00:00","01/01/50 00:00:00",0,-85,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 12/01/2011 à 15:50",,"02/14/12 13:28:00","02/14/12 11:06:00",
13,12,"347 avalAP","01/01/00 00:00:00","12/31/50 00:00:00",0,-232,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 12/01/2011 à 15:50",,"02/14/12 13:28:00","02/14/12 10:51:00",
14,12,"301 avalAP","01/01/00 00:00:00","12/31/50 00:00:00",0,-229,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 04/10/2006 à 15:55",,"02/14/12 14:11:00","02/14/12 13:33:00",
