nosec,snoptsec,sabsc,scoteinf,scotesup
1,14,6310,32552,
1,15,6510,32572,
1,16,6520,32772,33000
2,1,0,19467,19500
2,2,400,19017,
2,3,600,18967,
2,4,850,18774,
2,5,1450,18688,
2,6,1850,18677,
2,7,2850,18687,
2,8,3100,18674,
2,9,4050,18704,
2,10,4850,18695,
2,11,5850,18698,
2,12,6450,18713,
2,13,6950,18712,
2,14,7050,18703,
2,15,7300,18703,19500
3,1,0,5456,5500
3,2,1000,5400,
3,3,1100,5400,
3,4,1175,5173,
3,5,1250,5060,
3,6,1350,5043,
3,7,1450,5035,
3,8,1550,5015,
3,9,1850,5040,
3,10,1950,5075,
3,11,2050,5075,
3,12,2150,5173,
3,13,2250,5385,
3,14,2350,5430,
3,15,2450,5430,
3,16,3450,5486,5500
4,1,0,7,450
4,2,120,0,
4,3,800,0,450
4,4,800,450,450
4,5,920,450,450
4,6,920,0,450
4,7,980,0,
4,8,1140,193,
4,9,1940,270,450
4,10,1940,450,450
4,11,2060,450,450
4,12,2060,285,450
4,13,2860,450,450
5,1,640,28990,29170
5,2,790,28990,29380
5,3,990,28985,29510
5,4,1240,28985,29570
5,5,1390,28990,29550
5,6,1590,29011,29460
5,7,1740,29011,29320
5,8,1840,29010,29010
5,9,1960,28960,28960
5,10,1990,28960,29210
5,11,2060,28960,29320
5,12,2210,28970,29460
5,13,2360,28970,29540
5,14,2560,29000,29570
5,15,2760,29010,29540
5,16,2960,29010,29430
5,17,3160,29010,29010
6,1,0,480,480
6,2,100,0,
6,3,1530,0,
6,4,1530,480,480
6,5,1660,480,480
6,6,1660,0,
6,7,2440,0,
6,8,2830,207,
6,9,3190,418,
6,10,3190,480,480
7,1,0,354,354
7,2,300,230,
7,3,400,160,
7,4,500,112,
7,5,650,42,
7,6,800,22,
7,7,950,22,
7,8,1100,30,
7,9,1250,50,
7,10,1400,125,
7,11,1500,224,
7,12,1650,354,354
9,1,0,470,470
9,2,300,320,
9,3,600,204,
9,4,900,112,
9,5,1200,52,
9,6,1500,4,
22,29,6050,550,550
22,30,6150,550,550
22,31,6150,80,550
22,32,6300,75,
22,33,6750,44,
22,34,7150,41,
22,35,7550,77,
22,36,7950,134,
22,37,8100,158,
22,38,8250,160,550
22,39,8250,550,550
22,40,8350,550,550
22,41,8350,260,550
22,42,8550,250,
22,43,8950,162,
22,44,9250,93,
22,45,9550,87,
22,46,9850,153,
22,47,10150,169,
22,48,10400,224,
22,49,10550,240,550
0,1,0,10100,10100
0,2,100,9950,10200
0,3,200,9930,10300
0,4,300,9900,10300
0,5,400,9850,10200
0,6,500,10100,10100
1,1,0,32772,33000
1,2,10,32502,
1,3,260,32367,
1,4,760,32317,
1,5,1960,32302,
1,6,3160,32282,
1,7,4160,32276,
1,8,5160,32276,
181,1,0,120,209
181,2,200,102,
181,3,500,16,
181,4,800,-45,
181,5,1100,-43,
181,6,1300,-23,
181,7,1500,1,
181,8,1650,19,209
181,9,1650,209,209
181,10,1900,209,209
181,11,1900,-19,209
181,12,2050,-37,
181,13,2200,-31,
181,14,2400,-30,
181,15,2700,-43,
181,16,3000,-23,
181,17,3200,-13,
181,18,3350,15,
181,19,3450,33,209
181,20,3450,209,209
181,21,3700,209,209
181,22,3700,7,209
181,23,3850,-11,
181,24,4000,-30,
181,25,4200,-33,
181,26,4500,-36,
181,27,4700,-34,
181,28,4900,-2,
181,29,5050,8,
181,30,5150,26,209
182,1,0,117,210
182,2,200,99,
182,3,500,-20,
182,4,800,-46,
182,5,1100,-47,
182,6,1300,-26,
182,7,1500,1,
182,8,1650,19,210
182,9,1650,210,210
182,10,1900,210,210
182,11,1900,-19,210
182,12,2050,-37,
182,13,2200,-35,
182,14,2400,-34,
182,15,2700,-42,
182,16,3000,-25,
182,17,3200,-9,
182,18,3350,19,
182,19,3450,37,210
182,20,3450,210,210
182,21,3700,210,210
182,22,3700,6,210
1,9,5360,32278,
1,10,5610,32302,
1,11,5760,32352,
1,12,5960,32397,
1,13,6260,32502,
9,7,1700,-14,
9,8,2200,-38,
9,9,2500,-50,
9,10,2800,-90,
9,11,3100,-106,
9,12,3400,-86,
9,13,3700,-34,
9,14,4000,4,
9,15,4300,-6,
9,16,4700,-46,
9,17,5000,-66,
9,18,5500,20,
9,19,5800,4,
9,20,6100,8,
9,21,6400,14,
9,22,6700,36,
9,23,7000,62,
9,24,7300,64,
9,25,7600,106,
9,26,7900,176,
9,27,8000,188,
9,28,8200,412,
9,29,8500,420,470
10,1,0,8100,8300
10,2,100,,8370
10,3,200,8000,8400
10,4,300,,8370
10,5,400,8100,8300
10,6,400,8300,8300
10,7,500,8300,8300
10,8,500,8300,8300
10,9,700,8000,8400
10,10,800,8000,
10,11,900,8100,8300
12,1,0,500,500
