noliste,nosta
87,48
87,76
87,14
87,15
87,154
87,102
87,106
87,38
87,31
87,187
87,314
151,301
151,331
151,147
151,35
151,34
151,42
151,43
151,306
151,73
152,0
152,316
152,328
152,10
152,11
152,16
152,23
152,25
152,318
152,30
152,36
152,24
152,40
153,305
153,2
153,307
153,18
153,66
153,46
153,303
153,47
153,332
154,199
154,312
154,7
154,150
154,17
154,260
154,63
154,191
154,53
154,28
154,61
154,174
154,171
154,44
155,112
155,129
155,55
155,59
155,84
155,148
155,52
155,319
155,56
155,60
155,58
156,1
156,3
156,131
156,143
156,267
156,142
156,165
156,81
156,190
156,186
156,37
156,192
157,70
157,202
157,8
157,309
157,85
157,12
157,134
157,151
157,137
157,140
157,50
158,144
158,133
158,145
158,39
158,41
158,320
158,77
158,152
159,155
159,5
159,6
159,13
159,91
159,107
159,146
159,27
159,32
159,33
159,184
159,330
160,130
160,4
160,141
160,126
160,9
160,156
160,19
160,125
160,21
160,26
160,138
160,139
