nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,nomcommune,inseecommune,ngfechelle,n°tournee,dateenregistrement,datecreation,cotedebordement,coteseuil,codehydro3,codesitehydro3,synchronisation
124,"A4360300","XAMONTARUPT","BARBA",,,,,"S","114570",,,,,,"XAMO",,"02/11/98 00:00:00",,,,,0,,,,,,,
125,"B5322010","LA FRANCHEVILLE","VENCE",771671,2528367,,124,"S","114570",2.18,0.49,24,32,38,"LAFR","gps maison z=158 !!!","04/24/03 00:00:00","00",,,,1,"01/18/17 16:20:00",,,,"B532201001","B5322010",
126,"B5172010","CHEVEUGES","BAR",784070,2521186,,389,"S","114570",5.24,0.61,27,39,47,"CHEV","gps maison z=171 !!!","06/28/02 00:00:00","00",,,,1,"11/26/20 11:13:00",,250,,"B517201001","B5172010",
128,"00000007","DIVERS","A DEFINIR",,,,,"V","114570",,,,,,"DIVE",,"02/04/00 00:00:00",,,,,0,,,,,,,
129,"A7701010","CHAMBREY","la seille",,,,,"S","114570",4.38,0.8,33,43,49,"CHAM",,"07/03/03 00:00:00","10",,,,5,"03/15/16 14:23:00",,,,"A770101001",,
130,"B5600101","AIGLEMONT","MEUSE",774180,2533280,,,"S","114570",,,370,440,490,"AIGLE","En deça de 85 cm la station n'est plus univoque par l'influence des manoeuvres du barrage situé en aval, des éclusées et des passages bateaux.
Il faudra attendre la pose d'un débimètre courant 2004 pour connaître les débits instantanés.","07/08/03 00:00:00","10",,,13700,1,"04/16/20 08:41:00",,,,"B560010101","B5600101",
131,"A8021010","ÉTAIN","l'orne",,,,,"S","114570",1.08,0.052,20,26,30,"ÉTAI",,"04/24/03 00:00:00",,,,,2,"04/29/16 11:15:00",,,,"A802101001",,
133,"B2130010","COMMERCY","MEUSE",840224,2423970,,,"S","114570",22.7,1.1,200,300,360,"COMM","z=226!!!!","06/14/02 00:00:00","00",,,,1,"07/12/16 09:51:00",,,,"B213001001","B2130010",
134,"B0220010","GONCOURT","MEUSE",843473,2365377,,,"S","114570",3.95,0.062,80,110,140,"GONC","z=293","08/01/03 00:00:00","00",,,,1,"03/16/16 14:55:00",,300,,"B022001001","B0220010",
135,"A4362020","CHENIMENIL(ANCIENNE)","VOLOGNE",916.38,2357.96,,,"S","114570",10,1.9,60,83,98,"CHENI","station hs depuis 1988","05/29/02 00:00:00",,,,,0,,,,,,,
136,"A6941010","MALZEVILLE (ANCIENNE)","MEURTHE",,,,,"S","114570",38.8,7.2,280,410,500,"MLZA",,"06/18/03 00:00:00",,,,,0,"12/06/04 13:52:00",,,,,,
137,"B1100000","NEUFCHATEAU","MEUSE",848055,93788665,,,"S","114570",9.65,0.2,150,220,270,"NEUF","z=268 !!!!","04/28/03 00:00:00","00",,,,1,"08/12/16 10:13:00",,300,,"B110000001","B1100000",
138,"B7000010","MONTHERME (HAUTEUR)","MEUSE",,,,,"S","114570",,,,,,"MONTH","Du 06/05/00 au 24/09/01, construction d'un barrage automatique à clapets en remplacement du barrage à aiguilles.A partir du 24/09/01 prise en compte des nouvelles échelles avec 0  nivellé à 130.03 IGN 69.","06/18/03 00:00:00",,,,,1,"05/15/18 16:38:00",,,,"B700001002","B7000010",
139,"B5020010","SEDAN","MEUSE",,,,,"S","114570",81.09999999999999,18,340,440,500,"SEDA",,"04/24/03 00:00:00",,,,,1,"07/19/17 11:23:00",,,,"B502001001","B5020010",
140,"B1052010","SOMMERECOURT","MOUZON",847246,2363693,,,"S","114570",2.09,0.093,41,64,79,"SOMM","z=304!!!!","04/24/03 00:00:00","00",,,,1,"09/04/17 13:45:00",,330,,"B105201001","B1052010",
141,"B5400010","CHARLEVILLE-MEZIERES","MEUSE",,,,,"S","114570",,,290,410,500,"CHAR",,"04/24/03 00:00:00",,,,,0,"04/18/18 13:33:00",,,,"B540001001","B5400010",
142,"A8201010","JARNY [LABRY]","l'orne",,,,,"S","114570",,,,,,"LABR",,,"00",,,,2,"05/25/21 16:41:00",,,,"A820101001","A8201010",
143,"A8122000","HANNONVILLE-SUZÉMONT","l'yron",,,,,"S","114570",0.893,0.06,13,18,21,"HANN",,"05/15/02 00:00:00","00",,,,2,"06/09/16 10:33:00",,,,"A812200001",,
144,"B3010010","BELLEVILLE-SUR-MEUSE","MEUSE",,,,,"S","114570",40,3.8,250,360,420,"BELL",,"07/28/03 00:00:00",,,,,1,"05/29/20 10:01:00",,,,"B301001001","B3010010",
145,"B3210010","MOUZON","MEUSE",,,,,"S","114570",,,,,,"MOUZ",,"04/24/03 00:00:00","00",,,,0,"02/24/10 12:06:00",,,,,,
146,"B4021010","LONGWY","CHIERS",,,,,"S","114570",3.3,0.83,45,64,76,"LONG",,"04/24/03 00:00:00",,,,,1,"09/08/16 14:41:00",,,,"B402101001","B4021010",
147,"A5261020","MIRECOURT [CRUES]","le madon",,,,382,"S","114570",4.19,0.64,94,140,170,"MIRC","futur code A5251020","07/09/03 00:00:00","00",,,26297,2,"05/10/22 15:18:00",,,,"A526102001","A5261020",
