nocon,nosta,condatedeb,condatefin,condatemaj,condateenregistrement,condatecreation,concomment,connom,libcont1,valinf1,incer1,libcont2,valinf2,incer2,libcont3,valinf3,incer3,libcont4,valinf4,incer4,libcont5,valinf5,incer5
2,122,"12/01/21 00:00:00","01/01/50 00:00:00",,"12/09/21 18:41:00","12/09/21 18:39:00","analyse des jaugeages pour trouver les contrôles hydrauliques","analyse jaugeages","radier",0,20,"lit mineur",700,100,"lit majeur",1800,200,,,,,,
4,46,"10/01/21 00:00:00","01/01/50 00:00:00",,"12/15/21 11:08:00","12/15/21 09:56:00","après analyse de la dispersion des jaugeages, plusieurs seuils apparaissent. Il semble aussi que les nettoyages successifs réalisés sur le seuil aval depuis l'été 2021 aient modifiés les contrôles précédents","test ctrl hydro","radier",290,10,"seuil aval",380,20,"seuil ?",460,10,"lit mineur",800,50,"lit majeur",1100,100
5,88,"01/01/20 00:00:00","01/01/50 00:00:00",,"02/04/22 11:34:00","02/04/22 11:28:00","test des contrôles sur l'analyses des jaugeages","test 20220","radier",600,20,"seuil",850,50,"lit mineur",1100,30,"lit majeur",1250,50,,,
6,123,"12/01/21 00:00:00","01/01/50 00:00:00","02/11/22 14:52:00","02/11/22 14:59:00","12/09/21 17:38:00","l'analyse des jaugeages permet de voir se dessiner une tendance avec 4 contrôles hydrauliques.","test par jaugeages","radier",0,50,"lit mineur",550,50,"?",1800,100,"lit majeur",2200,100,,,
9,126,"01/01/00 00:00:00","01/01/50 00:00:00",,"05/17/22 14:43:00","05/17/22 14:36:00",,"analyse des jaugeage","radier",-400,30,"lit mineur",150,30,"pont en charge ?",400,50,"lit majeur",1050,50,,,
14,89,"01/01/71 00:00:00","12/31/83 23:59:00","05/23/22 15:32:00","05/23/22 15:32:00","05/20/22 10:36:00","analyse des jaugeages","seuil 1","radier",200,20,"lit mineur",500,20,"lit majeur",600,30,,,,,,
15,89,"01/01/84 00:00:00","01/01/50 00:00:00","05/23/22 15:33:00","05/23/22 15:33:00","05/20/22 14:02:00","analyse des jaugeages","seuil 2","radier",200,20,"lit mineur",440,20,"lit majeur",800,50,,,,,,
16,155,"01/01/00 00:00:00","01/01/50 00:00:00",,"06/22/22 13:20:00","06/22/22 11:07:00","identification des seuils suite à jaugeage du 21/06/2022","test","Passes à poisson",600,100,"seuil de décharge",990,40,,,,,,,,,
17,103,"01/01/20 00:00:00","01/01/50 00:00:00",,"06/23/22 10:45:00","06/23/22 10:44:00","L'analyse des jaugeages fait ressortir 2 seuils ","seuils test","radier",200,30,"lit mineur",350,30,"lit majeur",650,50,,,,,,
18,4,"01/01/10 00:00:00","01/01/50 00:00:00",,"06/23/22 11:49:00","06/23/22 11:49:00","analyse des jaugeages possible seuil a verrifier.","seuil probable","seuil ?",1100,50,,,,,,,,,,,,
