nosta,ladate,valeur
16,"06/10/21 11:20:00",0
16,"07/07/21 10:37:00",-40
23,"10/02/08 00:00:00",-49
23,"09/18/08 00:00:00",-35
23,"10/12/08 00:00:00",-23
23,"10/28/08 00:00:00",0
23,"09/28/08 00:00:00",-49
23,"09/01/08 00:00:00",0
23,"10/25/15 00:00:00",0
23,"10/31/15 12:00:00",-30
23,"11/20/15 00:00:00",0
23,"10/25/15 09:30:00",-50
23,"08/01/88 11:00:00",0
23,"08/01/88 12:00:00",20
23,"08/22/88 12:00:00",15
23,"02/03/89 12:00:00",40
23,"02/25/89 03:00:00",40
23,"02/25/89 17:00:00",0
27,"04/10/91 00:00:00",0
27,"04/16/91 00:00:00",-36
27,"04/30/91 00:00:00",-37
27,"12/10/13 00:00:00",75
27,"05/16/91 20:00:00",-30
27,"05/17/91 09:00:00",0
27,"05/31/92 23:00:00",0
27,"06/03/92 00:00:00",-30
27,"06/22/92 11:00:00",-30
27,"06/22/92 12:30:00",0
27,"04/20/09 00:00:00",0
27,"05/27/09 00:00:00",-40
27,"06/12/09 00:00:00",-30
27,"06/18/09 00:00:00",-10
27,"07/03/09 00:00:00",0
27,"01/16/12 00:00:00",0
27,"01/27/12 00:00:00",30
27,"03/05/12 00:00:00",35
27,"04/05/12 00:00:00",0
27,"11/24/13 00:00:00",0
27,"12/16/13 00:00:00",85
34,"08/08/12 10:00:00",-35
36,"06/29/01 00:00:00",0
36,"08/23/01 13:00:00",-46
36,"10/29/01 00:00:00",0
36,"07/29/09 00:00:00",0
36,"08/03/09 14:00:00",-24
36,"08/12/09 14:00:00",-18
36,"08/27/09 12:00:00",-16
36,"09/09/09 00:00:00",0
36,"02/28/10 00:00:00",0
36,"03/23/10 12:00:00",-20
36,"04/16/10 12:00:00",-16
36,"05/05/10 00:00:00",0
36,"06/28/10 00:00:00",0
36,"07/23/10 12:00:00",-41
36,"08/06/10 12:00:00",-35
36,"08/27/10 11:00:00",-32
36,"09/14/10 11:00:00",-22
36,"10/09/10 00:00:00",0
36,"02/14/12 00:00:00",0
36,"02/17/12 12:00:00",16
36,"03/06/12 14:00:00",7
36,"03/20/12 00:00:00",0
36,"08/25/14 00:00:00",0
36,"09/26/14 12:00:00",-12
36,"10/21/14 00:00:00",0
36,"11/17/03 10:00:00",200
36,"11/19/03 12:00:00",200
36,"09/26/03 10:00:00",150
36,"09/26/02 15:00:00",30
36,"10/01/03 00:00:00",150
36,"09/16/03 00:00:00",0
36,"09/16/03 14:00:00",170
36,"09/17/03 12:00:00",220
36,"09/23/03 14:00:00",300
36,"10/02/03 15:00:00",110
36,"10/03/03 00:00:00",0
36,"11/06/03 00:00:00",0
36,"11/06/03 19:00:00",200
36,"11/11/03 12:00:00",200
36,"11/11/03 19:00:00",0
36,"10/05/02 18:00:00",0
36,"11/17/03 07:00:00",0
36,"11/24/03 17:00:00",250
36,"11/24/03 22:00:00",0
36,"02/01/11 00:00:00",0
36,"02/09/11 11:00:00",5
36,"02/24/11 12:00:00",20
36,"03/10/11 13:00:00",5
36,"03/27/11 00:00:00",0
