noct,cdatedeb,cdatefin
3072,"09/28/16 00:00:00","10/12/16 00:00:00"
3085,"07/10/17 00:00:00","07/12/17 00:00:00"
3091,"11/10/17 00:00:00","11/15/17 23:00:00"
3092,"09/18/17 00:00:00","09/19/17 23:00:00"
3094,"04/17/18 00:00:00","04/19/18 00:00:00"
3096,"06/20/18 00:00:00","07/10/18 00:00:00"
3102,"07/20/18 00:00:00","08/02/18 00:00:00"
3860,"12/01/09 00:00:00","03/20/10 00:00:00"
3860,"12/01/10 00:00:00","01/31/11 00:00:00"
3861,"12/01/09 00:00:00","03/20/10 00:00:00"
3861,"12/01/10 00:00:00","01/31/11 00:00:00"
3862,"06/01/09 00:00:00","12/01/09 00:00:00"
3863,"03/20/10 00:00:00","05/01/10 00:00:00"
7576,"02/05/94 23:00:00","01/10/95 13:00:00"
7579,"02/20/14 12:30:00","03/09/15 10:30:00"
7579,"04/08/15 11:30:00","08/31/15 14:00:00"
7585,"03/11/16 15:30:00","11/20/16 17:30:00"
9612,"03/25/19 09:00:00","01/20/20 13:40:00"
9612,"10/23/20 07:00:00","12/28/20 10:10:00"
9612,"02/25/21 15:10:00","03/02/21 10:30:00"
9613,"01/20/20 13:40:00","10/23/20 07:00:00"
9613,"02/01/22 13:10:00","05/09/22 11:55:00"
9613,"10/31/23 11:15:00","02/10/24 11:00:00"
9614,"03/02/21 10:30:00","03/18/21 08:30:00"
9614,"12/12/21 15:30:00","02/01/22 13:10:00"
9614,"02/10/24 11:00:00","09/03/24 08:50:00"
9615,"02/07/23 10:35:00","03/11/23 11:55:00"
9615,"04/04/23 08:45:00","05/05/23 09:25:00"
9617,"03/11/23 11:55:00","04/04/23 08:45:00"
9875,"09/03/08 00:00:00","04/11/09 00:00:00"
9875,"11/10/09 00:00:00","05/28/10 00:00:00"
9875,"11/01/10 00:00:00","05/03/11 00:00:00"
9878,"08/10/09 00:00:00","11/10/09 00:00:00"
10487,"09/03/24 08:50:00","01/08/25 13:40:00"
10488,"01/08/25 13:40:00","06/19/25 18:00:00"
