nosec,nosta,snom,sdatedeb,sdatefin,szero,sfond,scomment,susage,sdatemaj,sdateenregistrement,sdatecreation
0,0,"Section_de_2009","12/30/09 00:00:00","12/31/50 00:00:00",0,-4,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 30/12/2009 à 10:00",,,"08/08/12 16:06:00","08/08/12 16:06:00"
1,3,"Section_de_2003","02/20/03 11:30:00","12/31/50 00:00:00",0,-10,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 20/02/2003 à 11:30",,,"08/08/12 16:13:00","08/08/12 16:13:00"
2,5,"1","03/08/16 00:00:00","03/08/50 00:00:00",0,-195,,,,"03/09/16 10:30:00","03/09/16 10:27:00"
3,7,,"01/01/07 00:00:00","12/31/50 00:00:00",9725,9725,"Profil de la section de jaugeage à pied, réalisé à partir du jaugeage n° 341 du 01/12/2008. Hauteur échelle retenue : 76cm ",,"03/02/09 11:42:00","03/02/09 11:45:00","03/13/08 17:01:00"
4,8,,"01/01/07 00:00:00","12/31/50 00:00:00",88,64,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 11/02/2008 à 15:30",,,"11/02/10 17:11:00","11/02/10 17:11:00"
5,14,"Section_de_2006","02/18/06 00:00:00","12/31/50 00:00:00",0,-29,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 18/02/2006 à 15:10",,,"08/08/12 12:54:00","08/08/12 12:54:00"
6,14,"Section-de-2008","01/08/08 00:00:00","12/31/50 00:00:00",0,-28,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 08/01/2008 à 09:00",,,"08/08/12 13:25:00","08/08/12 13:25:00"
7,14,"section svr","03/08/19 00:00:00","03/08/50 00:00:00",17016,16987,,3,,"03/08/19 10:21:00","03/08/19 10:15:00"
8,14,"section 2 svr","03/08/19 00:00:00","03/08/50 00:00:00",17016,16987,"8 cm enlevé à la côte NGF de l'échelle car sur le terrain il n'y a pas eu la possibilité de prendre le zéro de l'eau.",3,,"03/08/19 11:26:00","03/08/19 10:45:00"
9,15,"Section_de_2006","03/05/06 00:00:00","12/31/50 00:00:00",0,-167,"Cette section est établie à partir du profil en travers du jaugeage réalisé le 05/03/2006 à 10:20",,,"08/08/12 15:45:00","08/08/12 15:45:00"
11,23,"2-section capteur","08/01/04 00:00:00","12/31/04 00:00:00",27,0," Zéro de l'echelle limni = 47cm soit le zéro de la section (point le plus bas).Calage du zéro( lecture capteur) au dessus du fond =27 cm  ",,,,
12,23,"1 Section référence","05/23/03 00:00:00","12/31/10 00:00:00",47,0," Zéro de l'échelle limni. = 47 cm soit le zéro de la section ( point le plus bas)",,,,
13,27,"section avale pont","02/28/03 00:00:00","12/31/50 00:00:00",52,14,,,,,
14,28,"01","01/01/01 00:00:00","12/31/01 00:00:00",150,10,"0 de l'échelle non validé",,,,
15,30,"face amont","07/01/10 00:00:00","12/31/15 00:00:00",4865,4829,"Q0 à 0.375 à l'échelle",,,"07/08/10 11:36:00","07/08/10 09:57:00"
16,31,"Face amont pont","01/01/10 00:00:00","12/31/50 00:00:00",5712,5699,"Q0 à 0.41 à l'échelle",,,"07/08/10 11:33:00","05/19/10 13:12:00"
17,31,"section crue amont","01/01/85 00:00:00","01/01/50 00:00:00",5712,5699,"section de débordement au droit de l'échelle. Limite rive droite : mur de l'atelier du moulin. L'abscisse zéro correspond à l'emplacement de l'échelle.",,,"03/04/14 17:33:00","03/04/14 17:01:00"
18,34,"SECTION STATION","05/07/04 00:00:00","12/31/50 00:00:00",36,0,,,,,
19,36,"SECTION SEUIL","05/07/04 00:00:00","12/31/50 00:00:00",78,0,,,,,
20,51,"droit capteur","09/01/15 00:00:00","12/31/50 00:00:00",2,742,"section extraite du jaugeage du 10/09/2015 au SP",,,"09/24/15 14:38:00","09/24/15 11:28:00"
21,51,"maixe new","01/01/10 00:00:00","01/01/50 00:00:00",0,0,"fond à environ  + 6.95 m NGF",,,"01/28/16 10:43:00","04/27/11 15:23:00"
