numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
0,0,"01/01/47 00:00:00","09/07/88 00:00:00","5","50","mise en service de la station amont rive gauche",,"01/17/13 11:12:00","08/08/12 16:05:00"
1,0,"01/01/53 00:00:00",,"3","30","mise en place limnigraphe",,"01/17/13 10:45:00","01/17/13 10:45:00"
2,0,"11/17/88 00:00:00",,"3","30","nouvelle station avec nouvelle échelle mise en place en amont rive droite
nouveau zero d'échelle",,"01/17/13 11:12:00","01/17/13 10:46:00"
3,0,"01/01/47 00:00:00","01/01/00 00:00:00","5","50","exploitation station par DIREN centre",,"01/17/13 10:46:00","01/17/13 10:46:00"
4,0,"01/01/00 00:00:00",,"5","50","exploitation station DIREN Limousin",,"01/17/13 10:47:00","01/17/13 10:47:00"
5,0,"11/19/91 00:00:00",,"3","32","changement mouvement d'horlogerie",,"01/17/13 11:13:00","01/17/13 11:13:00"
6,0,"02/02/12 00:00:00","02/15/12 00:00:00","1","17","gel du ours d'eau; données débit estimées",,"02/11/13 10:18:00","02/11/13 10:18:00"
7,1,"05/17/11 00:00:00",,"2","20","Nouvelle échelle mise en place en rive gauche dont le zéro est calé par rapport au zéro de l'ancienne échelle rive droite",,"10/12/11 09:16:00","10/12/11 09:16:00"
8,1,"06/21/94 00:00:00",,"5","50","creation station avec échelle de 2m
talonnage de la cote ",,"01/17/13 11:14:00","01/17/13 10:58:00"
9,1,"06/21/94 00:00:00",,"3","30","mise en place LPN8",,"01/17/13 11:14:00","01/17/13 10:58:00"
10,1,"08/30/95 00:00:00",,"3","32","descente de la prise de pression de 0.10 cm",,"01/17/13 11:14:00","01/17/13 11:14:00"
11,1,"02/03/12 00:00:00","02/14/12 00:00:00","1","17","gel du cours d'eau; données débit estimées",,"02/11/13 10:01:00","02/11/13 10:01:00"
12,1,"12/18/12 00:00:00",,"2","21",,,"12/13/13 15:21:00","12/13/13 15:21:00"
13,2,"11/29/01 00:00:00",,"5","50","mise en place station hydro en rempalcement de la station de Masléon (1966 au 29/11/2001)",,"01/17/13 10:49:00","01/17/13 10:49:00"
14,2,"12/05/12 11:00:00",,"5","50","mivellement échelle : 305.845",,"01/25/13 17:25:00","01/25/13 17:25:00"
15,2,"02/03/12 00:00:00","02/16/12 00:00:00","1","17","gel du cours d'eau. données débit estimées",,"02/11/13 10:45:00","02/11/13 10:45:00"
16,2,"06/11/10 00:00:00",,"2","21",,,"12/12/13 16:39:00","12/12/13 16:39:00"
17,2,"12/17/11 00:00:00",,"2","21",,,"12/12/13 16:39:00","12/12/13 16:39:00"
18,2,"04/29/12 00:00:00",,"2","21",,,"12/12/13 16:39:00","12/12/13 16:39:00"
19,3,"06/26/90 00:00:00",,"5","50","mise en service de la station avec échelle de 0 à 3m
creation de la station en remplacement de la station du Moulin de l'Age (1967 à 13/06/1990) suite à la création d'un micro centrale 10 m en amont de la station",,"01/17/13 13:16:00","08/08/12 16:12:00"
20,3,"06/27/90 00:00:00",,"3","30","mise en place OTT mensuel 1/5è",,"01/17/13 13:16:00","01/17/13 13:16:00"
21,3,"01/12/95 00:00:00",,"3","30","mise en place newlog",,"01/17/13 13:17:00","01/17/13 13:17:00"
22,3,"02/21/95 00:00:00",,"5","50","pose de la ligne téléphonique",,"01/17/13 13:17:00","01/17/13 13:17:00"
23,3,"12/05/12 09:45:00",,"5","50","nivellement échelle : 395.814",,"01/25/13 17:27:00","01/25/13 17:27:00"
24,3,"02/02/12 00:00:00","02/13/12 00:00:00","1","17","gel du cours d'eau",,"04/09/13 15:53:00","04/09/13 15:53:00"
25,3,"02/02/13 00:00:00",,"2","21","détarage suite à la crue de février 2013",,"12/11/13 15:38:00","12/11/13 15:38:00"
26,4,"01/01/42 00:00:00",,"5","50","creation station",,"01/17/13 10:54:00","01/17/13 10:54:00"
27,4,"01/01/48 00:00:00",,"3","30","mise en place limnigraphe",,"01/17/13 10:54:00","01/17/13 10:54:00"
28,4,"09/18/96 00:00:00",,"5","50","descente de la station de 15 cm sans changement de cote à l'échelle",,"01/17/13 10:55:00","01/17/13 10:55:00"
29,4,"08/31/88 00:00:00",,"5","50","refection totale de la passerelle d'acces",,"01/17/13 11:36:00","01/17/13 11:36:00"
30,4,"10/27/88 00:00:00",,"5","50","marquage pont",,"01/17/13 11:37:00","01/17/13 11:37:00"
31,4,"05/24/89 00:00:00",,"5","50","rempalcement troncon d'échelle de 0 à 1m",,"01/17/13 11:37:00","01/17/13 11:37:00"
32,4,"06/13/89 00:00:00",,"5","50","remplacement de troncon d'échelle de 1 à 4m",,"01/17/13 11:37:00","01/17/13 11:37:00"
33,4,"02/01/96 00:00:00",,"3","30","pose d'un newlog",,"01/17/13 11:37:00","01/17/13 11:37:00"
34,4,"03/08/96 00:00:00",,"3","30","mise en marche newlog",,"01/17/13 11:38:00","01/17/13 11:38:00"
35,10,"06/25/10 00:00:00","06/30/10 00:00:00","4","42","reconstitution des débits et des hauteurs à partir de Forgefer -4h",,"10/13/11 09:51:00","10/13/11 09:51:00"
