nogest,nomgest,numsandre,boite,ensemble,rue,lieudit,ville,codepostal,nomcontact
"000000","DDTM 17 / SPCLA","000",,,"89 AVENUE DES CORDELIERS",,"LA ROCHELLE CEDEX 1","17018",
"007007","DREAL NA / HPC VCA","007","CS 60539","15","Arthur Ranc",,"POITIERS","86 020","Isabelle LEVAVASSEUR"
"108440","DIREN PAYS DE LA LOIRE- ANGERS- JC","108",,,"126 RUE SAINT JACQUES",,"ANGERS","49000","COUSSEAU JOCELYN"
"108444","DREAL PAYS DE LA LOIRE - SRNT - Unité Hydrométrie","108",,,,,,,
"108490","Diren Pays de la Loire - Angers - JV","108",,,"126 rue St Jacques",,"Angers","49000","José Vidal"
"108491","Diren Pays de la Loire - Angers - YA","108",,,"126 rue St Jacques",,"Angers","49000","Yves Audusseau"
"108492","Diren Pays de la Loire - Angers - GLB","108",,,"126 rue St Jacques",,"Angers","49000","Le Borgne Gilles"
"108493","Diren Pays de la Loire - Angers - SM","108",,,"126 rue St Jacques",,"Angers","49000","Stéphanie MARZIOU"
"109862","DIREN POITOU-CHARENTES SEMA 09","109",,,,,"POITIERS","86000","BOULENGIER J-LUC"
"111331","sema aquitaine","111","93",,"de la Liberté",,"bdx",,
"111332","D.I.R.E.N Aquitaine(Hydrométrie Nord)","111",,,"29 Rue de l'Ecole Normale","Caudéran","Bordeaux","33000",
"113873","Diren Limousin","113",,,,,,,
"976000","DEAL Mayotte","976","BP 109",,,"Terre-Plein Mtsapéré","Mamoudzou","97600","DEAL_SEPR_GSRE_Anil AKBARLY"
