nosta,qmin,qmax,priorite
7,50,298,1
8,24.5,68.800003,1
8,11.2,22.200001,2
75,10.2,43.099998,1
113,9.9300003,44.900002,1
76,15.1,41.5,2
76,2.3299999,9.0600004,1
77,164,501,1
78,3.4100001,20,2
78,0.87599999,3.28,1
47,3.99,16,1
47,16,27,2
63,7.5900002,14.4,1
63,14.5,36.099998,2
111,4.3899999,12.7,1
111,0.88599998,4.1399999,2
5,20.200001,30,2
5,5.21,10.1,1
114,3.3099999,40.299999,1
143,19,39.900002,2
143,3.01,6.54,1
55,89.900002,241,2
55,42.900002,89.599998,1
60,7,36.400002,2
60,4.02,6.9899998,1
154,120,300,1
154,300,1280,2
158,2.53,329,1
158,329,910,2
2,10.2,19.799999,1
2,20.9,35.599998,2
82,10.1,17.299999,1
82,20,44.900002,2
136,2.52,180,1
50,1,1.8,1
50,1.8,4.4200001,2
120,254,1460,2
120,153,248,1
137,14.7,100,2
137,2.28,13.2,1
48,140,339,1
48,339,639,2
69,32.900002,61.200001,2
69,15.8,24.200001,1
74,941,1740,2
74,600,901,1
95,2250,3560,2
95,1250,2250,1
4,136,279,2
4,69.599998,136,1
172,6.0900002,8.8999996,2
172,1.99,6.0900002,1
117,33.200001,75.199997,2
117,20.5,31.1,1
79,5.77,10.4,1
79,10.7,66.099998,2
37,12.5,26.9,2
37,6.3899999,8.3400002,1
37,8.3400002,8.9700003,1
179,13.4,25.5,2
179,8.3000002,13.2,1
184,27.6,35.700001,2
184,7.2399998,19.9,1
97,9.3500004,35.299999,2
97,6.7600002,9.2399998,1
88,333,1580,2
121,105,246,1
121,246,606,2
123,137,215,1
123,214,782,2
130,572,2020,2
130,286,566,1
16,337,463,1
16,599,1610,2
17,7.6599998,14.4,1
17,14.4,53.400002,2
131,699,1670,2
131,314,462,1
129,163,1090,2
129,89.599998,161,1
93,199,460,2
93,88.099998,178,1
127,70.099998,203,2
64,315,638,2
103,314,1700,2
65,94.800003,463,2
65,48.400002,73.400002,1
104,205,400,1
104,400,1250,2
68,55.299999,93.599998,2
