noct,ladate
10945,"06/21/24 12:31:00"
2071,"01/02/94 00:00:00"
2071,"01/27/88 00:00:00"
2071,"01/07/94 00:00:00"
2071,"01/24/95 00:00:00"
2071,"01/20/98 00:00:00"
2072,"02/13/79 00:00:00"
2072,"02/09/77 00:00:00"
2072,"01/17/84 00:00:00"
2072,"01/07/94 00:00:00"
2072,"01/24/95 00:00:00"
2072,"01/20/98 00:00:00"
2072,"02/11/88 00:00:00"
2072,"01/02/94 00:00:00"
2072,"01/27/88 00:00:00"
2282,"01/11/96 11:15:00"
2282,"12/26/95 14:30:00"
2282,"02/10/99 14:11:00"
2282,"09/30/99 14:45:00"
2587,"03/15/04 13:15:00"
2587,"04/11/07 11:00:00"
2587,"12/14/06 13:00:00"
2645,"05/02/01 15:30:00"
2645,"01/05/61 00:00:00"
2645,"01/25/95 00:00:00"
2645,"01/02/94 00:00:00"
2645,"02/07/74 00:00:00"
2645,"12/28/65 00:00:00"
2645,"02/11/88 00:00:00"
2645,"02/02/88 00:00:00"
2645,"03/09/95 00:00:00"
2645,"03/10/99 00:00:00"
2645,"03/23/88 00:00:00"
2645,"03/20/01 13:00:00"
2645,"03/20/01 12:00:00"
2645,"01/07/94 00:00:00"
2645,"01/08/82 00:00:00"
2645,"03/22/74 00:00:00"
2667,"05/02/01 15:30:00"
2667,"01/05/61 00:00:00"
2667,"01/25/95 00:00:00"
2667,"01/02/94 00:00:00"
2667,"02/07/74 00:00:00"
2667,"01/07/94 00:00:00"
2667,"01/08/82 00:00:00"
2667,"03/22/74 00:00:00"
4096,"12/27/99 12:21:00"
4096,"11/27/00 11:30:00"
4096,"02/21/00 15:50:00"
4096,"01/16/01 15:50:00"
4105,"12/27/99 12:21:00"
4105,"01/27/04 14:20:00"
4105,"11/27/00 11:30:00"
4110,"12/27/99 12:21:00"
4110,"01/27/04 14:20:00"
4110,"11/27/00 11:30:00"
4894,"11/07/95 14:10:00"
7223,"02/10/21 11:15:00"
7223,"03/05/20 10:45:00"
7224,"02/10/21 11:15:00"
7224,"03/05/20 10:45:00"
5053,"12/17/11 09:04:00"
5053,"12/29/20 10:44:00"
5053,"02/09/21 10:20:00"
5127,"05/10/04 14:45:00"
5127,"02/13/02 13:00:00"
5168,"05/28/08 13:45:00"
5168,"02/09/21 13:30:00"
5168,"09/24/20 11:50:00"
5936,"02/02/21 10:15:00"
5936,"02/04/21 11:00:00"
6409,"02/11/21 12:45:00"
6711,"01/11/23 11:58:00"
6711,"01/18/23 12:30:00"
6714,"01/11/23 11:58:00"
6714,"01/18/23 12:30:00"
6716,"01/11/23 11:58:00"
6716,"01/18/23 12:30:00"
6719,"01/11/23 11:58:00"
6719,"01/18/23 12:30:00"
7690,"05/28/08 13:45:00"
6962,"02/11/16 10:55:00"
6962,"12/24/19 10:45:00"
6975,"02/02/21 10:15:00"
6975,"02/04/21 11:00:00"
7072,"02/14/14 10:00:00"
7072,"03/06/20 11:00:00"
7072,"01/23/21 08:50:00"
7072,"02/11/19 13:00:00"
7065,"03/06/20 18:00:00"
7065,"02/12/13 14:25:00"
490,"01/08/82 00:00:00"
490,"01/07/94 00:00:00"
490,"01/03/94 00:00:00"
490,"01/24/95 00:00:00"
490,"05/03/01 11:45:00"
8099,"01/22/21 12:50:00"
8100,"01/22/21 12:50:00"
490,"03/10/99 00:00:00"
491,"01/08/82 00:00:00"
491,"01/07/94 00:00:00"
491,"01/03/94 00:00:00"
491,"03/22/74 00:00:00"
491,"01/24/95 00:00:00"
491,"05/03/01 11:45:00"
491,"01/26/78 00:00:00"
491,"02/25/70 00:00:00"
491,"02/11/88 00:00:00"
491,"02/10/77 00:00:00"
492,"01/08/82 00:00:00"
492,"01/07/94 00:00:00"
492,"01/03/94 00:00:00"
492,"03/22/74 00:00:00"
492,"01/24/95 00:00:00"
492,"05/03/01 11:45:00"
492,"01/26/78 00:00:00"
492,"02/25/70 00:00:00"
492,"02/11/88 00:00:00"
492,"02/10/77 00:00:00"
493,"01/08/82 00:00:00"
493,"01/07/94 00:00:00"
493,"01/03/94 00:00:00"
493,"03/22/74 00:00:00"
493,"01/24/95 00:00:00"
493,"05/03/01 11:45:00"
493,"01/26/78 00:00:00"
493,"02/11/88 00:00:00"
493,"02/10/77 00:00:00"
494,"01/03/94 00:00:00"
494,"03/22/74 00:00:00"
494,"01/24/95 00:00:00"
494,"05/03/01 11:45:00"
494,"01/26/78 00:00:00"
494,"02/25/70 00:00:00"
494,"02/11/88 00:00:00"
494,"02/10/77 00:00:00"
494,"01/08/82 00:00:00"
494,"01/07/94 00:00:00"
495,"01/08/82 00:00:00"
495,"01/07/94 00:00:00"
495,"01/03/94 00:00:00"
495,"01/24/95 00:00:00"
495,"05/03/01 11:45:00"
495,"01/26/78 00:00:00"
495,"02/25/70 00:00:00"
495,"02/11/88 00:00:00"
495,"02/10/77 00:00:00"
496,"01/08/82 00:00:00"
496,"01/07/94 00:00:00"
496,"01/03/94 00:00:00"
496,"03/22/74 00:00:00"
496,"01/24/95 00:00:00"
496,"05/03/01 11:45:00"
496,"01/26/78 00:00:00"
496,"02/25/70 00:00:00"
496,"02/11/88 00:00:00"
496,"02/10/77 00:00:00"
