numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
-1,"---Courantomètre---",,0.1,,,,,,,,,,
0,"C2 2-78809",2.75,0.1055,0.012,,0.1015,0.023,,,,,,
1,"OTT 112924",0.75,0.2487,0.012,,0.2593,0.004,,,,,,
2,"OTT 97147",0.65,0.2492,0.016,,0.2599,0.008999999999999999,,,,,,
3,"OTT 55374",0.72,0.2435,0.018,,0.2615,0.005,,,,,,
4,"OTT 13235 H1",7.27,0.0567,0.03,,0.0545,0.046,,,,,,
5,"OTT 77576 H1",3.18,0.0606,0.015,6.56,0.0562,0.029,,0.053,0.05,,,
6,"OTT 70334 H2",25,0.1025,0.019,,0.1025,0.091,,,,,,
7,"OTT 23996 H2",1.29,0.0878,0.044,,0.1025,0.025,,,,,,
8,"OTT 87230",,0.1023,0.017,,,,,,,,,
9,"OTT 24564 H2",1.32,0.0907,0.034,,0.1028,0.018,,,,,,
10,"OTT 97853 H2",1.05,0.097,0.021,11,0.103,0.015,,0.101,0.037,,,
11,"OTT 78808 H2",2.8,0.105,0.014,,0.1025,0.021,,,,,,
12,"OTT 55602 H3",0.68,0.2295,0.02,,0.2545,0.003,,,,,,
13,"OTT plastique",0.67,0.2309,0.017,,0.2503,0.004,,,,,,
14,"OTT 55887 H2",3.33,0.1049,0.01,,0.1025,0.018,,,,,,
15,"OTT 85400",,0.2558,0.011,,,,,,,,,
16,"OTT 133351",5.83,0.1031,0.013,,0.1019,0.02,,,,,,
17,"OTT 133350",7.5,0.103,0.013,,0.1018,0.022,,,,,,
19,"OTT135375.25",0.62,0.2251,0.018,,0.2478,0.004,,,,,,
20,"C2 H3 109017",0.78,0.2351,0.021,,0.2531,0.007,,,,,,
21,"SEBA 1597  H: 250 1569",1.74,0.2473,0.0123,,0.2568,-0.0042,,,,,,
22,"SEBA 1598 H 250 1568",1.74,0.2473,0.0123,,0.2568,-0.0042,,,,,,
23,"SEBA 1598 H 50 637",2.08,0.06419999999999999,0.0154,7.22,0.0568,0.0308,,0.0536,0.0536,,,
24,"C2 H2 103712",8.119999999999999,0.1023,0.017,,0.1007,0.03,,,,,,
25,"SEBA 1466  H: 250 1454",1.74,0.2473,0.0123,,0.2568,-0.0042,,,,,,
26,"C2 H1 77575",2.05,0.0636,0.013,8.26,0.0558,0.029,,0.0525,0.048,,,
27,"C2 H1 109347",2.1,0.064,0.016,8.57,0.0559,0.033,,0.0531,0.057,,,
28,"C2 H3 110790",0.61,0.2273,0.021,,0.2551,0.004,,,,,,
29,"C31 H1 163829 50kg",0.87,0.2446,0.017,,0.2606,0.003,,,,,,
30,"C2 10150  H3 216296",0.71,0.2303,0.021,,0.2557,0.003,,,,,,
31,"C31 H2 150308 100kg",0.33,0.4739,0.017,,0.5222,0.001,,,,,,
32,"OTT-C31-221729-H3-221669",0.21,0.9175,0.028,,1.029,0.005,,,,,,
33,"C2 H3 13235",1,0.2479,0.012,,0.2529,0.007,,,,,,
34,"C2 H3 71917",0.72,0.2311,0.021,,0.2533,0.005,,,,,,
35,"C2 H2 23998",,0.1035,0.013,,,,,,,,,
36,"C2 H1 99451",1.9,0.06419999999999999,0.013,9.6,0.0563,0.028,,0.0538,0.052,,,
37,"C2 H2 103713",6,0.1036,0.014,,0.1016,0.026,,,,,,
38,"C31 H1 16795",0.63,0.253,0.008,,0.261,0.003,,,,,,
39,"C31 H1 163829 100 KG",1.06,0.2555,0.012,,0.2621,0.005,,,,,,
40,"13676-3",0.59,0.2187,0.042,3.52,0.2456,0.026,,0.251,0.007,,,
99,"C2 1-99434",2.04,0.0625,0.016,7.11,0.0576,0.026,,0.0538,0.053,,,
101,"OTT-C2-205145-h1-208547",2.12,0.06270000000000001,0.013,7.78,0.0561,0.027,,0.0534,0.048,,,
102,"OTT-C2-205145-h2-203416",11.33,0.1032,0.012,,0.1017,0.029,,,,,,
103,"OTT-C2-205145-h3-216293",0.73,0.2375,0.017,,0.2552,0.004,,,,,,
105,"OTT-C2-205145-h5-203506",8.33,0.0566,0.031,,0.0536,0.056,,,,,,
106,"OTT-C2-205145-h6-212727",,0.1033,0.023,,,,,,,,,
110,"C31 1-112908 >06/09",0.97,0.2464,0.016,,0.27,0.007,,,,,,
218,"OTT C31 69101 - H2 130218",0.33,0.4609,0.02,,0.5184,0.001,,,,,,
547,"OTT C31 69101 - H4 129547",,0.1334,0.022,,,,,,,,,
1000,"C2 H1 ddt indre",2.2,0.06419999999999999,0.013,8.18,0.056,0.031,,0.0538,0.049,,,
1010,"C2 1-107379",1.94,0.0631,0.017,7.27,0.0569,0.029,,0.0536,0.053,,,
1020,"C2 2-107878",,0.1028,0.017,,,,,,,,,
1466,"SEBA 1466  H: 50 572",2.08,0.06419999999999999,0.0154,7.22,0.0568,0.0308,,0.0536,0.0539,,,
1569,"SEBA 1597-H250.1569",1.74,0.2473,0.0123,,0.2568,-0.0042,,,,,,
1597,"SEBA 1597 H: 50 636",2.08,0.06419999999999999,0.0154,7.22,0.0568,0.0308,,0.0536,0.0536,,,
1900,"C31 1-87022 50kg",,0.2577,0.006,,,,,,,,,
