noct,nopt,h,q
10692,1,1,0
10692,2,267,0.088
10692,3,296,0.107
10692,4,312,0.125
10692,5,352,0.191
10692,6,393,0.296
10692,7,430,0.45100001
10692,8,466,0.62400001
10692,9,541,1.15
10692,10,618,1.77
10692,11,704,2.5799999
10692,12,828,4.0599999
10692,13,968,6.54
10692,14,1064,8.9700003
10692,15,1165,12.4
10692,16,1265,17.200001
10692,17,1473,32.799999
10692,18,1625,46.099998
10694,1,0,0.001
10694,2,63,0.003
10694,3,110,0.016000001
10694,4,142,0.028000001
10694,5,166,0.037999999
10694,6,243,0.078000002
10694,7,288,0.12899999
10694,8,325,0.19499999
10694,9,362,0.28999999
10694,10,402,0.428
10694,11,428,0.53600001
10694,12,471,0.722
10694,13,522,0.94700003
10694,14,755,2.02
10694,15,1035,3.4100001
0,11,460,0.222
0,12,490,0.324
0,13,520,0.44299999
0,14,590,0.78399998
0,15,660,1.21
0,16,730,1.72
0,17,870,2.97
0,18,1010,4.52
0,19,1150,6.3600001
0,20,1440,11
0,21,1730,16.9
0,22,2000,23.200001
3,1,450,0.2
3,2,481,0.30000001
3,3,515,0.41800001
3,4,554,0.58099997
3,5,626,0.97299999
3,6,710,1.58
3,7,784,2.25
3,8,961,4.21
3,9,1100,5.9699998
3,10,1244,8.0200005
3,11,1390,10.3
3,12,1535,12.9
3,13,1680,15.9
3,14,2000,23.299999
4,1,470,0.011
4,2,480,0.029999999
4,3,490,0.056000002
4,4,500,0.086999997
4,5,510,0.122
4,6,520,0.161
4,7,530,0.204
4,8,560,0.35100001
4,9,590,0.523
4,10,660,1.01
4,11,730,1.59
4,12,800,2.26
4,13,940,3.71
4,14,1080,5.4499998
4,15,1370,9.9499998
4,16,1541,13
4,17,1675,15.8
4,18,2000,23.299999
5,1,456,0.227
5,2,519,0.43099999
5,3,588,0.74800003
5,4,660,1.14
5,5,737,1.67
5,6,815,2.3800001
5,7,993,4.1100001
5,8,1127,5.5799999
5,9,1200,6.6100001
5,10,1375,9.6899996
5,11,1644,15
5,12,1881,20.299999
5,13,2001,23.299999
6,1,650,0.175
6,2,660,0.228
6,3,690,0.41100001
6,4,720,0.62599999
6,5,790,1.22
6,6,860,1.9400001
6,7,1000,3.6300001
6,8,1132,5.5
6,9,1269,7.6999998
6,10,1384,9.79
6,11,1496,12
6,12,1600,14.1
6,13,1700,16.299999
7,1,450,0.1
7,2,460,0.122
7,3,470,0.146
7,4,500,0.23199999
7,5,530,0.338
7,6,560,0.46599999
7,7,590,0.61400002
7,8,660,1.04
7,9,730,1.59
7,10,804,2.25
7,11,949,3.6700001
7,12,1126,5.5700002
7,13,1196,6.54
7,14,1366,9.5299997
7,15,1671,15.6
7,16,1846,19.5
7,17,2000,23.299999
8,1,399,0.134
8,2,430,0.212
8,3,461,0.303
8,4,500,0.44499999
8,5,602,0.98900002
8,6,667,1.42
8,7,741,2.05
8,8,851,3.23
8,9,978,4.5500002
8,10,1113,6.1399999
8,11,1300,8.8199997
8,12,1522,12.6
8,13,1709,16.4
8,14,1842,19.4
8,15,2000,23.299999
9,1,400,0.046
9,2,410,0.063000001
9,3,420,0.082999997
9,4,430,0.106
9,5,440,0.131
9,6,450,0.15800001
9,7,480,0.25299999
9,8,510,0.366
9,9,540,0.49700001
9,10,610,0.87
9,11,680,1.33
9,12,750,1.88
9,13,890,3.2
9,14,1030,4.8299999
9,15,1170,6.75
9,16,1315,9.0500002
9,17,1462,11.5
9,18,1602,14.2
9,19,1751,17.299999
9,20,2000,23.5
10,1,399,0.134
10,2,430,0.212
10,3,461,0.303
10,4,500,0.44499999
10,5,602,0.98900002
10,6,667,1.42
10,7,741,2.05
10,8,851,3.23
10,9,969,5.1100001
10,10,1109,6.6100001
10,11,1340,9.4399996
10,12,1593,14
10,13,1781,18
10,14,2000,23.299999
11,1,606,0.028999999
11,2,618,0.055
10876,1,-93,0.030999999
10876,2,27,0.064000003
10876,3,56,0.090999998
10876,4,136,0.287
10876,5,208,0.54299998
10876,6,298,0.89899999
10876,7,406,1.4299999
10876,8,456,1.99
10876,9,516,2.74
10876,10,586,3.7
10876,11,686,5.2199998
10876,12,803,7.3699999
10876,13,936,9.9499998
10876,14,1703,17.700001
10876,15,2187,23
11,3,629,0.090999998
11,4,640,0.12899999
11,5,650,0.175
11,6,660,0.228
11,7,690,0.41100001
11,8,720,0.62599999
11,9,790,1.22
11,10,860,1.9400001
11,11,1000,3.6300001
11,12,1132,5.5
11,13,1269,7.6999998
11,14,1384,9.79
11,15,1496,12
11,16,1600,14.1
11,17,1700,16.299999
40,1,360,0.012
7115,1,386,0.064000003
7115,2,405,0.066
7115,3,427,0.071000002
7115,4,447,0.079999998
7115,5,463,0.096000001
7115,6,479,0.126
7115,7,503,0.18799999
40,2,370,0.028999999
40,3,380,0.046999998
40,4,390,0.067000002
40,5,410,0.111
40,6,423,0.142
40,7,443,0.197
40,8,455,0.23199999
40,9,492,0.36399999
40,10,530,0.53600001
40,11,569,0.75599998
40,12,610,1.03
40,13,650,1.33
40,14,711,1.83
40,15,771,2.3699999
40,16,861,3.27
40,17,1050,5.3299999
40,18,1150,6.5999999
40,19,1280,8.3900003
40,20,1400,10.5
40,21,1420,10.8
40,22,1480,12
40,23,1500,12.3
40,24,1650,15.3
40,25,1690,16.200001
40,26,1840,19.5
40,27,2080,25.299999
40,28,2210,28.6
41,1,301,0.0089999996
41,2,337,0.021
41,3,366,0.035999998
41,4,397,0.059999999
7950,1,180,0.46599999
7950,2,228,0.648
7950,3,276,0.85799998
7950,4,372,1.36
7950,5,413,1.5599999
7950,6,536,2.24
7950,7,658,3.05
7950,8,902,5.0700002
7950,9,1147,7.6700001
7950,10,1391,10.8
7950,11,1437,12.1
7950,12,1684,19.9
7950,13,1931,29.6
7950,14,2177,41.299999
7950,15,2186,42
41,5,425,0.077
41,6,454,0.112
41,7,501,0.249
41,8,536,0.417
41,9,571,0.62900001
41,10,615,0.91900003
41,11,653,1.1799999
41,12,699,1.52
41,13,737,1.8099999
41,14,764,2.03
41,15,866,3.0999999
41,16,1050,5.3299999
41,17,1150,6.5999999
41,18,1280,8.3900003
41,19,1400,10.5
41,20,1420,10.8
41,21,1480,12
41,22,1500,12.3
41,23,1650,15.3
41,24,1690,16.200001
41,25,1840,19.5
41,26,2080,25.299999
41,27,2210,28.6
42,1,301,0.0089999996
42,2,311,0.015
42,3,337,0.028000001
42,4,347,0.035
42,5,357,0.043000001
42,6,367,0.052000001
42,7,371,0.056000002
42,8,381,0.067000002
42,9,391,0.079999998
42,10,405,0.101
42,11,423,0.142
42,12,433,0.175
42,13,454,0.249
42,14,501,0.43399999
42,15,531,0.57200003
42,16,569,0.77499998
42,17,610,1.03
42,18,650,1.33
42,19,711,1.83
42,20,771,2.3699999
42,21,861,3.27
42,22,1050,5.3299999
42,23,1150,6.5999999
42,24,1280,8.3900003
42,25,1400,10.5
42,26,1420,10.8
42,27,1480,12
42,28,1500,12.3
42,29,1650,15.3
42,30,1690,16.200001
42,31,1840,19.5
42,32,2080,25.299999
42,33,2210,28.6
43,1,301,0.0089999996
43,2,337,0.021
43,3,366,0.035999998
43,4,398,0.064999998
43,5,425,0.092
43,6,458,0.141
43,7,482,0.208
43,8,495,0.24600001
43,9,536,0.43399999
43,10,571,0.62900001
43,11,615,0.91900003
43,12,653,1.1799999
43,13,699,1.52
43,14,737,1.8099999
43,15,764,2.03
43,16,866,3.0999999
43,17,1048,5.2600002
43,18,1155,6.6700001
43,19,1280,8.3900003
43,20,1401,10.5
43,21,1420,10.8
43,22,1480,12
43,23,1500,12.3
43,24,1650,15.3
43,25,1690,16.200001
43,26,1840,19.5
43,27,2080,25.299999
43,28,2210,28.6
45,1,417,0
45,2,427,0.017999999
45,3,437,0.041000001
45,4,447,0.067000002
45,5,457,0.093999997
45,6,477,0.154
45,7,497,0.21799999
45,8,527,0.32100001
45,9,568,0.472
45,10,598,0.72299999
45,11,638,1.08
45,12,688,1.5700001
45,13,738,2.0799999
45,14,838,3.1800001
45,15,988,4.9699998
45,16,1198,7.6900001
45,17,1348,10.1
45,18,1368,10.5
45,19,1388,10.8
45,20,1418,11.4
45,21,1438,11.7
45,22,1468,12.3
45,23,1488,12.6
45,24,1748,17.799999
45,25,1988,23.200001
45,26,2198,28.4
46,1,417,0
46,2,427,0.017999999
46,3,437,0.041000001
46,4,447,0.067000002
46,5,457,0.093999997
46,6,477,0.154
46,7,497,0.21799999
46,8,527,0.32100001
46,9,568,0.472
46,10,598,0.72299999
46,11,638,1.08
46,12,688,1.5700001
46,13,738,2.0799999
46,14,838,3.1800001
46,15,988,4.9699998
46,16,1198,7.6900001
46,17,1348,10.1
46,18,1368,10.5
46,19,1388,10.8
46,20,1418,11.4
46,21,1438,11.7
46,22,1468,12.3
46,23,1488,12.6
46,24,1748,17.799999
46,25,1988,23.200001
46,26,2198,28.4
48,1,301,0.0089999996
48,2,337,0.021
48,3,366,0.035999998
48,4,398,0.064999998
48,5,425,0.092
48,6,458,0.141
48,7,482,0.208
48,8,495,0.24600001
48,9,536,0.45199999
48,10,571,0.68300003
48,11,615,0.97399998
48,12,653,1.23
48,13,697,1.61
48,14,737,1.92
48,15,761,2.1400001
48,16,866,3.0999999
48,17,1048,5.2600002
48,18,1155,6.6700001
48,19,1280,8.3900003
48,20,1401,10.5
48,21,1420,10.8
48,22,1480,12
48,23,1500,12.3
48,24,1650,15.3
48,25,1690,16.200001
48,26,1840,19.5
48,27,2080,25.299999
48,28,2210,28.6
49,1,-100,0.29499999
49,2,-60,0.51800001
49,3,-20,0.79000002
49,4,50,1.37
49,5,120,2.0699999
49,6,260,3.8099999
49,7,380,5.6199999
49,8,520,8.8599997
49,9,810,17
49,10,1100,26.700001
49,11,1500,42.5
50,1,-100,0.329
50,2,-90,0.37400001
50,3,-80,0.42199999
50,4,-70,0.472
50,5,-60,0.52600002
50,6,-50,0.58200002
50,7,-40,0.64200002
50,8,-30,0.704
50,9,-20,0.76899999
50,10,-10,0.83700001
50,11,0,0.90799999
50,12,70,1.48
50,13,140,2.2
50,14,210,3.05
