nosec,snoptsec,sabsc,scoteinf,scotesup
52,9,2975,3072,
52,10,3172,3076,
52,11,3397,3084,
52,12,3565,3092,
52,13,3725,3110,
52,14,3860,3120,
52,15,4063,3128,
52,16,4354,3130,
52,17,4557,3156,
52,18,4824,3161,
52,19,5053,3158,
52,20,5266,3149,
52,21,5555,3156,
52,22,5876,3169,
52,23,6165,3168,
52,24,6398,3175,
52,25,6668,3188,
52,26,6965,3194,
52,27,7271,3194,
52,28,7746,3188,
52,29,8191,3182,
52,30,8571,3163,
52,31,8983,3152,
52,32,9494,3136,
52,33,9986,3147,
52,34,10365,3138,
52,35,10731,3129,
52,36,11101,3123,
52,37,11248,3139,
52,38,11404,3139,
52,39,11781,3124,
52,40,12344,3128,
52,41,12896,3109,
52,42,13422,3075,
52,43,13949,3039,
52,44,14345,3004,
52,45,14823,2980,
52,46,15239,2957,
52,47,15653,2980,
52,48,16149,3076,
52,49,16190,3102,
52,50,16208,3111,
52,51,16265,3180,
52,52,16407,3210,
52,53,16435,3221,
52,54,16525,3249,
52,55,16625,3265,
52,56,16725,3280,3300
53,37,2898,3072,
53,38,2968,3068,
53,39,3051,3066,
53,40,3127,3064,
53,41,3300,3069,
53,42,3393,3070,
53,43,3478,3075,
53,44,3567,3082,
53,45,3647,3082,
53,46,3737,3088,
53,47,3873,3095,
53,48,3931,3105,
53,49,4423,3123,
53,50,4573,3123,
53,51,4658,3114,
53,52,4823,3123,
53,53,4902,3134,
53,54,4983,3157,
53,55,5294,3150,
53,56,5461,3154,
53,57,5636,3162,
53,58,5714,3153,
53,59,5803,3147,
53,60,5968,3152,
53,61,6188,3158,
53,62,6345,3165,
53,63,6579,3173,
53,64,6839,3170,
53,65,7193,3173,
53,66,7455,3183,
53,67,7775,3191,
53,68,8197,3195,
53,69,8479,3196,
53,70,8746,3195,
53,71,9028,3185,
53,72,9321,3173,
53,73,9595,3160,
53,74,9944,3150,
53,75,10319,3144,
53,76,10711,3137,
53,77,10993,3142,
53,78,11351,3141,
53,79,11823,3134,
53,80,12247,3124,
53,81,12651,3121,
53,82,13016,3122,
53,83,13494,3124,
53,84,13988,3124,
53,85,14374,3111,
53,86,14792,3079,
53,87,15060,3042,
53,88,15381,3011,
53,89,15629,2987,
53,90,15908,2970,
53,91,16129,2961,
53,92,16316,2969,
53,93,16539,2997,
53,94,16609,3043,
53,95,16625,3085,
53,96,16641,3216,
53,97,16725,3234,
53,98,16825,3244,
53,99,16925,3280,
53,100,17028,3394,
53,101,17131,3414,
53,102,17234,3434,
53,103,17337,3451,
53,104,17440,3467,
53,105,17543,3485,
53,106,17646,3506,
77,40,236,-244,
77,41,237,-243,
77,42,238,-244,
77,43,244,-243,
77,44,256,-243,
77,45,274,-241,
77,46,292,-241,
77,47,317,-240,
77,48,318,-238,
77,49,319,-238,
77,50,322,-238,
77,51,346,-237,
77,52,361,-235,
77,53,371,-235,
77,54,390,-234,
77,55,402,-235,
77,56,409,-236,
77,57,420,-235,
77,58,432,-235,
77,59,447,-235,
77,60,459,-235,
77,61,471,-234,
77,62,487,-233,
77,63,492,-234,
77,64,503,-234,
77,65,525,-234,
77,66,530,-235,
77,67,531,-235,
53,107,17748,3518,
53,108,17851,3534,
53,109,17954,3552,
53,110,18057,3568,
53,111,18160,3584,
53,112,18263,3596,
53,113,18366,3612,
53,114,18469,3622,
53,115,18571,3640,
53,116,18674,3656,
53,117,18777,3666,
53,118,18880,3676,
53,119,18983,3704,
53,120,19086,3734,
53,121,19600,4058,
53,122,20012,4116,
53,123,20526,4224,
53,124,21040,4260,
53,125,21555,4274,
53,126,21863,4288,4400
53,1,-3327,4252,4400
53,2,-2813,4262,
53,3,-2402,4278,
53,4,-1990,4296,
53,5,-1681,4308,
53,6,-1476,4316,
53,7,-1270,4322,
53,8,-1064,4330,
53,9,-858,4336,
53,10,-653,4340,
53,11,-447,4340,
24,8,2000,1054,
24,9,2150,1064,
24,10,2151,1127,
24,11,2200,1127,1419
25,1,0,1034,1069
25,2,1,1032,
25,3,70,987,
25,4,170,956,
25,5,370,960,
25,6,570,947,
25,7,770,931,
25,8,1070,934,
25,9,1370,954,
25,10,1570,960,
25,11,1720,994,
25,12,1845,1034,
25,13,1915,1069,1069
26,1,0,1034,1069
26,2,1,1032,
26,3,70,987,
26,4,170,956,
26,5,370,960,
26,6,570,947,
26,7,770,931,
26,8,1070,934,
26,9,1370,954,
26,10,1570,960,
26,11,1720,994,
26,12,1845,1034,
26,13,1915,1069,1069
27,1,0,500,500
27,2,70,218,
27,3,170,187,
27,4,370,191,
27,5,570,178,
27,6,770,162,
27,7,1070,165,
27,8,1370,185,
27,9,1570,191,
27,10,1720,225,
27,11,1845,265,
27,12,1915,500,500
28,1,0,796,806
28,2,150,711,806
28,3,470,482,806
28,4,870,306,806
28,5,1290,234,806
28,6,1650,156,806
28,7,2060,86,806
28,8,2580,0,806
28,9,3015,4,806
28,10,3600,138,806
28,11,4060,461,806
28,12,4500,686,806
28,13,4700,766,806
29,1,0,784,794
29,2,150,714,794
29,3,450,475,794
29,4,750,335,794
29,5,1050,265,794
29,6,1450,188,794
29,7,1850,94,794
29,8,2250,66,794
29,9,2650,21,794
29,10,3050,0,794
29,11,3450,73,794
29,12,3850,255,794
29,13,4200,539,794
29,14,4650,784,794
31,1,0,3555,3695
31,2,100,3532,
31,3,300,3500,
31,4,500,3478,
31,5,700,3465,
31,6,900,3459,
31,7,1100,3468,
31,8,1300,3474,
31,9,1500,3457,
31,10,1700,3465,
31,11,1900,3450,
31,12,2100,3503,
31,13,2180,3503,3695
32,1,0,3551,3571
32,2,70,3534,
32,3,170,3519,
32,4,370,3502,
32,5,570,3496,
32,6,870,3502,
32,7,1170,3497,
32,8,1370,3513,
32,9,1470,3523,
32,10,1520,3531,3571
33,1,0,230,300
33,2,250,140,
33,3,310,112,
33,4,380,112,
33,5,480,97,
33,6,710,84,
33,7,1010,76,
33,8,1310,50,
33,9,1510,40,
33,10,1610,40,
33,11,1960,140,
33,12,2260,230,300
34,9,850,18,
34,10,1000,14,
34,11,1050,16,
34,12,1200,0,
34,13,1350,40,
34,14,1450,76,
34,15,1500,90,400
34,1,0,90,400
34,2,50,84,
34,3,130,73,
34,4,230,60,
34,5,350,55,
34,6,500,36,
34,7,650,19,
34,8,800,20,
35,1,0,1794,1794
35,2,77,1676,
35,3,107,1660,
35,4,157,1655,
35,5,237,1645,
35,6,337,1640,
35,7,437,1646,
35,8,517,1660,
35,9,597,1676,
35,10,847,1794,1794
36,1,0,400,400
36,2,77,282,
36,3,107,266,
36,4,157,261,
36,5,237,251,
36,6,337,246,
36,7,437,252,
36,8,517,266,
36,9,597,282,
36,10,847,400,400
37,1,0,17172,18000
37,2,800,16772,
37,3,1400,16743,
37,4,2100,16704,
37,5,3200,16763,
37,6,5100,16864,
37,7,6100,16936,
37,8,6600,17400,18000
38,1,20,12576,12633
38,2,50,12576,
38,3,120,12570,
38,4,200,12580,
38,5,250,12564,
38,6,330,12569,
38,7,400,12576,
38,8,480,12572,
38,9,520,12595,
42,48,6902,6764,
42,49,7010,6784,
42,50,7131,6806,
42,51,7265,6826,
42,52,7401,6833,
42,53,7555,6836,
42,54,7953,6824,
42,55,8081,6819,
42,56,8196,6819,
42,57,8305,6823,
42,58,8415,6837,
42,59,8532,6850,
42,60,8652,6852,
42,61,8784,6860,
42,62,8913,6865,
42,63,9045,6869,
42,64,9177,6871,
42,65,9321,6875,
42,66,9448,6884,
42,67,9560,6894,
42,68,9657,6902,
2,4,370,-64,
2,5,420,-116,
2,6,471,-144,
2,7,486,-132,
2,8,495,-141,
2,9,503,-144,
2,10,511,-147,
2,11,524,-153,
2,12,544,-158,
2,13,548,-162,
2,14,566,-161,
2,15,580,-168,
2,16,596,-172,
2,17,604,-173,
2,18,622,-175,
2,19,634,-178,
2,20,645,-180,
2,21,657,-180,
2,22,665,-182,
2,23,667,-182,
2,24,687,-182,
2,25,698,-182,
2,26,714,-181,
2,27,729,-182,
2,28,737,-183,
2,29,744,-185,
2,30,768,-184,
2,31,788,-183,
2,32,790,-183,
2,33,798,-187,
2,34,808,-187,
2,35,818,-186,
2,36,828,-184,
2,37,839,-185,
2,38,849,-185,
2,39,864,-187,
2,40,877,-188,
2,41,891,-189,
2,42,902,-188,
2,43,915,-189,
2,44,927,-189,
2,45,939,-189,
2,46,951,-189,
2,47,966,-188,
2,48,979,-188,
2,49,990,-190,
2,50,1004,-191,
2,51,1016,-192,
2,52,1025,-192,
2,53,1042,-194,
2,54,1056,-195,
2,55,1065,-195,
2,56,1082,-193,
2,57,1093,-195,
2,58,1110,-195,
2,59,1121,-195,
2,60,1131,-194,
2,61,1144,-193,
2,62,1157,-193,
2,63,1168,-193,
2,64,1182,-192,
2,65,1198,-190,
2,66,1209,-190,
2,67,1226,-190,
2,68,1236,-189,
2,69,1241,-188,
2,70,1256,-187,
2,71,1267,-186,
2,72,1275,-186,
2,73,1286,-185,
2,74,1303,-182,
2,75,1323,-178,
2,76,1332,-175,
2,77,1338,-173,
2,78,1362,-165,
2,79,1370,-160,
2,80,1380,-156,
2,81,1395,-147,
2,82,1404,-142,
2,83,1414,-140,
2,84,1420,-136,
2,85,1431,-132,
2,86,1446,-129,
2,87,1490,-113,
2,88,1540,-72,
2,89,1590,-47,
2,90,1640,-40,
2,91,1670,-38,300
3,1,0,9824,9826
3,2,50,9806,
3,3,100,9790,
3,4,220,9778,
3,5,370,9764,
3,6,570,9740,
3,7,770,9725,
3,8,970,9732,
3,9,1170,9744,
3,10,1320,9761,
3,11,1470,9767,
3,12,1570,9775,
3,13,1620,9779,
3,14,1660,9790,9826
4,1,0,133,163
4,2,30,127,
4,3,90,125,
4,4,190,126,
4,5,340,119,
4,6,490,111,
4,7,640,111,
4,8,790,101,
4,9,940,85,
4,10,1040,65,
4,11,1140,64,
4,12,1190,75,
4,13,1250,125,163
5,1,200,33,135
5,2,300,33,
5,3,400,36,
5,4,500,22,
5,5,600,52,
5,6,700,5,
5,7,800,6,
5,8,950,15,
5,9,1000,15,135
5,10,1000,135,135
5,11,1160,135,135
5,12,1160,3,135
5,13,1260,3,
5,14,1350,18,
5,15,1450,-29,
5,16,1550,-24,
5,17,1650,62,
5,18,1750,45,
5,19,1850,45,135
6,1,40,29,144
6,2,100,11,
6,3,200,16,
6,4,300,18,
6,5,400,70,
6,6,500,5,
6,7,600,2,
6,8,700,0,
6,9,780,2,
6,10,830,20,144
6,11,830,144,144
6,12,1000,144,144
6,13,1000,19,144
6,14,1070,1,
6,15,1170,-15,
6,16,1270,-28,
6,17,1370,-26,
6,18,1470,44,
6,19,1570,28,
6,20,1670,17,
6,21,1720,8,
6,22,1790,26,144
7,1,-3938,17820,18000
7,2,-1796,17575,
7,3,-297,17233,
7,4,0,17184,
7,5,97,17136,
7,6,222,17150,
7,7,458,17203,
7,8,588,17135,
7,9,671,17057,
7,10,690,16997,
7,11,772,17006,
7,12,896,17003,
7,13,1029,17010,
7,14,1147,16987,
7,15,1250,16997,
7,16,1371,16996,
7,17,1478,17005,
7,18,1586,17017,
7,19,1680,17011,
7,20,1758,17030,
7,21,1816,17056,
