noct,nopt,a,b,h0,hsup
1,1,0,0,0,380
1,2,0.00011333,1.6134,370,820
1,3,0.00012464,1.6524,454,2000
2,1,0,0,0,430
2,2,0.0007728,1.3614,425,532
2,3,0.0007728,1.3614,425,687
2,4,0.0007728,1.3614,425,812
2,5,0.0007728,1.3614,425,954
2,6,0.0007728,1.3614,425,1150
2,7,0.0004187,1.502,561,1264
2,8,0.0004187,1.502,561,1440
2,9,0.0004187,1.502,561,1590
2,10,0.0004187,1.502,561,1734
2,11,0.0004187,1.502,561,1855
2,12,0.0004187,1.502,561,2000
12,1,0,0,0,410
12,2,0.0001452,1.6426,407,844
12,3,4.528e-06,2.053,142,2000
13,1,0,0,0,380
13,2,4.598e-05,1.8888,379,500
13,3,1.235e-05,1.9474,294,950
13,4,1.519e-05,1.915,292,2000
14,1,0,0,0,380
14,2,0.0001371,1.6075,379,732
14,3,6.936e-05,1.713,366,1152
14,4,1.88e-05,1.8894,310,2000
15,1,0,0,0,380
15,2,7.381e-05,1.7288,380,672
15,3,2.347e-05,1.7057,55,783
15,4,0.0006578000000000001,1.3492,431,915
15,5,0.0003429,1.5312,560,2000
16,1,0,0,0,330
16,2,7.467e-06,2.0749,330,593
16,3,6.317e-06,2.0294,269,874
16,4,0.00029,1.5432,493,2200
17,1,0,0,0,330
17,2,3.127e-05,1.7482,329,651
17,3,7.948e-05,1.7323,453,870
17,4,0.00029,1.5432,493,2200
18,1,0,0,0,358
18,2,0.0005203,1.3263,357,594
18,3,0.0006287,1.3756,424,874
18,4,0.0008720000000000001,1.4025,558,2200
19,1,0,0,0,401
19,2,2.237e-05,1.8888,394,535
19,3,4.884e-05,1.8185,424,714
19,4,0.007393,1.0181,533,875
19,5,0.0007716999999999999,1.4179,550,2206
20,1,0,0,0,401
20,2,2.237e-05,1.8888,394,535
20,3,4.884e-05,1.8185,424,714
20,4,0.00175,1.2592,503,897
20,5,8.275000000000001e-05,1.6982,391,2206
21,1,0,0,0,401
21,2,0.0006427,1.2668,396,566
21,3,4.508e-05,1.8185,412,715
21,4,0.009696,0.9775,545,875
21,5,0.0001008,1.6777,428,2204
22,1,0,0,0,425
22,2,0.0001407,1.5344,380,567
22,3,1.184e-05,2.0294,390,714
22,4,0.004132,1.1268,530,865
22,5,7.226e-05,1.7158,384,2206
23,1,0,0,0,402
23,2,0.0001932,1.5014,361.5,541
23,3,0.0004239,1.4669,422.3,759
23,4,3.823e-05,1.7833,297,1240
23,5,0.0001599,1.6191,459,2206
24,1,0,0,0,401
24,2,1.784e-05,1.9942,384,572
24,3,0.0004488,1.4669,435,759
24,4,3.823e-05,1.7833,297,1240
24,5,0.0001599,1.6191,459,2206
25,1,0,0,0,403
25,2,0.0003854,1.3966,402,535
25,3,0.006292,1.045,487,804
25,4,0.0003708,1.4789,407,1240
25,5,0.0002453,1.5668,497,2206
26,1,0,0,0,409
26,2,0.0003954,1.3966,408,557
26,3,0.004529,1.1247,500,595
26,4,0.03238,0.7835,539,807
26,5,0.01554,0.9637,605,1240
26,6,0.000155,1.6239,456,2206
27,1,0,0,0,405
27,2,0.0002509,1.4317,335,566
27,3,0.01104,0.9527,499,806
27,4,0.008588999999999999,1.0489,576,1240
27,5,0.000155,1.6239,456,2206
28,1,0,0,0,380
28,2,0.000334,1.384,340,566
28,3,0.01104,0.9527,499,806
28,4,0.008588999999999999,1.0489,576,1240
28,5,0.000155,1.6239,456,2206
29,1,0,0,0,379
29,2,0.0003441,1.3806,338,564
29,3,0.0001148,1.692,404.5,802
29,4,0.008314,1.0489,539.1,1236
29,5,0.0001504,1.6239,424.1,2206
30,1,0,0,0,378
30,2,2.307e-05,1.8645,307.2,566
30,3,8.127999999999999e-05,1.692,349.3,807
30,4,0.008933,1.0489,585.2,1236
30,5,0.0001504,1.6239,424.1,2206
31,1,0,0,0,379
31,2,0.000444,1.3806,344.9,636
31,3,0.02395,0.8961,562.9,715
31,4,0.001372,1.2916,416.2,1242
31,5,0.0001511,1.6239,429.4,2206
32,1,0,0,0,418
32,2,0.0006690999999999999,1.3848,412,645
32,3,0.002462,1.2751,511,715
32,4,0.001372,1.2916,416,1242
32,5,0.0001511,1.6239,429,2206
33,1,0,0,0,418
33,2,0.0006934,1.3784,412.1,645
33,3,0.002091,1.2751,492.6,717
33,4,0.0003022,1.5014,357.1,1242
33,5,0.0001511,1.6239,429,2206
34,1,0,0,0,418
34,2,0.0006934,1.3784,412.1,645
34,3,0.002091,1.2751,492.6,717
34,4,0.0003022,1.5014,357.1,1242
34,5,0.0001511,1.6239,429,2206
35,1,0,0,0,407
35,2,8.449999999999999e-05,1.5948,344,495
35,3,0.0008631999999999999,1.2861,412,557
35,4,0.0006452,1.4075,441,716
35,5,0.00024,1.5767,434,908
35,6,0.001022,1.3256,398,1295
35,7,0.0001595,1.6239,487,2206
36,1,0,0,0,417
36,2,0.001079,1.2119,417,568
36,3,0.002443,1.2289,495.5,1208
36,4,0.0001459,1.6239,390.3,2206
37,1,0,0,0,416
37,2,0.0009223,1.2119,416,566
37,3,0.002237,1.2289,497.9,705
37,4,0.0008028999999999999,1.3926,474.2,1206
37,5,0.0001454,1.6239,386.7,2206
38,1,0,0,0,404
38,2,0.0007637,1.2119,404,498
38,3,0.002048,1.2861,464.4,570
38,4,0.000419,1.4075,351.9,718
38,5,0.0002544,1.5767,451.3,908
38,6,0.0011,1.3256,425.3,1321
38,7,0.0001565,1.6239,467.3,2206
39,1,0,0,0,299
39,2,0.0007105,1,277.9,337
39,3,0.0002599,1.2406,276.7,376
39,4,0.0004134,1.2406,307.7,405
39,5,0.0006936000000000001,1.2406,340.9,422
39,6,0.0008797,1.2406,355,454
39,7,0.0005112,1.3492,351.8,470
39,8,0.0007084,1.2861,354.1,501
39,9,0.0008698,1.2861,375.7,531
39,10,0.0009700000000000001,1.2861,388.3,569
39,11,0.001085,1.2861,403.4,610
39,12,0.0005934,1.4075,409.7,711
39,13,0.0002435,1.5411,383.6,906
39,14,0.001096,1.3256,441.4,1109
39,15,0.001183,1.3256,478.7,1270
39,16,0.0001554,1.6239,459.6,2206
47,1,0,0,0,360
47,2,0.0007753,1.2406,343.6,425
47,3,0.000838,1.2406,348.5,453
47,4,0.0008286,1.2406,347.6,479
47,5,0.0008851,1.2406,354.4,503
47,6,0.0009311,1.2861,383.3,530
47,7,0.001028,1.2861,394.2,596
47,8,0.0005761,1.4075,403.3,711
47,9,0.0002435,1.5411,383.6,906
47,10,0.001096,1.3256,441.4,1109
47,11,0.001183,1.3256,478.7,1270
47,12,0.0001554,1.6239,459.6,2206
53,1,0,0,0,-150
53,2,2.634e-05,1.9678,-197,185
53,3,1.133e-05,2.0294,-299,565
53,4,3.033e-06,2.1754,-442,1318
53,5,0.003606,1.3514,429,2000
54,1,0,0,0,-119
54,2,0.000319,1.5651,-133,526
54,3,3.44e-05,1.9048,-141,1023
54,4,0.0007257,1.4883,-59,1513
54,5,0.0002629,1.751,582,2600
55,1,0,0,0,-214
55,2,0.001082,1.3602,-214,35
55,3,1.966e-06,2.3003,-370,268
55,4,0.02366,1.0098,45,842
55,5,0.2136,0.7638,458,1519
55,6,6.874e-05,1.9091,423,2600
56,1,0,0,0,-50
56,2,0.001561,1.2976,-79,161
56,3,0.006485,1.1505,21,436
56,4,0.00779,1.1604,98,912
56,5,0.0288,1.045,426,1506
56,6,4.577e-05,1.9569,382,2600
59,1,0,0,0,-179
59,2,0.0001661,1.6426,-187,140
59,3,0.00263,1.256,-75,666
59,4,0.000547,1.5723,133,1025
59,5,0.001157,1.4317,-5,1513
59,6,0.0002629,1.751,582,2600
60,1,0,0,0,-119
60,2,0.0002461,1.6075,-134,436
60,3,0.009722,1.1302,115,912
60,4,0.0288,1.045,426,1506
60,5,4.577e-05,1.9569,382,2600
61,1,0,0,0,42
61,2,0.004417,1.196,42,222
61,3,0.002237,1.2778,1.7,420
61,4,0.001045,1.374,-56,593
61,5,4.13e-05,1.876,-49.1,1513
61,6,4.937e-05,1.9564,458.8,2600
62,1,0,0,0,40
62,2,0.002761,1.2839,40,227
62,3,0.002036,1.2839,-10.1,456
62,4,0.0002922,1.5811,-46.5,685
62,5,9.674e-05,1.7695,9.6,1513
62,6,4.937e-05,1.9564,458.8,2600
63,1,0,0,0,10
63,2,0.00199,1.2839,-1,421
63,3,0.001441,1.374,61.9,696
63,4,0.001607,1.4025,181.6,897
63,5,0.000149,1.6838,-82.7,1507
63,6,5.362e-05,1.9564,547.4,2600
64,1,0,0,0,-50
64,2,0.0002156,1.653,-83,161
64,3,0.006378,1.1505,19,417
64,4,0.007816999999999999,1.1604,100,912
64,5,0.0288,1.045,426,1506
64,6,4.577e-05,1.9569,382,2600
65,1,0,0,0,10
65,2,0.00199,1.2839,-1,421
65,3,0.001441,1.374,61.9,696
65,4,0.001119,1.4805,223.2,948
65,5,5.003e-05,1.7947,-344.3,1507
65,6,5.362e-05,1.9564,547.4,2600
66,1,0,0,0,18
66,2,0.002239,1.2839,18,422
66,3,0.001281,1.374,13,685
66,4,9.674e-05,1.7695,10,1513
66,5,4.937e-05,1.9564,459,2600
67,1,0,0,0,-27
67,2,0.0003546,1.5404,-70.40000000000001,157
67,3,6.166e-05,1.764,-150.7,430
67,4,0.0001249,1.7393,5.6,947
67,5,0.02068,1.0966,455.4,1505
67,6,4.649e-05,1.9564,392,2600
68,1,0,0,0,-27
68,2,0.0003546,1.5404,-70.40000000000001,157
68,3,6.752e-05,1.764,-135.2,419
68,4,4.476e-05,1.87,-63.7,947
68,5,0.01611,1.0966,326.5,1514
68,6,5.263e-05,1.9564,527.8,2600
69,1,0,0,0,-27
69,2,0.0003546,1.5404,-70.40000000000001,157
69,3,0.0004477,1.5014,-66.8,422
69,4,1.431e-05,1.9865,-187.7,696
