nosta,ladate,valeur
12,"05/01/97 12:00:00",0
12,"05/26/97 12:00:00",-30
12,"06/10/97 12:00:00",-110
12,"07/22/97 12:00:00",-50
12,"09/23/97 12:00:00",-40
12,"10/21/97 12:00:00",-60
12,"11/18/97 12:00:00",-20
12,"12/01/97 12:00:00",0
12,"05/15/98 12:00:00",0
12,"06/23/98 12:00:00",-180
12,"08/11/98 12:00:00",-240
12,"09/23/98 12:00:00",-280
12,"10/27/98 12:00:00",0
12,"05/01/99 12:00:00",0
12,"06/07/99 12:00:00",-60
12,"07/21/99 12:00:00",-200
12,"09/23/99 12:00:00",-100
12,"10/29/99 12:00:00",-130
12,"12/01/99 12:00:00",0
12,"06/28/00 12:00:00",0
12,"08/16/00 12:00:00",-140
12,"09/26/00 12:00:00",-30
12,"10/25/00 12:00:00",-15
12,"12/01/00 12:00:00",0
12,"05/15/01 12:00:00",0
12,"06/27/01 12:00:00",-110
12,"08/27/01 12:00:00",-100
12,"09/28/01 12:00:00",-40
12,"11/15/01 12:00:00",-50
12,"12/10/01 12:00:00",0
12,"05/15/02 12:00:00",0
12,"06/26/02 12:00:00",-120
12,"08/28/02 12:00:00",-130
12,"09/18/02 12:00:00",-90
12,"10/22/02 12:00:00",-30
12,"12/09/02 12:00:00",0
12,"05/01/03 12:00:00",0
12,"06/02/03 12:00:00",-190
12,"07/29/03 12:00:00",-160
12,"08/27/03 12:00:00",-390
12,"09/05/03 12:00:00",-230
12,"09/30/03 12:00:00",-170
12,"11/15/03 12:00:00",0
12,"05/01/04 12:00:00",0
12,"06/16/04 12:00:00",-150
12,"08/26/04 12:00:00",-70
12,"10/06/04 12:00:00",-220
12,"11/19/04 12:00:00",0
12,"05/18/05 12:00:00",0
12,"07/05/05 12:00:00",-50
12,"08/30/05 12:00:00",-200
12,"09/27/05 12:00:00",-220
12,"11/15/05 12:00:00",-280
12,"11/22/05 12:00:00",-270
12,"12/15/05 12:00:00",0
12,"05/15/06 12:00:00",0
12,"06/15/06 12:00:00",-150
12,"07/11/06 12:00:00",-230
12,"07/27/06 12:00:00",-350
12,"08/30/06 12:00:00",-300
12,"10/17/06 12:00:00",0
12,"05/01/07 12:00:00",0
12,"05/16/07 12:00:00",-50
12,"06/26/07 12:00:00",-40
12,"07/19/07 12:00:00",-70
12,"10/22/07 12:00:00",-60
12,"11/15/07 12:00:00",-40
12,"12/15/07 12:00:00",0
12,"05/01/10 12:00:00",0
12,"06/30/10 12:00:00",-90
12,"09/10/10 12:00:00",-90
12,"11/15/10 12:00:00",0
12,"05/15/12 12:00:00",0
12,"06/15/12 12:00:00",-80
12,"07/20/12 12:00:00",-110
12,"08/08/12 12:00:00",-120
12,"10/15/12 12:00:00",-100
12,"11/20/12 12:00:00",0
12,"06/25/13 00:00:00",0
12,"07/05/13 00:00:00",0
12,"07/22/13 00:00:00",-58
12,"08/02/13 00:00:00",-52
12,"08/13/13 00:00:00",-67
12,"08/27/13 00:00:00",-56
12,"09/02/13 00:00:00",-56
12,"10/03/13 00:00:00",-23
135,"06/12/13 00:00:00",0
169,"06/30/14 08:00:00",0
169,"07/01/14 09:00:00",-25
169,"07/28/14 10:00:00",-13
169,"08/28/14 11:00:00",-20
169,"09/26/14 12:00:00",-21
