nosec,nosta,snom,sdatedeb,sdatefin,szero,sfond,scomment,sdatemaj,sdateenregistrement,sdatecreation,susage
0,16,"witt2007","11/01/07 00:00:00","01/01/50 00:00:00",20091,20080,"tracé du profil en travers au droit de l'échelle de la station de Wittring à partir de valeurs absolues.",,"10/30/07 10:23:00","10/30/07 10:12:00",
1,1,"blie2007","11/01/07 00:00:00","01/01/50 00:00:00",20254,20240,"tracé du profil en travers au droit de l'échelle de Bliesbrûck à partir des valeurs absolues NGF. ",,"10/30/07 10:31:00","10/30/07 10:31:00",
3,189,"SARREGUEMINES","01/01/08 00:00:00","01/01/20 00:00:00",19153,19200,,,"03/13/08 15:41:00","03/13/08 15:17:00",
6,310,"blie2007","11/01/07 00:00:00","01/01/50 00:00:00",20254,20240,"tracé du profil en travers au droit de l'échelle de Bliesbrûck à partir des valeurs absolues NGF. ",,"10/30/07 10:31:00","10/30/07 10:31:00",
10,2,"Pont","01/01/12 00:00:00","12/31/50 00:00:00",25643,25634,"Profil pont",,"07/25/14 16:09:00","07/25/14 16:09:00",
13,189,"Au droit de l'échell","01/01/00 00:00:00","12/31/50 00:00:00",19151,19116,,,"07/31/14 16:05:00","07/31/14 16:05:00",
28,135,"Echelle limni","01/01/00 00:00:00","12/31/50 00:00:00",22254,22236,"0 de l'échelle déterminée le 01/10/2015 par MK/TH/MD lors d'un levé topo en partant du boulon géomètre. ",,"10/01/15 16:56:00","07/31/14 15:32:00",
29,135,"50m aval pont","10/01/15 00:00:00","01/01/50 00:00:00",22254,22230,"Levé topo réalisé le 01/10/2015 par MK/TH/MD  en partant du boulon géomètre. ",,"10/01/15 17:07:00","10/01/15 17:07:00",
30,9,"Au droit de l'échell","01/01/13 00:00:00","12/31/50 00:00:00",19333,19334,"saisi par JP",,"10/21/15 08:14:00","07/31/14 11:04:00",
36,17,"Plan large","04/19/13 00:00:00","01/01/50 00:00:00",10324,10267,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalise par TETARD Sébastien",,"10/21/15 15:26:00","10/21/15 15:26:00",
38,1,"Lit mineur","09/05/12 00:00:00","01/01/50 00:00:00",20258,19992,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalise par TETARD Sébastien",,"10/23/15 09:34:00","10/23/15 09:34:00",
39,1,"Plan large","09/05/12 00:00:00","01/01/50 00:00:00",20258,19992,"Cabinet SCHALLER-ROTH-SIMLER; profil en travers réalisé par TETARD Sébastien",,"10/23/15 09:44:00","10/23/15 09:42:00",
42,14,"1","09/05/12 00:00:00","01/01/50 00:00:00",19198,18771,"Cabinet SCHALLER-ROTH-SIMLER ; profil saisi par Sébastien Tétard",,"10/23/15 10:13:00","08/04/15 15:50:00",
44,189,"Lit mineur","09/04/12 00:00:00","01/01/50 00:00:00",19151,19116,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/23/15 10:27:00","10/23/15 10:27:00",
45,189,"Plan large","09/04/12 00:00:00","01/01/50 00:00:00",19151,19116,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/23/15 10:28:00","10/23/15 10:28:00",
53,8,"Lit mineur","11/08/11 00:00:00","01/01/50 00:00:00",21050,20967,"Cabinet JG LAMBERT, profil en travers réalisé par  TETARD Sébastien",,"10/26/15 08:43:00","10/26/15 08:43:00",
55,2,"Lit mineur","10/29/12 00:00:00","01/01/50 00:00:00",25643,25628,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/26/15 10:31:00","10/26/15 10:31:00",
56,2,"Plan large","10/29/12 00:00:00","01/01/50 00:00:00",25643,25628,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/26/15 10:32:00","10/26/15 10:32:00",
63,135,"Lit mineur","10/10/11 00:00:00","01/01/50 00:00:00",22204,22236,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien",,"10/28/15 10:39:00","10/28/15 10:39:00",
71,14,"Plan large","09/05/12 00:00:00","01/01/50 00:00:00",18798,18771,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/29/15 09:53:00","10/23/15 10:19:00",
93,10,"Plan large","11/22/12 00:00:00","01/01/50 00:00:00",23198,23144,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien ",,"10/26/15 10:05:00","10/23/15 11:38:00",
95,4,"Lit mineur amont","09/29/11 00:00:00","01/01/50 00:00:00",22215,22191,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien",,"10/26/15 12:01:00","10/26/15 10:59:00",
96,4,"Plan large station","09/02/11 00:00:00","01/01/50 00:00:00",22215,22131,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien",,"10/26/15 12:58:00","10/26/15 11:49:00",
97,4,"Lit mineur aval","11/29/11 00:00:00","01/01/50 00:00:00",22215,22054,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien",,"10/26/15 13:08:00","10/26/15 13:04:00",
98,4,"Pont ","09/29/11 00:00:00","01/01/50 00:00:00",22215,22131,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien
Remarque : certains points ont du être crées",,"10/28/15 10:29:00","10/28/15 10:29:00",
99,6,"Lit mineur","09/03/12 00:00:00","01/01/50 00:00:00",20837,20755,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/23/15 09:54:00","10/23/15 09:54:00",
100,6,"Plan large","09/03/12 00:00:00","01/01/50 00:00:00",20837,20755,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par Sébastien TETARD
Profil de droite à gauche (et non pas de gauche à droite)",,"10/23/15 10:51:00","10/23/15 10:11:00",
101,11,"Lit mineur","11/08/11 00:00:00","01/01/50 00:00:00",20788,20749,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien
(attention, erreurs de hauteur dans le plan original, hauteurs corrigées dans l'onglet section lit mineur)
Points 60015-60025 erronés et corrigés",,"10/30/15 10:35:00","10/23/15 11:24:00",
102,169,"Sarralbe centre n°1","01/01/08 00:00:00","12/31/50 00:00:00",20628,20433,"Profil issu de la mesure ADCP du 04 fevrier 2010. Ce profil n'est pas rigouresement perpendiculaire à l'écoulement de l'eau. Ce profil devra être modifié aprés la campagne de topo.
D'autre part les couples (périmètre mouillé et section mouillée) ne sont valable que jusqu'à la cote échelle 169.4 m.",,"02/17/10 14:18:00","02/17/10 10:50:00",
103,169,"Lit mineur","09/03/12 00:00:00","01/01/50 00:00:00",20628,20715,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/23/15 11:08:00","10/23/15 11:08:00",
104,169,"Plan large","09/03/12 00:00:00","01/01/50 00:00:00",20628,20495,"Cabinet  SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/23/15 11:13:00","10/23/15 11:13:00",
64,135,"Plan large","10/10/11 00:00:00","01/01/50 00:00:00",22204,22236,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien",,"10/28/15 10:46:00","10/28/15 10:46:00",
67,16,"Profil amont","10/19/11 00:00:00","01/01/50 00:00:00",20096,19941,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien",,"10/28/15 11:40:00","10/28/15 11:40:00",
68,16,"Plan large aval","10/19/11 00:00:00","01/01/50 00:00:00",20096,20071,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien
(sans le pont)",,"10/28/15 11:43:00","10/28/15 11:43:00",
70,17,"Lit Mineur","04/19/13 00:00:00","01/01/50 00:00:00",10324,10267,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalise par Sébastien TETARD",,"10/29/15 09:38:00","10/21/15 14:24:00",
75,8,"Lit mineur avec pont","11/02/11 00:00:00","01/01/50 00:00:00",21050,20967,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien",,"10/30/15 10:23:00","10/30/15 10:23:00",
78,12,"Echelle","01/01/10 00:00:00","12/31/50 00:00:00",19538,19450,"saisi par MD",,"10/30/15 14:52:00","07/31/14 17:24:00",
80,315,"Sonde","03/26/15 00:00:00","01/01/50 00:00:00",20207,20157,"0 d'échelle nivellé le 18/02/2016.","02/18/16 15:48:00","02/18/16 17:08:00","03/27/15 12:11:00",
82,1,"Section SVR amt pont","04/03/17 00:00:00","01/01/50 00:00:00",20200,20216,"Altitude Zéro fictive.
Profile en travers réalisé par TH/MD et MK environ 10m en amont du pont.",,"04/03/17 17:21:00","04/03/17 17:16:00",
83,5,"section n°1","01/01/08 00:00:00","01/01/20 00:00:00",25869,25898,"ce profil est issu des données récupérées lors du jaugeage au Stream pro du 09/03/2009 au droit de l'échelle de la station modernisée CPL d'Hermelange. 
la rive droite est bien représentée par la partie droite du profil",,"08/11/10 16:44:00","08/11/10 16:42:00",
84,5,"Lit mineur","10/05/11 00:00:00","01/01/50 00:00:00",25896,25888,"Cabinet JG LAMBERT & associés, profil réalisé par Sébastien TETARD",,"10/21/15 11:46:00","10/21/15 09:46:00",
85,5,"Plan large","11/05/11 00:00:00","01/01/50 00:00:00",25896,25888,"Cabinet JG LAMBERT, profil en travers réalisé par TETARD Sébastien",,"05/02/16 14:31:00","10/21/15 11:48:00",
86,13,"1","10/30/12 00:00:00","01/01/50 00:00:00",27947,27944,"Cabinet SCHALLER-ROTH-SIMLER ; profil saisi par Sébastien Tétard",,"10/30/15 14:56:00","08/04/15 15:17:00",
87,7,"Plan large","10/30/12 00:00:00","01/01/50 00:00:00",26820,26807,"Cabinet SCHALLER-ROTH-SIMLER, profil en travers réalisé par TETARD Sébastien",,"10/22/15 15:46:00","10/22/15 15:46:00",
88,7,"lit mineur","10/30/12 00:00:00","01/01/50 00:00:00",26820,26807,"Cabinet SCHALLER-ROTH-SIMLER ; profil saisi par Sébastien Tétard",,"10/29/15 09:35:00","08/04/15 14:58:00",
89,19,"Ouvrage","01/01/00 00:00:00","12/31/50 00:00:00",24342,24381,"D'après relevé Topologique du 5 oct 2011, profil de l'ouvrage",,"07/01/13 16:04:00","02/27/13 10:56:00",
