noct,ladate
400,"05/23/05 12:30:00"
400,"11/29/04 11:05:00"
400,"08/26/04 11:45:00"
400,"10/06/04 11:30:00"
400,"09/29/06 11:45:00"
400,"07/05/05 11:30:00"
400,"02/02/06 11:15:00"
400,"09/27/05 11:35:00"
400,"06/16/04 10:30:00"
400,"11/22/05 12:15:00"
400,"07/26/06 11:00:00"
1243,"04/17/16 10:40:00"
1243,"12/08/10 08:53:00"
1243,"01/26/18 10:00:00"
1243,"02/10/16 11:30:00"
1243,"12/07/10 15:00:00"
1243,"12/23/12 09:40:00"
1243,"01/10/11 13:50:00"
1243,"12/11/17 14:30:00"
1243,"01/19/18 08:15:00"
1156,"12/09/10 14:19:00"
1156,"01/05/18 10:45:00"
1156,"12/22/10 13:20:00"
1156,"01/19/18 12:00:00"
1055,"10/29/13 11:30:00"
1055,"12/18/12 10:55:00"
1055,"12/23/12 14:35:00"
1055,"01/07/11 10:15:00"
1055,"01/05/18 11:15:00"
1055,"01/19/18 13:30:00"
1052,"12/22/10 13:20:00"
1052,"12/09/10 14:19:00"
1052,"02/27/97 00:00:00"
1062,"02/27/97 00:00:00"
1062,"01/19/18 12:00:00"
1062,"01/05/18 10:45:00"
1062,"12/22/10 13:20:00"
1062,"03/13/01 09:56:00"
1062,"06/06/16 12:20:00"
1062,"04/18/16 10:30:00"
1062,"12/23/12 13:50:00"
1062,"01/04/18 14:00:00"
1062,"02/02/18 10:50:00"
1062,"05/06/13 09:55:00"
1062,"01/17/18 13:00:00"
1062,"01/14/19 12:15:00"
1062,"02/25/16 12:30:00"
1062,"10/29/13 10:00:00"
1062,"01/06/14 10:50:00"
1062,"11/06/14 11:00:00"
1062,"02/08/01 14:52:00"
1062,"01/07/16 11:15:00"
1062,"03/27/08 13:15:00"
1062,"01/20/15 12:30:00"
1062,"01/29/19 10:45:00"
1062,"06/29/16 12:25:00"
1062,"03/31/15 11:30:00"
1062,"05/25/16 10:40:00"
1062,"05/16/19 11:50:00"
1062,"11/20/17 11:10:00"
1062,"02/28/17 11:10:00"
1062,"02/19/15 10:45:00"
1062,"03/28/18 11:05:00"
1062,"02/27/18 13:00:00"
1062,"03/27/17 10:00:00"
1062,"03/23/16 10:10:00"
1062,"05/16/18 12:10:00"
1062,"04/02/19 11:35:00"
1062,"04/27/18 10:15:00"
1062,"06/06/18 12:25:00"
1062,"02/27/19 11:00:00"
1062,"05/02/19 10:00:00"
1062,"12/05/19 13:00:00"
1062,"06/18/18 10:40:00"
1062,"04/24/17 10:00:00"
1062,"10/31/18 10:35:00"
1062,"11/15/19 13:00:00"
1062,"11/28/18 11:00:00"
1062,"01/09/17 11:00:00"
1062,"06/28/18 09:45:00"
1062,"08/02/18 10:00:00"
1062,"07/19/18 12:05:00"
1062,"10/24/18 10:00:00"
1062,"08/23/18 10:15:00"
1062,"07/26/18 12:10:00"
1062,"09/27/18 11:15:00"
1062,"09/20/19 10:00:00"
1062,"08/29/17 09:00:00"
1062,"12/09/10 14:19:00"
1148,"02/27/97 00:00:00"
1148,"02/06/01 14:12:00"
1148,"12/18/00 12:44:00"
1148,"03/13/01 14:00:00"
1148,"10/27/98 13:33:00"
1184,"10/29/13 11:30:00"
1184,"12/18/12 10:55:00"
1184,"12/23/12 14:35:00"
1184,"01/07/11 10:15:00"
1184,"11/29/10 14:00:00"
1185,"10/29/13 11:30:00"
1185,"12/18/12 10:55:00"
1185,"12/23/12 14:35:00"
1185,"01/07/11 10:15:00"
1185,"11/29/10 14:00:00"
1186,"10/29/13 11:30:00"
1186,"12/18/12 10:55:00"
1186,"12/23/12 14:35:00"
1186,"01/07/11 10:15:00"
1186,"11/29/10 14:00:00"
1243,"01/05/18 15:15:00"
1232,"02/03/20 14:35:00"
1232,"12/08/10 13:29:00"
1232,"01/19/18 09:15:00"
1232,"04/17/16 13:00:00"
1232,"02/04/21 09:00:00"
1232,"01/04/15 09:20:00"
1232,"12/11/17 13:50:00"
1232,"01/29/21 13:45:00"
1232,"02/10/16 13:20:00"
1232,"02/28/97 00:00:00"
1232,"04/05/16 09:50:00"
1232,"12/18/12 09:15:00"
1232,"06/13/16 10:00:00"
1232,"10/28/13 13:30:00"
1232,"03/06/19 09:40:00"
1232,"04/25/01 10:45:00"
1232,"01/15/18 10:50:00"
1232,"03/14/17 11:05:00"
1232,"02/24/15 09:35:00"
1232,"01/13/15 13:30:00"
1232,"02/23/18 10:15:00"
1232,"03/15/16 10:00:00"
1232,"02/17/15 13:00:00"
1232,"12/03/15 13:05:00"
1232,"03/28/18 08:25:00"
1232,"04/16/18 11:10:00"
1232,"04/09/13 07:40:00"
1232,"10/09/18 09:45:00"
1468,"05/17/24 13:55:00"
1294,"12/23/12 12:10:00"
1294,"12/21/10 10:51:00"
1314,"03/31/16 09:45:00"
1314,"05/01/16 09:15:00"
1314,"06/02/16 10:10:00"
1356,"12/09/10 14:19:00"
1356,"01/05/18 10:45:00"
1356,"12/22/10 13:20:00"
-12,"10/29/13 11:30:00"
-12,"12/18/12 10:55:00"
-12,"12/23/12 14:35:00"
-12,"01/07/11 10:15:00"
-12,"01/05/18 11:15:00"
-12,"01/19/18 13:30:00"
1411,"12/23/12 12:10:00"
1411,"12/21/10 10:51:00"
1389,"02/06/17 12:40:00"
1389,"11/14/17 11:00:00"
1389,"01/15/19 10:00:00"
1389,"01/13/17 13:00:00"
1389,"01/05/16 10:45:00"
1389,"02/09/18 12:00:00"
1389,"03/30/16 12:30:00"
1389,"01/26/16 11:00:00"
1389,"05/10/16 10:00:00"
1389,"02/18/19 11:00:00"
1389,"05/06/19 11:15:00"
1389,"11/29/18 11:15:00"
1389,"08/29/17 09:40:00"
1389,"02/04/20 10:00:00"
1389,"01/05/18 09:30:00"
1389,"04/18/16 09:30:00"
1389,"12/12/17 11:10:00"
1389,"06/06/16 10:30:00"
1389,"02/11/16 10:30:00"
1389,"02/28/20 10:45:00"
1389,"01/04/18 14:00:00"
1389,"03/02/17 13:30:00"
1389,"02/15/16 12:35:00"
1389,"07/23/20 11:50:00"
1389,"06/25/20 12:00:00"
1389,"05/14/20 12:00:00"
1389,"01/13/20 12:30:00"
1392,"03/06/20 13:30:00"
1392,"12/11/17 13:00:00"
1392,"02/03/20 13:30:00"
1392,"06/02/16 11:25:00"
1392,"01/17/18 11:00:00"
1392,"04/09/22 06:40:00"
1418,"12/23/12 12:10:00"
1418,"12/21/10 10:51:00"
1435,"12/30/47 12:00:00"
1435,"02/04/20 15:30:00"
1435,"12/16/19 14:00:00"
1435,"05/23/19 10:00:00"
1435,"10/06/20 12:30:00"
1435,"11/12/20 12:30:00"
1435,"09/22/20 00:00:00"
1457,"12/30/47 12:00:00"
1457,"02/04/20 15:30:00"
1457,"12/16/19 14:00:00"
1457,"05/23/19 10:00:00"
1457,"10/06/20 12:30:00"
1457,"11/12/20 12:30:00"
1457,"09/22/20 00:00:00"
-16,"12/09/10 14:19:00"
-16,"01/05/18 10:45:00"
-16,"12/22/10 13:20:00"
-6,"12/23/12 12:10:00"
-6,"12/21/10 10:51:00"
1466,"09/16/24 12:50:00"
1466,"04/18/24 12:00:00"
1466,"05/27/24 12:15:00"
1467,"01/22/18 14:10:00"
1467,"03/09/17 12:45:00"
1431,"01/06/22 10:15:00"
1431,"02/11/16 13:00:00"
1431,"02/05/20 12:00:00"
1431,"01/05/18 14:45:00"
