noct,nopt,h,q
97,1,10,0.5
97,2,200,10
97,3,400,17.5
97,4,630,26.200001
97,5,800,32.5
97,6,980,39.299999
97,7,1120,44.5
97,8,1260,49.700001
97,9,1350,53
97,10,1390,54.299999
97,11,1460,56.700001
97,12,1560,59.900002
97,13,1660,63.200001
97,14,1790,67.300003
97,15,1860,69.5
97,16,2040,75.099998
97,17,2500,88
97,18,2550,89.5
97,19,2600,91
97,20,2640,92.300003
97,21,2660,93
97,22,2700,94.400002
97,23,2770,96.900002
97,24,2840,99.599998
97,25,2920,103
97,26,2980,105
97,27,3050,109
97,28,3110,111
97,29,3220,117
97,30,3290,121
97,31,3370,125
97,32,3500,133
97,33,3640,142
97,34,3990,166
97,35,4300,190
97,36,4370,197
97,37,4450,205
97,38,4650,227
97,39,4800,245
97,40,4950,271
97,41,5160,315
98,1,200,7.8000002
98,2,250,9.8999996
98,3,300,11.9
98,4,400,15.8
98,5,500,19.5
98,6,600,23
98,7,800,30.5
98,8,1000,37.5
98,9,1500,54
98,10,2000,72
98,11,2500,87.5
98,12,2700,94
98,13,2900,101
98,14,3100,111
98,15,3300,123
98,16,3500,141
98,17,3700,168
98,18,3800,188
98,19,3900,210
98,20,4000,231
98,21,4200,277
98,22,4300,301
98,23,4400,330
98,24,4450,360
99,1,100,3.3499999
99,2,200,7.8499999
99,3,300,11.9
99,4,400,15.8
99,5,500,19.5
99,6,1000,36.799999
99,7,2000,70.699997
99,8,2500,87.599998
99,9,2700,94.599998
99,10,3000,106
99,11,3200,117
99,12,3400,131
99,13,3600,153
99,14,3700,169
99,15,3800,188
99,16,4000,230
99,17,4200,275
99,18,4400,324
100,1,50,0.89999998
100,2,80,2.3
100,3,100,3.6500001
100,4,130,5.4499998
100,5,160,7.0999999
100,6,200,9
100,7,250,11.1
100,8,500,20.6
100,9,750,30
100,10,2500,87
100,11,2750,95
100,12,3000,105
100,13,3100,110
100,14,3250,116
100,15,3350,125
100,16,3450,133
100,17,3550,143
100,18,3650,154
100,19,3750,170
100,20,4400,313
100,21,4500,355
102,1,50,1.88
102,2,80,3.75
102,3,100,5
102,4,130,6.8000002
102,5,160,8.6000004
102,6,200,11
102,7,250,13.3
102,8,500,24
102,9,750,33.400002
102,10,1000,43
102,11,1660,63
102,12,2310,84
102,13,2680,95
102,14,2930,104
102,15,3080,110
102,16,3260,117
102,17,3350,125
102,18,3450,133
102,19,3550,143
102,20,3650,152
102,21,3750,170
102,22,4400,313
102,23,4450,330
102,24,5000,500
210,1,110,0.0099999998
210,2,137,0.289
210,3,187,0.43799999
210,4,237,0.62800002
210,5,287,0.86000001
210,6,336,1.13
210,7,435,1.83
210,8,534,2.75
210,9,633,3.8900001
210,10,732,5.3000002
210,11,831,6.9699998
210,12,930,8.9399996
210,13,1130,13.8
210,14,1330,20.1
210,15,1530,27.799999
210,16,1720,37
210,17,2120,60.799999
210,18,2520,92
210,19,2910,132
210,20,3290,177
210,21,3505,225
233,1,850,0.94999999
233,2,900,1.1
233,3,1000,1.5
233,4,1100,2.3
233,5,1300,5.6999998
233,6,2000,25.299999
233,7,3000,60.5
233,8,3500,85
233,9,4000,115
233,10,4800,180
236,1,750,0.44999999
389,1,300,0.039999999
389,2,304,0.074000001
389,3,350,0.14399999
389,4,397,0.235
389,5,444,0.34200001
389,6,491,0.46599999
389,7,585,0.75700003
389,8,679,1.1
389,9,773,1.5
389,10,867,1.95
389,11,995,2.6400001
389,12,1240,4.1999998
392,1,293,0.46000001
392,2,386,0.83899999
392,3,479,1.1799999
392,4,571,1.5
392,5,732,2.1700001
392,6,1054,3.8499999
392,7,1376,5.9200001
392,8,1698,8.3800001
392,9,2341,14.4
392,10,2985,21.799999
236,2,1000,0.80000001
236,3,1200,1.7
236,4,1400,3.3
236,5,1600,7.3000002
236,6,2000,19.5
236,7,3000,55
236,8,3500,80
236,9,4100,116
237,1,981,0.43700001
237,2,1011,0.80199999
237,3,1041,1.23
237,4,1101,2.24
237,5,1220,4.7399998
237,6,1339,7.7399998
237,7,1458,11.2
237,8,1697,19.200001
237,9,1935,28.299999
237,10,2412,49.799999
237,11,2889,74.599998
237,12,3843,133
237,13,4797,201
238,1,981,0.43700001
238,2,1011,0.80199999
238,3,1041,1.23
238,4,1101,2.24
238,5,1220,4.7399998
238,6,1339,7.7399998
238,7,1341,7.7399998
238,8,1453,11
238,9,1456,11.2
238,10,1457,11.2
238,11,1458,11.2
238,12,1695,20
238,13,1935,28.299999
238,14,2412,49.799999
238,15,2889,74.599998
238,16,3843,133
238,17,4797,201
248,1,600,3.8
248,2,1000,4.5999999
248,3,1200,5.5
248,4,1500,10.2
248,5,2500,46
248,6,4000,145
248,7,5000,275
251,1,500,1.7
251,2,700,3.5
251,3,1200,13.2
251,4,1500,30.5
251,5,2000,60
251,6,4000,185
251,7,6000,425
251,8,7000,575
256,1,260,0.24600001
256,2,300,0.273
256,3,350,1.1
256,4,400,1.76
256,5,450,2.0999999
256,6,690,3.25
263,1,200,0.15000001
263,2,254,0.227
263,3,307,0.322
263,4,360,0.43700001
263,5,413,0.57599998
263,6,519,0.92400002
263,7,625,1.38
263,8,732,1.95
263,9,838,2.6500001
263,10,944,3.48
263,11,1050,4.4499998
263,12,1263,6.8600001
263,13,1475,9.9300003
263,14,1688,13.7
263,15,1900,18.299999
277,1,177,0.13
277,2,299,0.27900001
277,3,311,0.303
277,4,331,0.35299999
277,5,600,1.21
277,6,814,2.8099999
277,7,992,4.5999999
277,8,1595,14
277,9,1900,21.299999
279,1,107,2.5
279,2,187,3.5899999
279,3,268,4.9099998
279,4,430,8.2399998
279,5,592,12.5
279,6,754,17.799999
279,7,916,24.1
279,8,1078,31.4
279,9,1402,49.299999
279,10,1726,71.699997
279,11,2050,98.699997
279,12,2374,130
279,13,2697,167
279,14,3345,255
279,15,3992,364
279,16,4640,494
279,17,5287,646
279,18,5300,650
292,1,500,0.36500001
292,2,550,0.49900001
292,3,600,0.70499998
292,4,650,0.98799998
292,5,700,1.33
292,6,900,3
292,7,1100,5.5
292,8,1300,8
292,9,1620,14.3
292,10,1900,21
292,11,2300,35
292,12,2700,50
292,13,3000,65
292,14,3500,97
383,1,900,0.98000002
383,2,1000,1.33
383,3,1050,1.53
515,1,500,1.5
515,2,700,3.5
515,3,1200,15
515,4,1500,30
515,5,2000,60
515,6,4000,185
515,7,6000,425
295,1,970,1.35
295,2,1050,1.9
295,3,1120,2.73
295,4,1200,4.0799999
295,5,1310,6.3000002
295,6,1400,8
295,7,1700,14.5
295,8,2000,23
295,9,2240,30
295,10,2400,35
295,11,2700,46
295,12,3000,59
295,13,3500,85
295,14,4000,115
295,15,4800,180
303,1,105,2.4000001
303,2,150,3
303,3,205,3.75
303,4,330,6
303,5,400,7.8299999
303,6,530,11.5
303,7,600,14
303,8,750,19.5
303,9,905,27
303,10,1170,39.5
303,11,1420,53.599998
303,12,1750,75.800003
303,13,2420,136
303,14,3400,250
303,15,4100,361
303,16,4740,490
303,17,5400,646
305,1,935,0
305,2,944,0.0080000004
305,3,953,0.02
305,4,970,0.048
305,5,987,0.079000004
305,6,1004,0.114
305,7,1072,0.27200001
305,8,1082,0.273
305,9,1130,0.39500001
305,10,1178,0.54400003
305,11,1225,0.71799999
305,12,1320,1.16
305,13,1415,1.73
305,14,1510,2.4400001
305,15,1605,3.3099999
305,16,1795,5.5100002
305,17,1986,8.4300003
305,18,2176,12.1
305,19,2366,16.5
305,20,2556,21.799999
305,21,2937,35.200001
305,22,3317,52.400002
305,23,3698,73.900002
305,24,4078,99.800003
309,1,2200,53
309,2,2300,95
309,3,2400,136
309,4,2500,177
309,5,2600,219
309,6,2700,260
309,7,2800,301
309,8,2900,343
309,9,3000,384
309,10,3100,425
309,11,3200,467
309,12,3300,508
309,13,3400,550
309,14,3500,591
309,15,3600,633
309,16,3700,675
309,17,3800,716
309,18,3900,757
309,19,4000,798
309,20,4100,838
309,21,4200,878
309,22,4300,918
309,23,4400,959
309,24,4500,1000
309,25,4600,1050
309,26,4700,1090
309,27,4800,1140
309,28,4900,1200
309,29,5000,1250
309,30,5100,1310
383,4,1090,1.72
383,5,1100,1.8
383,6,1150,2.45
383,7,1300,5.6999998
383,8,2000,25
383,9,3000,60
383,10,3500,85
385,1,140,1.1
385,2,200,2.0799999
385,3,240,3.0999999
385,4,400,6.7800002
385,5,500,10.6
385,6,700,20.200001
385,7,900,30.700001
385,8,1150,44
385,9,1400,59.200001
385,10,1600,72
385,11,1790,83.5
385,12,2100,104
385,13,2450,128
385,14,2750,160
385,15,2890,178
385,16,3050,197
385,17,3400,245
385,18,4100,358
413,1,900,0.0089999996
413,2,1000,0.114
413,3,1200,0.866
413,4,1400,3.01
413,5,1600,4.8499999
413,6,2000,9.1999998
413,7,2350,16.5
413,8,2550,21.799999
413,9,3000,38.5
309,31,5200,1370
309,32,5300,1430
309,33,5400,1490
309,34,5500,1550
309,35,5600,1620
