nosec,snoptsec,sabsc,scoteinf,scotesup
6,1,0,20590,21000
6,2,400,20560,
6,3,1100,20580,
6,4,1500,20550,
6,5,2900,20510,
6,6,3500,20240,
6,7,7400,20240,
6,8,7700,20500,
6,9,8900,20450,
6,10,10200,20570,
6,11,11500,20640,
6,12,12800,20700,
6,13,13200,20690,21000
0,1,0,20980,23000
0,2,670,20450,
0,3,1420,20380,
0,4,1850,20210,
0,5,2250,20160,
0,6,2650,20140,
0,7,3050,20150,
0,8,3450,20140,
0,9,3850,20080,
0,10,5050,20210,
0,11,5420,20390,
0,12,5820,20540,
0,13,6220,20760,
0,14,6620,21010,
0,15,7620,21010,23000
1,1,0,20590,21000
1,2,400,20560,
1,3,1100,20580,
1,4,1500,20550,
1,5,2900,20510,
1,6,3500,20240,
1,7,7400,20240,
1,8,7700,20500,
1,9,8900,20450,
1,10,10200,20570,
1,11,11500,20640,
1,12,12800,20700,
1,13,13200,20690,21000
3,1,0,19670,21000
3,2,210,19420,
3,3,610,19460,
3,4,1010,19520,
3,5,1410,19530,
3,6,1840,19460,
3,7,1850,19200,
3,8,5450,19200,
3,9,5460,19490,
3,10,6530,19540,21000
83,45,980,25904,
83,46,990,25907,
83,47,1005,25904,
83,48,1008,25915,
83,49,1022,25920,
83,50,1031,25918,
83,51,1037,25929,
83,52,1044,25927,
83,53,1061,25939,
83,54,1070,25953,
83,55,1086,25964,
83,56,1092,25964,
83,57,1100,25958,
83,58,1115,25960,26023
83,1,0,25980,26023
83,2,18,25982,
83,3,20,25976,
83,4,28,25960,
83,5,53,25928,
83,6,75,25911,
83,7,92,25909,
83,8,96,25911,
83,9,110,25911,
83,10,119,25910,
83,11,142,25911,
83,12,169,25911,
83,13,176,25911,
83,14,185,25910,
83,15,195,25911,
83,16,330,25914,
83,17,387,25912,
83,18,405,25906,
83,19,415,25906,
83,20,422,25904,
83,21,504,25904,
83,22,518,25906,
83,23,529,25906,
83,24,547,25904,
83,25,554,25902,
83,26,582,25906,
102,1,0,20954,21050
102,2,196,20778,
102,3,287,20784,
102,4,317,20778,
102,5,363,20778,
102,6,393,20784,
102,7,468,20754,
102,8,499,20736,
102,9,665,20651,
102,10,680,20639,
102,11,710,20639,
102,12,771,20602,
102,13,861,20578,
102,14,982,20536,
102,15,1058,20512,
102,16,1118,20487,
102,17,1148,20475,
102,18,1194,20469,
102,19,1239,20463,
102,20,1315,20463,
102,21,1330,20445,
102,22,1436,20439,
102,23,1511,20439,
102,24,3476,20433,
102,25,3506,20439,
102,26,3551,20433,
102,27,3642,20445,
102,28,3717,20451,
102,29,3748,20469,
102,30,3808,20469,
102,31,3853,20512,
102,32,3959,20512,
102,33,3974,20530,
102,34,4095,20512,
102,35,4246,20493,
102,36,4307,20487,
102,37,4609,20487,
102,38,4775,20512,
102,39,4941,20554,
102,40,5092,20615,
10,1,0,25846,25846
10,2,2,25706,
10,3,47,25692,
10,4,76,25673,
10,5,195,25656,
10,6,289,25646,
10,7,356,25635,
10,8,441,25634,
10,9,512,25635,
10,10,574,25653,
10,11,581,25699,
10,12,612,25704,
10,13,613,25844,25844
28,1,0,22251,22640
28,2,95,22253,
28,3,206,22254,
28,4,310,22251,
28,5,412,22245,
28,6,520,22240,
28,7,631,22236,
28,8,742,22242,
28,9,873,22244,
28,10,995,22241,
30,1,0,19700,19800
30,2,72,19660,
30,3,238,19565,
30,4,368,19493,
30,5,396,19440,
30,6,461,19418,
30,7,515,19377,
30,8,569,19361,
30,9,643,19350,
30,10,693,19339,
30,11,766,19334,
30,12,844,19341,
30,13,925,19344,
30,14,1010,19348,
30,15,1085,19340,
30,16,1164,19348,
30,17,1186,19353,
30,18,1201,19376,
30,19,1237,19374,
30,20,1245,19465,
30,21,1254,19474,
30,22,1311,19475,
30,23,1425,19542,
30,24,1584,19645,
30,25,1678,19701,19800
83,27,586,25904,
83,28,621,25910,
83,29,667,25910,
83,30,692,25905,
83,31,717,25907,
83,32,738,25906,
83,33,763,25910,
83,34,811,25907,
83,35,813,25904,
83,36,831,25907,
89,1,-970,24647,24917
89,2,-821,24647,
89,3,-820,24629,
89,4,-720,24628,
89,5,-620,24631,
89,6,-520,24626,
89,7,-405,24624,24918
89,8,-404,24624,24625
89,9,-1,24501,24502
89,10,0,24501,24719
89,11,150,24503,
89,12,250,,24814
89,13,300,24507,
89,14,450,24513,24839
89,15,595,24515,24837
89,16,740,24505,24795
89,17,845,24478,24758
89,18,950,24476,24725
89,19,951,24476,24477
89,20,1089,24468,24469
89,21,1090,24468,24720
13,1,0,19600,19835
13,2,81,19593,
13,3,84,19584,
13,4,688,19600,
13,5,1279,19584,
13,6,1282,19594,
13,7,1460,19599,
13,8,1525,19599,
13,9,1571,19599,
13,10,1587,19511,
13,11,1745,19506,
13,12,1754,19500,
13,13,2049,19492,
13,14,2052,19477,
13,15,2104,19468,
13,16,2144,19382,
13,17,2171,19275,
13,18,2203,19267,
13,19,2357,19227,
13,20,2412,19196,
13,21,2602,19173,
13,22,2846,19194,
13,23,3037,19194,
13,24,3471,19175,
13,25,3551,19118,
13,26,3615,19116,
13,27,4209,19134,
13,28,4593,19130,
13,29,4918,19140,
13,30,5331,19159,
13,31,5843,19164,
13,32,6067,19158,
13,33,6523,19156,
13,34,6603,19191,
13,35,6614,19191,
13,36,6739,19225,
13,37,6796,19232,
13,38,6931,19245,
13,39,7046,19255,
13,40,7144,19290,
13,41,7244,19299,
13,42,7271,19598,
13,43,7271,19598,
13,44,7681,19610,
13,45,7738,19660,
13,46,7854,19680,
13,47,8003,19759,
13,48,8108,19814,
13,49,8188,19835,19835
