nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,cotedebordement,coteseuil,codehydro3,codesitehydro3,synchronisation
1,"A9372050","BLIESBRUCK PONT","BLIES",953.444,2468.475,983.2,1815,"S","367670",,,,,140,"BLIE1","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:07:00","00",,,,"08/27/24 16:40:00",,,,"A937205050","A9372050",
2,"A9402110","BOUSSEVILLER","HORN",974.826,2471.043,958.99,94.5,"S","367670",,,,,6.1,"BOUS","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:08:00","00",,,,"08/27/24 16:42:00",,,,"A932215050","A9322150",
4,"A9091060","DIEDENDORF","SARRE",946.096,2441.386,817.51,732.51001,"S","115680",7.34,1.58,111,167,204,"DIED","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:09:00","00",,,,"07/05/23 15:54:00",,,,"A907105050","A9071050",
5,"A9021040","HERMELANGE","SARRE",944.424,2419.333,780.99,185.75,"S","115680",1.45,0.282,16.8,22.9,26.9,"HERM","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.
Cette station correspond à la nouvelle station modernisée CPL. Cette station et l'ancienne station lmnimétrique A9021050 se trouvent quasiment au même endroit, la surperficie du BV ainsi que les coordonnées X,Y vérifiés n'ont pas été modifiés.","11/26/09 16:11:00","00",,,,"07/05/23 15:43:00",,,,"A902101050","A9021010",
6,"A9091050","KESKASTEL","SARRE",944.301,2451.589,838.08,879.45001,"S","115680",8.92,1.65,110,161,195,"KESK","Le PK a été vérifié en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifiée via l'outil déclic compatible avec la BD Carthage, en mars 2010.","11/26/09 16:12:00","00",,,,"07/05/23 15:55:00",,,,"A909106050","A9091060",
7,"A9001050","LANEUVEVILLE-LES-LORQUINS","SARRE BLANCHE",944.169,2416.449,774.1799999999999,71.949997,"S","115680",1.21,0.296,7.52,11.8,14.6,"LANEUV","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:13:00","00",,,,"07/05/23 15:50:00",,,,"A900105050","A9001050",
8,"A9352050","OERMINGEN","EICHEL",950.77,2455.401,994.9400000000001,276.84,"S","367670",,0.378,,,81,"OERM","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:15:00","00",,,,"08/27/24 16:45:00",,,,"A926000101","A9260001",
9,"A9532005","FORBACH","ROSSELLE",929.751,2474.985,991.03,190,"S","367670",,,,,23,"FORB","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:11:00","00",,,,"08/27/24 16:46:00",,,,"A953205050","A9532050",
10,"A9072050","POSTROFF","ISCH",947.45,2438.45,997.1799999999999,146.64999,"S","115680",1.59,0.179,46.7,69.5,84.5,"POST","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","12/10/09 14:20:00","00",,,,"07/05/23 15:52:00",,,,"A906215050","A9062150",
14,"A9251050","SARREGUEMINES [WELFERDING]","SARRE ",943.615,2468.563,875.6799999999999,3740,"S","367670",,,,,,"WELFER",,"12/18/98 00:00:00","10",,,,"03/04/16 14:55:00",,,,"A931109050","A9311090",
16,"A9301010","WITTRING","SARRE",951.856,2461.35,860.66,1715.84,"S","367670",,,,,360,"WITT","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:21:00","00",,,,"08/27/24 16:39:00",,,,"A930108040","A9301080",
17,"A3750010","LAUTERBOURG","RHIN",1028.956,2455.984,349.7,49300,"S","115680",1190,568,3190,3780,4170,"LAUTER","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
Le bassin versant n'a pas pu être vérifiévia l'outil déclic compatible avec la BD Carthag, c'est l'ancienne valeur issue de la banque Hydro II qui a été reprise.","11/26/09 16:13:00","00",,,,"07/05/23 15:59:00",,,,"A302009050","A3020090",
135,"A9232010","DIEMERINGEN","EICHEL",955.401,2449.167,984.8099999999999,153.36,"S","367670",,,,,38,"DIEM","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:10:00","00",,,,"08/27/24 16:43:00",,,,"A923205040","A9232050",
169,"A9200100","SARRALBE [CENTRE]","SARRE",943.698,2455.499,847.41,1302.6,"S","115680",11.6,2.16,139,202,245,"SARRAL","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","11/26/09 16:17:00","00","SARRALBE","57",,"07/05/23 15:58:00","08/31/04 16:16:00",,,"A920107050","A9201070",
189,"A9311050","SARREGUEMINES [CENTRE]","SARRE",945.691,2467.564,871.05,1780,"S","367670",,,,,,"SARREG","Station CPL crée en 2006.
Premiers jaugeages éffectués en 2007.
Les PK ont été vérifiés en mars 2010 via la BD Carthage.
La superficie du Bassin Versant a été vérifié via l'outil décli,c compatible avec la BD Carthage, en mars 2010.","03/16/10 10:00:00","00","SARREGUEMINES","57210",,"08/03/20 17:55:00","12/12/07 10:22:00",,,"A931108060","A9311080",
308,"A0610030","STRASBOURG [SÉMAPHORE NORD]","Rhin",1003.063,2413.336,293.99,39650,"S","367670",,,,,,"STRAS","Les PK ont été vérifiés en mars 2010 via la BD Carthage.
Le bassin versant n'a pas pu être vérifiévia l'outil déclic compatible avec la BD Carthag, c'est l'ancienne valeur issue de la banque Hydro II qui a été reprise.",,"00","STRASBOURG [SEMAPHORE NORD]",,,"08/03/20 17:55:00","03/16/10 09:14:00",,,"A061005051","A0610050",
