"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"20",1967-10-18T00:00:00.000Z,,"Perche par intégration",0.98,9.6,2022-11-23T15:28:30.000Z
"18",1967-06-30T00:00:00.000Z,,"Perche par intégration",0.62,1.95,2022-11-23T15:28:31.000Z
"17",1967-06-01T00:00:00.000Z,,"Perche par intégration",0.76,4.54,2022-11-23T15:28:32.000Z
"16",1967-03-02T00:00:00.000Z,,"Autres",1.55,32.3,2022-11-23T15:28:32.000Z
"14",1966-09-22T00:00:00.000Z,,"Perche par intégration",0.6,1.84,2022-11-23T15:28:33.000Z
"13",1966-06-09T00:00:00.000Z,,"Perche par intégration",0.62,2.84,2022-11-23T15:28:34.000Z
"302",2004-11-25T11:30:00.000Z,,"Perche par intégration",0.6,4.8100000000000005,2022-11-23T15:25:34.000Z
"300",2004-05-27T07:15:00.000Z,,"Perche par intégration",0.44,1.52,2022-11-23T15:25:36.000Z
"299",2004-02-19T15:30:00.000Z,,"Perche par intégration",0.7000000000000001,6.4,2022-11-23T15:25:36.000Z
"11",1965-11-29T00:00:00.000Z,,"Autres",1.33,32.2,2022-11-23T15:28:35.000Z
"10",1965-09-16T00:00:00.000Z,,"Perche par intégration",0.58,7.62,2022-11-23T15:28:36.000Z
"298",2003-09-09T10:20:00.000Z,,"Perche par intégration",0.53,2.15,2022-11-23T15:25:37.000Z
"9",1965-08-11T00:00:00.000Z,,"Perche par intégration",0.33,1.6500000000000001,2022-11-23T15:28:36.000Z
"8",1965-04-21T00:00:00.000Z,,"Autres",1.03,21.7,2022-11-23T15:28:37.000Z
"294",2003-04-18T14:10:00.000Z,,"Perche par intégration",0.5700000000000001,2.2,2022-11-23T15:25:40.000Z
"293",2003-02-12T06:30:00.000Z,2003-02-12T07:20:00.000Z,"Perche par intégration",0.9400000000000001,11.9,2022-11-23T15:25:40.000Z
"7",1965-01-14T00:00:00.000Z,,"Autres",0.73,12.5,2022-11-23T15:28:38.000Z
"6",1964-06-22T00:00:00.000Z,,"Perche par intégration",0.26,4.0200000000000005,2022-11-23T15:28:38.000Z
"291",2002-07-31T12:30:00.000Z,2002-07-31T13:00:00.000Z,"Perche par intégration",0.49,1.23,2022-11-23T15:25:42.000Z
"290",2002-06-20T05:50:00.000Z,,"Perche par intégration",0.52,1.69,2022-11-23T15:25:42.000Z
"5",1964-05-13T00:00:00.000Z,,"Perche par intégration",0.35000000000000003,2.64,2022-11-23T15:28:39.000Z
"4",1964-04-16T00:00:00.000Z,,"Perche par intégration",0.52,6.82,2022-11-23T15:28:39.000Z
"289",2002-05-03T05:45:00.000Z,,"Perche par intégration",0.58,3.6,2022-11-23T15:25:43.000Z
"3",1964-03-19T00:00:00.000Z,,"Autres",0.9500000000000001,20,2022-11-23T15:28:40.000Z
"288",2002-03-21T07:30:00.000Z,2002-03-21T08:20:00.000Z,"Saumon par intégration",1.9000000000000001,62.2,2022-11-23T15:25:43.000Z
"287",2001-12-04T08:15:00.000Z,,"Perche par intégration",1.01,15.3,2022-11-23T15:25:44.000Z
"2",1964-02-27T00:00:00.000Z,,"Perche par intégration",0.44,4.7700000000000005,2022-11-23T15:28:41.000Z
"1",1963-11-15T00:00:00.000Z,,"Autres",0.99,16.4,2022-11-23T15:28:41.000Z
"286",2001-11-14T07:45:00.000Z,,"Perche par intégration",0.81,10.200000000000001,2022-11-23T15:25:45.000Z
"285",2001-10-18T11:45:00.000Z,2001-10-18T12:15:00.000Z,"Perche par intégration",0.54,3.0500000000000003,2022-11-23T15:25:45.000Z
