"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"229",2023-06-08T08:37:00.000Z,,"Mesure par ADCP",0.5700000000000001,0.067,2024-02-12T10:14:01.000Z
"216",2021-02-23T09:51:00.000Z,2021-02-23T10:05:00.000Z,"Perche par intégration",0.88,1.24,2023-04-17T09:00:01.000Z
"215",2021-01-07T10:30:00.000Z,,"Perche par intégration",0.895,1.3,2023-04-17T09:00:01.000Z
"214",2020-11-24T10:20:00.000Z,,"Perche par intégration",0.73,0.271,2023-04-17T09:00:02.000Z
"213",2020-10-28T10:14:00.000Z,2020-10-28T10:28:00.000Z,"Mesure par ADCP",0.84,0.704,2023-04-17T09:00:02.000Z
"226",2023-03-21T09:06:00.000Z,,"Mesure par ADCP",0.9550000000000001,1.87,2023-04-17T08:59:59.000Z
"225",2023-01-16T10:10:00.000Z,,"Mesure par ADCP",3.23,15.3,2023-04-17T08:59:59.000Z
"224",2022-12-20T09:14:00.000Z,,"Mesure par ADCP",0.76,0.5760000000000001,2023-04-17T09:00:00.000Z
"223",2022-11-16T08:41:00.000Z,,"Mesure par ADCP",0.78,0.638,2023-04-17T09:00:00.000Z
"154",2013-09-23T08:20:00.000Z,,"Perche par intégration",0.76,0.589,2022-04-05T11:13:20.000Z
"153",2013-08-12T10:05:00.000Z,,"Perche par intégration",0.63,0.246,2022-04-05T11:13:20.000Z
"152",2013-07-23T06:15:00.000Z,,"Perche par intégration",0.715,0.35000000000000003,2022-04-05T11:13:21.000Z
"151",2013-06-14T09:05:00.000Z,,"Perche par intégration",0.905,1.34,2022-04-05T11:13:22.000Z
"150",2013-02-20T11:30:00.000Z,2013-02-20T11:45:00.000Z,"Mesure par ADCP",1.24,4.1,2022-04-05T11:13:22.000Z
"149",2012-12-23T11:40:00.000Z,2012-12-23T11:59:00.000Z,"Mesure par ADCP",3.41,23.1,2022-04-05T11:13:23.000Z
"100",2007-09-24T09:30:00.000Z,,"Perche par intégration",0.735,0.229,2022-04-05T11:13:55.000Z
"99",2007-08-29T10:55:00.000Z,,"Perche par intégration",0.8300000000000001,0.638,2022-04-05T11:13:55.000Z
"193",2018-04-23T09:45:00.000Z,,"Perche par intégration",0.79,0.621,2022-04-05T11:12:53.000Z
"148",2012-11-05T09:55:00.000Z,,"Saumon par intégration",3.43,19,2022-04-05T11:13:24.000Z
"147",2012-09-26T08:55:00.000Z,,"Perche par intégration",0.8,0.5670000000000001,2022-04-05T11:13:24.000Z
"146",2012-08-08T11:25:00.000Z,,"Perche par intégration",0.63,0.16,2022-04-05T11:13:25.000Z
"145",2012-07-05T10:45:00.000Z,,"Perche par intégration",0.68,0.314,2022-04-05T11:13:26.000Z
"103",2008-04-25T08:35:00.000Z,2008-04-25T08:50:00.000Z,"Perche par intégration",1.04,2.0300000000000002,2022-04-05T11:13:53.000Z
"102",2008-01-14T10:35:00.000Z,2008-01-14T10:50:00.000Z,"Perche par intégration",1.06,2.17,2022-04-05T11:13:53.000Z
