"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"14",1986-03-20T00:00:00.000Z,,"Autres",0.6950000000000001,1.014,2023-09-13T09:50:32.000Z
"13",1986-01-21T00:00:00.000Z,,"Autres",0.72,1.09,2023-09-13T09:50:32.000Z
"12",1985-11-25T00:00:00.000Z,,"Autres",0.635,0.45,2023-09-13T09:50:32.000Z
"11",1985-10-28T00:00:00.000Z,,"Autres",0.5750000000000001,0.22,2023-09-13T09:50:32.000Z
"10",1985-09-30T00:00:00.000Z,,"Autres",0.535,0.183,2023-09-13T09:50:32.000Z
"9",1985-09-20T00:00:00.000Z,,"Autres",0.59,0.261,2023-09-13T09:50:33.000Z
"8",1985-09-06T00:00:00.000Z,,"Autres",0.62,0.46900000000000003,2023-09-13T09:50:33.000Z
"7",1985-08-05T00:00:00.000Z,,"Autres",0.67,0.492,2023-09-13T09:50:33.000Z
"6",1985-07-10T00:00:00.000Z,,"Autres",0.675,0.5710000000000001,2023-09-13T09:50:33.000Z
"5",1985-06-10T00:00:00.000Z,,"Autres",0.745,1.592,2023-09-13T09:50:34.000Z
"4",1985-04-15T00:00:00.000Z,,"Autres",1.1300000000000001,10.325000000000001,2023-09-13T09:50:34.000Z
"3",1985-04-10T00:00:00.000Z,,"Autres",1.215,13.22,2023-09-13T09:50:34.000Z
"2",1985-04-09T00:00:00.000Z,,"Autres",1.735,23.714000000000002,2023-09-13T09:50:34.000Z
"1",1985-03-05T00:00:00.000Z,,"Autres",1.215,12,2023-09-13T09:50:34.000Z
"123",1998-12-16T15:10:00.000Z,1998-12-16T15:35:00.000Z,"Perche point par point",1.33,3.62,2023-09-13T09:50:14.000Z
"122",1998-11-18T14:10:00.000Z,1998-11-18T14:30:00.000Z,"Perche point par point",1.17,1.6500000000000001,2023-09-13T09:50:14.000Z
"121",1998-10-14T11:50:00.000Z,1998-10-14T12:10:00.000Z,"Perche point par point",0.47000000000000003,0.29,2023-09-13T09:50:14.000Z
"120",1998-09-16T12:50:00.000Z,1998-09-16T13:15:00.000Z,"Perche point par point",0.51,0.217,2023-09-13T09:50:14.000Z
"119",1998-08-19T13:55:00.000Z,1998-08-19T14:05:00.000Z,"Perche point par point",0.3,0.044,2023-09-13T09:50:14.000Z
"118",1998-07-22T14:25:00.000Z,1998-07-22T14:45:00.000Z,"Perche point par point",9.99,0.127,2023-09-13T09:50:14.000Z
"117",1998-06-10T14:15:00.000Z,1998-06-10T14:35:00.000Z,"Perche point par point",0.61,0.313,2023-09-13T09:50:15.000Z
"116",1998-05-13T14:20:00.000Z,1998-05-13T14:45:00.000Z,"Perche point par point",0.73,1.09,2023-09-13T09:50:15.000Z
"115",1998-03-18T14:10:00.000Z,1998-03-18T14:35:00.000Z,"Perche point par point",0.73,1.04,2023-09-13T09:50:15.000Z
"114",1997-09-24T14:15:00.000Z,1997-09-24T14:30:00.000Z,"Perche point par point",0.34,0.006,2023-09-13T09:50:15.000Z
"113",1995-08-02T00:00:00.000Z,,"Autres",0.51,0.222,2023-09-13T09:50:15.000Z
"112",1995-05-10T00:00:00.000Z,,"Autres",0.92,2.216,2023-09-13T09:50:15.000Z
"111",1994-12-13T00:00:00.000Z,,"Autres",0.8,1.438,2023-09-13T09:50:16.000Z
"110",1994-11-16T00:00:00.000Z,,"Autres",0.65,0.889,2023-09-13T09:50:16.000Z
"109",1994-10-18T00:00:00.000Z,,"Autres",0.56,0.148,2023-09-13T09:50:16.000Z
"108",1994-09-20T00:00:00.000Z,,"Autres",0.515,0.363,2023-09-13T09:50:16.000Z
"107",1994-08-23T00:00:00.000Z,,"Autres",0.47000000000000003,0.189,2023-09-13T09:50:16.000Z
