"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"399",2025-06-04T09:09:00.000Z,2025-06-04T09:19:00.000Z,"Mesure par ADCP",0.876,0.614,2025-06-05T06:31:29.000Z
"395",2025-02-20T00:00:00.000Z,,"Mesure par ADCP",1.11,2.247,2025-02-27T16:06:22.000Z
"394",2024-11-13T09:49:00.000Z,2024-11-13T09:58:00.000Z,"Mesure par ADCP",0.812,0.606,2024-11-14T07:29:58.000Z
"46",1974-04-24T00:00:00.000Z,1974-04-24T00:01:00.000Z,"Perche point par point",0.925,1.06,2024-10-24T12:52:13.000Z
"390",2024-06-04T11:16:00.000Z,2024-06-04T11:23:00.000Z,"Mesure par ADCP",0.98,1.16,2024-06-10T14:02:53.000Z
"54",1976-11-23T11:01:00.000Z,,"Perche point par point",1.1380000000000001,2.0100000000000002,2024-10-24T12:52:11.000Z
"211",2006-03-08T09:40:00.000Z,2006-03-08T09:55:00.000Z,"Perche point par point",1.27,3.24,2024-10-24T12:51:43.000Z
"202",2004-09-08T08:45:00.000Z,,"Perche point par point",0.665,0.221,2024-10-24T12:51:44.000Z
"201",2004-07-13T09:00:00.000Z,,"Perche point par point",0.76,0.456,2024-10-24T12:51:45.000Z
"200",2004-05-11T08:55:00.000Z,,"Perche point par point",0.848,0.8180000000000001,2024-10-24T12:51:45.000Z
"198",2003-08-12T08:50:00.000Z,,"Perche point par point",0.605,0.108,2024-10-24T12:51:45.000Z
"153",1993-05-04T09:00:00.000Z,,"Perche point par point",0.9450000000000001,1.25,2024-10-24T12:51:53.000Z
"360",2021-09-08T09:00:00.000Z,2021-09-08T09:15:00.000Z,"Perche point par point",0.66,0.128,2024-10-24T12:51:14.000Z
"359",2021-07-06T12:11:00.000Z,2021-07-06T12:17:00.000Z,"Mesure par ADCP",0.841,0.741,2024-10-24T12:51:15.000Z
"358",2021-03-19T12:37:00.000Z,2021-03-19T12:50:00.000Z,"Mesure par ADCP",0.989,1.62,2024-10-24T12:51:15.000Z
"357",2021-02-01T11:27:00.000Z,2021-02-01T11:53:00.000Z,"Mesure par ADCP",1.885,12.968,2024-10-24T12:51:15.000Z
"356",2021-01-21T13:30:00.000Z,2021-01-21T13:40:00.000Z,"Mesure par ADCP",1.318,4.015,2024-10-24T12:51:15.000Z
"355",2020-12-09T13:38:00.000Z,2020-12-09T13:48:00.000Z,"Mesure par ADCP",1.025,2.004,2024-10-24T12:51:15.000Z
"354",2020-11-05T11:09:00.000Z,2020-11-05T11:17:00.000Z,"Mesure par ADCP",0.903,1.12,2024-10-24T12:51:16.000Z
"353",2020-07-30T09:05:00.000Z,2020-07-30T09:20:00.000Z,"Perche point par point",0.6880000000000001,0.193,2024-10-24T12:51:16.000Z
"352",2020-07-09T09:10:00.000Z,2020-07-09T09:40:00.000Z,"Perche point par point",0.717,0.28500000000000003,2024-10-24T12:51:16.000Z
"351",2020-07-09T08:56:00.000Z,2020-07-09T09:03:00.000Z,"Mesure par ADCP",0.72,0.242,2024-10-24T12:51:16.000Z
"350",2020-05-20T09:04:00.000Z,2020-05-20T09:10:00.000Z,"Mesure par ADCP",0.8270000000000001,0.6,2024-10-24T12:51:16.000Z
"349",2020-02-25T10:02:00.000Z,2020-02-25T10:10:00.000Z,"Mesure par ADCP",1.565,5.4,2024-10-24T12:51:16.000Z
"348",2020-01-28T09:52:00.000Z,2020-01-28T09:57:00.000Z,"Mesure par ADCP",1.45,4.7,2024-10-24T12:51:17.000Z
"347",2020-01-14T10:57:00.000Z,2020-01-14T11:02:00.000Z,"Mesure par ADCP",1.555,5.4,2024-10-24T12:51:17.000Z
"346",2019-12-04T10:09:00.000Z,2019-12-04T10:13:00.000Z,"Mesure par ADCP",1.76,6,2024-10-24T12:51:17.000Z
"345",2019-12-04T09:49:00.000Z,2019-12-04T09:52:00.000Z,"Mesure par ADCP",1.76,7.5040000000000004,2024-10-24T12:51:17.000Z
