"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"254",2023-02-21T07:30:00.000Z,2023-02-21T08:10:00.000Z,"Mesure par ADCP",0.47500000000000003,0.506,2023-02-22T09:04:54.000Z
"246",2022-06-22T12:40:00.000Z,2022-06-22T13:10:00.000Z,"Perche point par point",0.373,0.07100000000000001,2022-06-27T08:54:06.000Z
"245",2022-06-22T11:40:00.000Z,2022-06-22T12:20:00.000Z,"Perche point par point",0.373,0.073,2022-06-27T08:54:06.000Z
"252",2022-11-29T08:30:00.000Z,2022-11-29T09:30:00.000Z,"Perche point par point",0.468,0.336,2022-12-01T09:42:13.000Z
"251",2022-11-04T15:10:00.000Z,2022-11-04T15:55:00.000Z,"Perche point par point",0.442,0.20800000000000002,2022-11-18T13:44:45.000Z
"247",2022-07-06T08:40:00.000Z,2022-07-06T09:40:00.000Z,"Saumon point par point",0.42,0.161,2022-07-06T14:23:31.000Z
"253",2022-12-21T13:20:00.000Z,2022-12-21T13:55:00.000Z,"Mesure par ADCP",0.502,0.805,2022-12-26T14:23:45.000Z
"276",2024-08-28T12:20:00.000Z,2024-08-28T13:10:00.000Z,"Perche point par point",0.439,0.08600000000000001,2024-08-29T12:17:14.000Z
"249",2022-07-21T13:45:00.000Z,2022-07-21T14:15:00.000Z,"Perche point par point",0.343,0.036000000000000004,2022-11-21T13:35:26.000Z
"243",2022-05-11T07:40:00.000Z,2022-05-11T08:30:00.000Z,"Perche point par point",0.485,0.72,2022-05-13T14:14:49.000Z
"241",2022-01-19T15:35:00.000Z,2022-01-19T15:55:00.000Z,"Mesure par ADCP",0.508,0.909,2022-01-20T13:44:14.000Z
"239",2022-01-07T13:20:00.000Z,2022-01-07T13:55:00.000Z,"Mesure par ADCP",0.559,1.53,2022-01-20T13:44:16.000Z
"240",2022-01-19T13:05:00.000Z,2022-01-19T13:35:00.000Z,"Perche point par point",0.51,0.916,2022-01-20T13:44:15.000Z
"255",2023-04-11T06:45:00.000Z,2023-04-11T07:30:00.000Z,"Mesure par ADCP",0.47200000000000003,0.5650000000000001,2023-04-17T06:48:00.000Z
