"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"251",2023-08-01T09:54:00.000Z,2023-08-01T10:04:00.000Z,"Mesure par ADCP",0.34500000000000003,0.725,2023-08-09T12:02:11.000Z
"263",2024-07-23T13:27:00.000Z,2024-07-23T13:44:00.000Z,"Mesure par ADCP",0.463,2.04,2024-07-25T07:30:41.000Z
"262",2024-04-29T13:10:00.000Z,2024-04-29T13:30:00.000Z,"Mesure par ADCP",0.518,2.84,2024-04-30T14:38:52.000Z
"261",2024-04-02T11:32:00.000Z,2024-04-02T11:46:00.000Z,"Mesure par ADCP",0.747,5.57,2024-04-30T14:38:52.000Z
"259",2024-03-05T14:04:00.000Z,2024-03-05T14:20:00.000Z,"Mesure par ADCP",0.85,6.36,2024-04-30T14:38:53.000Z
"258",2024-02-06T13:45:00.000Z,2024-02-06T14:20:00.000Z,"Mesure par ADCP",0.51,2.82,2024-04-30T14:38:53.000Z
"269",2025-03-18T11:39:00.000Z,2025-03-18T11:48:00.000Z,"Mesure par ADCP",0.517,2.67,2025-03-20T08:47:05.000Z
"250",2023-07-04T10:19:00.000Z,2023-07-04T10:32:00.000Z,"Mesure par ADCP",0.405,1.23,2023-07-25T07:08:15.000Z
"266",2024-11-19T11:09:00.000Z,2024-11-19T11:18:00.000Z,"Mesure par ADCP",0.48,2.19,2024-11-20T14:25:01.000Z
"271",2025-05-13T11:17:00.000Z,2025-05-13T11:25:00.000Z,"Mesure par ADCP",0.47000000000000003,2.05,2025-05-14T13:47:49.000Z
"260",2024-04-02T10:05:00.000Z,2024-04-02T10:16:00.000Z,"Mesure par ADCP",0.762,5.62,2024-04-30T14:38:52.000Z
"249",2023-06-07T13:15:00.000Z,2023-06-07T13:50:00.000Z,"Mesure par ADCP",0.401,1.1,2023-06-07T19:24:48.000Z
"272",2025-06-12T09:54:00.000Z,2025-06-12T10:08:00.000Z,"Mesure par ADCP",0.378,1.02,2025-06-13T15:12:26.000Z
"268",2025-01-14T11:01:00.000Z,2025-01-14T11:13:00.000Z,"Mesure par ADCP",1.055,6.09,2025-01-16T12:33:31.000Z
"270",2025-04-15T12:10:00.000Z,2025-04-15T12:25:00.000Z,"Mesure par ADCP",0.618,3.77,2025-04-16T14:30:38.000Z
