"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"314",2025-03-26T12:46:00.000Z,2025-03-26T12:59:00.000Z,"Mesure par ADCP",0.998,6.18,2025-04-28T07:57:59.000Z
"309",2024-10-10T12:04:00.000Z,2024-10-10T12:36:00.000Z,"Mesure par ADCP",0.651,1.83,2025-03-28T14:32:48.000Z
"273",2021-03-10T09:28:00.000Z,2021-03-10T09:43:00.000Z,"Mesure par ADCP",0.52,1.32,2022-03-16T09:01:02.000Z
"271",2020-11-30T09:19:00.000Z,2020-11-30T09:34:00.000Z,"Mesure par ADCP",0.49,1.06,2022-03-16T09:01:03.000Z
"269",2020-09-22T08:12:00.000Z,2020-09-22T08:27:00.000Z,"Mesure par ADCP",0.457,0.8,2022-03-16T09:01:05.000Z
"267",2020-07-16T12:28:00.000Z,2020-08-19T08:40:00.000Z,"Mesure par ADCP",0.534,0.971,2022-03-16T09:01:06.000Z
"265",2020-05-11T10:24:00.000Z,2020-05-11T10:34:00.000Z,"Mesure par ADCP",0.6920000000000001,1.74,2022-03-16T09:01:07.000Z
"263",2020-01-21T16:45:00.000Z,2020-01-21T17:00:00.000Z,"Mesure par ADCP",0.493,1.19,2022-03-16T09:01:09.000Z
"261",2019-12-18T10:30:00.000Z,2019-12-18T11:30:00.000Z,"Perche point par point",0.47800000000000004,0.988,2022-03-16T09:01:10.000Z
"259",2019-11-12T10:40:00.000Z,2019-11-12T11:26:00.000Z,"Perche point par point",0.47100000000000003,0.807,2022-03-16T09:01:11.000Z
"257",2019-08-20T10:10:00.000Z,2019-08-20T10:38:00.000Z,"Perche point par point",0.437,0.491,2022-03-16T09:01:12.000Z
"255",2019-06-25T15:00:00.000Z,2019-06-25T15:15:00.000Z,"Mesure par ADCP",0.552,1.06,2022-03-16T09:01:14.000Z
"253",2019-04-23T10:15:00.000Z,2019-04-23T10:27:00.000Z,"Mesure par ADCP",0.551,1.46,2022-03-16T09:01:15.000Z
"251",2019-03-20T09:29:00.000Z,2019-03-20T09:58:00.000Z,"Mesure par ADCP",0.545,1.55,2022-03-16T09:01:16.000Z
"249",2019-01-08T12:59:00.000Z,2019-01-08T13:07:00.000Z,"Mesure par ADCP",0.52,1.49,2022-03-16T09:01:18.000Z
"247",2018-10-10T10:42:00.000Z,2018-10-10T11:10:00.000Z,"Perche point par point",0.502,1.1400000000000001,2022-03-16T09:01:19.000Z
"245",2018-08-21T11:37:00.000Z,2018-08-21T11:48:00.000Z,"Mesure par ADCP",0.498,0.756,2022-03-16T09:01:20.000Z
"243",2018-06-21T09:00:00.000Z,2018-06-21T09:15:00.000Z,"Mesure par ADCP",0.713,1.96,2022-03-16T09:01:22.000Z
"241",2018-04-18T10:24:00.000Z,2018-04-18T10:35:00.000Z,"Mesure par ADCP",0.623,2.07,2022-03-16T09:01:23.000Z
"239",2018-01-24T10:24:00.000Z,2018-01-24T10:36:00.000Z,"Mesure par ADCP",0.508,1.3800000000000001,2022-03-16T09:01:24.000Z
"238",2017-12-06T10:31:00.000Z,2017-12-06T10:42:00.000Z,"Mesure par ADCP",0.495,1.22,2022-03-16T09:01:43.000Z
