"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"316",2024-08-06T07:57:00.000Z,2024-08-06T08:05:00.000Z,"Mesure par ADCP",0.261,2.65,2024-08-07T09:26:50.000Z
"317",2024-08-21T07:46:00.000Z,2024-08-21T08:01:00.000Z,"Mesure par ADCP",0.215,2.39,2024-08-21T13:36:02.000Z
"315",2024-07-24T08:11:00.000Z,2024-07-24T08:23:00.000Z,"Mesure par ADCP",0.295,3.42,2024-07-24T13:40:57.000Z
"323",2025-03-26T09:15:00.000Z,2025-03-26T09:22:00.000Z,"Mesure par ADCP",0.385,5.8500000000000005,2025-03-26T14:50:35.000Z
"302",2023-07-25T07:28:00.000Z,2023-07-25T07:51:00.000Z,"Mesure par ADCP",0.156,1.6600000000000001,2023-07-25T11:22:03.000Z
"320",2024-11-27T09:04:00.000Z,2024-11-27T09:35:00.000Z,"Mesure par ADCP",0.363,5.03,2024-11-27T14:23:40.000Z
"325",2025-05-27T07:36:00.000Z,2025-05-27T07:46:00.000Z,"Mesure par ADCP",0.268,3.74,2025-05-27T13:37:11.000Z
"326.2",2025-06-24T08:50:00.000Z,2025-06-24T08:58:00.000Z,"Mesure par ADCP",0.177,2,2025-06-24T14:51:12.000Z
"322",2025-02-19T09:01:00.000Z,2025-02-19T09:12:00.000Z,"Mesure par ADCP",0.557,9.84,2025-02-19T16:13:17.000Z
"307",2023-10-18T09:50:00.000Z,2023-10-18T10:15:00.000Z,"Mesure par ADCP",0.112,1.17,2023-10-18T15:14:57.000Z
"326.1",2025-06-24T08:31:00.000Z,2025-06-24T08:44:00.000Z,"Mesure par ADCP",0.177,1.82,2025-06-24T14:51:12.000Z
"324",2025-04-24T08:38:00.000Z,2025-04-24T08:43:00.000Z,"Mesure par ADCP",0.496,7.88,2025-04-24T14:17:31.000Z
