"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"17",1999-07-20T00:00:00.000Z,,"Perche point par point",0.28,0.24,2025-04-22T14:50:31.000Z
"15",1999-05-16T00:00:00.000Z,,"Perche point par point",0.495,1.78,2025-04-22T14:50:32.000Z
"14",1999-04-09T00:00:00.000Z,,"Perche point par point",0.53,2.35,2025-04-22T14:50:32.000Z
"13",1999-03-13T00:00:00.000Z,,"Perche point par point",0.635,3.95,2025-04-22T14:50:32.000Z
"12",1999-02-13T00:00:00.000Z,,"Autres",0.48,1.68,2025-04-22T14:50:33.000Z
"11",1999-01-12T00:00:00.000Z,,"Perche point par point",0.51,1.98,2025-04-22T14:50:33.000Z
"10",1998-11-17T00:00:00.000Z,,"Perche point par point",0.5650000000000001,2.86,2025-04-22T14:50:33.000Z
"11",1998-10-15T00:00:00.000Z,,"Perche point par point",0.48,1.6500000000000001,2025-04-22T14:50:34.000Z
"10",1998-09-13T00:00:00.000Z,,"Perche point par point",0.425,1.1,2025-04-22T14:50:34.000Z
"9",1998-07-21T12:00:00.000Z,,"Perche point par point",0.28500000000000003,0.24,2025-04-22T14:50:34.000Z
"8",1998-07-21T00:00:00.000Z,,"Perche point par point",0.28,0.23,2025-04-22T14:50:35.000Z
"7",1998-06-12T00:00:00.000Z,,"Perche point par point",0.44,1.25,2025-04-22T14:50:35.000Z
"16",1998-06-11T00:00:00.000Z,,"Perche point par point",0.375,0.65,2025-04-22T14:50:35.000Z
"6",1998-05-17T00:00:00.000Z,,"Perche point par point",0.42,1.03,2025-04-22T14:50:35.000Z
"5",1998-04-09T00:00:00.000Z,,"Perche point par point",0.71,5.25,2025-04-22T14:50:36.000Z
"4",1998-03-16T00:00:00.000Z,,"Perche point par point",0.51,2.0100000000000002,2025-04-22T14:50:36.000Z
"3",1995-11-09T13:00:00.000Z,,"Autres",0.35000000000000003,0.436,2025-04-22T14:50:37.000Z
"2",1994-03-11T15:00:00.000Z,1994-03-11T15:30:00.000Z,"Autres",0.5,1.46,2025-04-22T14:50:37.000Z
"1",1993-06-27T13:00:00.000Z,1993-06-27T13:40:00.000Z,"Autres",0.37,0.627,2025-04-22T14:50:38.000Z
