"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"140.2",2024-07-02T10:35:00.000Z,2024-07-02T11:18:00.000Z,"Perche point par point",0.33,1.07,2024-07-10T11:03:16.000Z
"142.2",2024-07-30T11:26:00.000Z,2024-07-30T11:39:00.000Z,"Perche point par point",0.248,0.454,2024-08-09T13:32:00.000Z
"143",2024-08-08T08:31:00.000Z,2024-08-08T09:01:00.000Z,"Perche point par point",0.223,0.337,2024-08-09T13:17:30.000Z
"145",2024-10-01T09:07:00.000Z,2024-10-01T09:30:00.000Z,"Perche point par point",0.28300000000000003,0.73,2024-10-01T14:03:45.000Z
"139",2024-05-28T09:30:00.000Z,2024-05-28T09:41:00.000Z,"Mesure par ADCP",0.647,5.61,2024-05-30T12:29:38.000Z
"130",2023-07-20T10:47:00.000Z,2023-07-20T11:11:00.000Z,"Perche point par point",0.28300000000000003,0.191,2023-07-25T06:42:05.000Z
"132",2023-09-05T10:40:00.000Z,2023-09-05T10:57:00.000Z,"Perche point par point",0.26,0.10400000000000001,2023-09-27T07:45:20.000Z
"144",2024-08-29T10:10:00.000Z,2024-08-29T10:38:00.000Z,"Perche point par point",0.184,0.171,2024-08-29T14:43:28.000Z
"131",2023-08-10T10:02:00.000Z,2023-08-10T10:21:00.000Z,"Perche point par point",0.28600000000000003,0.213,2023-08-10T13:53:44.000Z
"151.2",2025-05-27T09:10:00.000Z,2025-05-27T09:38:00.000Z,"Perche point par point",0.34400000000000003,1.12,2025-05-28T07:00:59.000Z
"151.1",2025-05-27T10:38:00.000Z,2025-05-27T11:08:00.000Z,"Perche point par point",0.34400000000000003,1.02,2025-05-28T07:01:10.000Z
"148",2025-02-04T10:15:00.000Z,2025-02-04T10:24:00.000Z,"Mesure par ADCP",0.525,3.86,2025-02-04T14:43:42.000Z
"147.1",2024-12-17T12:33:00.000Z,2024-12-17T12:39:00.000Z,"Mesure par ADCP",0.358,1.5,2024-12-17T15:03:32.000Z
"147",2024-12-17T12:15:00.000Z,2024-12-17T12:20:00.000Z,"Mesure par ADCP",0.358,1.49,2024-12-17T15:03:33.000Z
"137",2024-02-28T10:10:00.000Z,2024-02-28T10:20:00.000Z,"Mesure par ADCP",0.86,8.76,2024-02-28T14:26:53.000Z
"146",2024-11-05T09:56:00.000Z,2024-11-05T10:35:00.000Z,"Perche point par point",0.305,0.881,2024-11-05T14:44:23.000Z
"141",2024-07-18T11:05:00.000Z,2024-07-18T11:43:00.000Z,"Perche point par point",0.296,0.769,2024-07-18T12:37:36.000Z
"150.1",2025-04-16T10:30:00.000Z,2025-04-16T10:50:00.000Z,"Perche point par point",0.357,1.45,2025-04-16T14:04:51.000Z
"150",2025-04-16T10:01:00.000Z,2025-04-16T10:08:00.000Z,"Mesure par ADCP",0.353,1.51,2025-04-16T14:04:51.000Z
