"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"200",2024-06-27T09:27:00.000Z,2024-06-27T09:32:00.000Z,"Mesure par ADCP",9.154,3.36868,2024-08-07T09:21:58.000Z
"199",2024-05-14T09:30:00.000Z,2024-05-14T09:40:00.000Z,"Mesure par ADCP",9.296,4.197,2024-08-07T09:21:58.000Z
"198",2024-03-13T10:38:00.000Z,2024-03-13T10:42:00.000Z,"Mesure par ADCP",10.27,12.6,2024-08-07T09:21:59.000Z
"197",2024-01-30T10:27:00.000Z,2024-01-30T10:45:00.000Z,"Mesure par ADCP",9.432,4.5200000000000005,2024-08-07T09:21:59.000Z
"196",2023-12-13T11:56:00.000Z,2023-12-13T12:56:00.000Z,"Mesure par ADCP",10.77,22.2,2024-08-07T09:21:59.000Z
"194",2023-11-15T09:20:00.000Z,2023-11-15T09:32:00.000Z,"Mesure par ADCP",10.136000000000001,10.5,2024-08-07T09:21:59.000Z
"194",2023-11-07T12:56:00.000Z,2023-11-07T13:08:00.000Z,"Mesure par ADCP",10.105,9.232,2024-08-07T09:21:59.000Z
"201",2024-08-06T08:24:00.000Z,2024-08-06T08:53:00.000Z,"Mesure par ADCP",8.705,1.05,2024-08-12T14:26:20.000Z
"193",2023-10-17T08:10:00.000Z,2023-10-17T08:55:00.000Z,"Perche point par point",8.447000000000001,0.11,2024-08-07T09:22:00.000Z
"210",2025-06-12T09:45:00.000Z,2025-06-12T09:53:00.000Z,"Mesure par ADCP",8.67,0.8290000000000001,2025-06-12T14:31:42.000Z
"190",2023-05-30T09:09:00.000Z,2023-05-30T09:27:00.000Z,"Mesure par ADCP",8.642,0.636,2023-07-25T07:29:56.000Z
"208",2025-03-27T10:22:00.000Z,2025-03-27T10:31:00.000Z,"Mesure par ADCP",8.98,2.34,2025-03-27T14:29:38.000Z
"207",2025-03-05T10:53:00.000Z,2025-03-05T11:01:00.000Z,"Mesure par ADCP",9.200000000000001,3.6,2025-03-05T15:14:22.000Z
"192",2023-09-26T08:40:00.000Z,2023-09-26T09:20:00.000Z,"Mesure par ADCP",8.48,0.188,2023-10-18T07:15:21.000Z
"191",2023-07-25T08:26:00.000Z,2023-07-25T08:50:00.000Z,"Perche point par point",8.456,0.138,2023-10-18T07:15:21.000Z
"204",2024-12-17T10:16:00.000Z,2024-12-17T10:23:00.000Z,"Mesure par ADCP",8.882,1.75,2024-12-18T07:34:22.000Z
