"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"",2001-07-12T08:45:00.000Z,2001-07-12T09:20:00.000Z,"Débit mesuré directement",1.27,15.6,2018-04-16T11:32:46.000Z
"",2001-08-30T08:40:00.000Z,2001-08-30T09:40:00.000Z,"Débit mesuré directement",1.22,11,2018-04-16T11:32:47.000Z
"",2001-11-22T09:00:00.000Z,2001-11-22T09:45:00.000Z,"Débit mesuré directement",1.31,28.400000000000002,2018-04-16T11:32:48.000Z
"",2005-11-24T16:15:00.000Z,2005-11-24T17:30:00.000Z,"Mesure par ADCP",1.22,5.5,2018-04-16T11:33:08.000Z
"",2004-10-21T15:35:00.000Z,2004-10-21T16:35:00.000Z,"Mesure par ADCP",2.15,118,2018-04-16T11:33:02.000Z
"",2006-01-19T16:00:00.000Z,2006-01-19T17:00:00.000Z,"Mesure par ADCP",3.02,201,2018-04-16T11:33:09.000Z
"",2006-03-16T13:30:00.000Z,2006-03-16T14:30:00.000Z,"Mesure par ADCP",2.0300000000000002,103,2018-04-16T11:33:10.000Z
"",2004-12-14T16:10:00.000Z,2004-12-14T17:10:00.000Z,"Mesure par ADCP",1.345,28.5,2018-04-16T11:33:03.000Z
"",2001-01-18T09:00:00.000Z,2001-01-18T09:30:00.000Z,"Débit mesuré directement",1.43,45.800000000000004,2018-04-16T11:32:44.000Z
"",2001-03-01T08:45:00.000Z,2001-03-01T09:15:00.000Z,"Débit mesuré directement",1.41,45.2,2018-04-16T11:32:45.000Z
"",2004-08-26T17:50:00.000Z,2004-08-26T18:50:00.000Z,"Mesure par ADCP",1.46,41.7,2018-04-16T11:33:02.000Z
"",2005-09-29T16:20:00.000Z,2005-09-29T17:15:00.000Z,"Mesure par ADCP",1.2,8.83,2018-04-16T11:33:07.000Z
"",2001-05-17T09:15:00.000Z,2001-05-17T09:45:00.000Z,"Débit mesuré directement",1.99,100,2018-04-16T11:32:45.000Z
"",2001-10-09T17:10:00.000Z,2001-10-09T17:40:00.000Z,"Saumon par intégration",2.0100000000000002,99.10000000000001,2018-04-16T11:32:47.000Z
"",2002-01-16T09:00:00.000Z,2002-01-16T09:25:00.000Z,"Saumon par intégration",1.36,36.300000000000004,2018-04-16T11:32:49.000Z
"",2002-03-28T17:45:00.000Z,2002-03-28T18:20:00.000Z,"Débit mesuré directement",1.57,64.9,2018-04-16T11:32:49.000Z
"",2002-07-03T08:40:00.000Z,2002-07-03T09:20:00.000Z,"Débit mesuré directement",1.24,13.4,2018-04-16T11:32:50.000Z
"",2002-08-28T09:15:00.000Z,2002-08-28T10:15:00.000Z,"Débit mesuré directement",1.21,9.790000000000001,2018-04-16T11:32:51.000Z
"",2002-10-24T09:00:00.000Z,2002-10-24T09:45:00.000Z,"Débit mesuré directement",1.56,54.2,2018-04-16T11:32:52.000Z
"",2002-11-21T13:30:00.000Z,2002-11-21T14:15:00.000Z,"Débit mesuré directement",2.045,111,2018-04-16T11:32:52.000Z
"",2003-01-16T09:00:00.000Z,2003-01-16T10:00:00.000Z,"Saumon par intégration",1.58,60.6,2018-04-16T11:32:53.000Z
"",2003-02-27T08:45:00.000Z,2003-02-27T09:30:00.000Z,"Débit mesuré directement",1.34,35.6,2018-04-16T11:32:54.000Z
"",2003-03-27T17:00:00.000Z,2003-03-27T17:40:00.000Z,"Saumon par intégration",1.305,23.2,2018-04-16T11:32:54.000Z
"",2003-06-05T09:00:00.000Z,2003-06-05T09:50:00.000Z,"Débit mesuré directement",1.22,13,2018-04-16T11:32:55.000Z
"",2003-07-31T09:00:00.000Z,2003-07-31T09:45:00.000Z,"Débit mesuré directement",1.24,7.62,2018-04-16T11:32:56.000Z
"",2003-08-21T08:50:00.000Z,2003-08-21T09:35:00.000Z,"Débit mesuré directement",1.225,4.66,2018-04-16T11:32:57.000Z
"",2003-10-30T09:00:00.000Z,2003-10-30T10:00:00.000Z,"Débit mesuré directement",1.26,16.6,2018-04-16T11:32:57.000Z
"",2004-01-08T08:45:00.000Z,2004-01-08T09:15:00.000Z,"Saumon par intégration",1.33,20.5,2018-04-16T11:32:58.000Z
