"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"18",1987-07-30T11:00:00.000Z,1987-07-30T11:25:00.000Z,"Autres",0.5700000000000001,1.12,2022-08-29T13:01:26.000Z
"16",1987-02-19T10:55:00.000Z,1987-02-19T11:15:00.000Z,"Autres",0.96,10.200000000000001,2022-08-29T13:01:27.000Z
"",1986-06-24T10:50:00.000Z,1986-06-24T11:10:00.000Z,"Autres",1.02,12,2022-02-14T14:09:06.000Z
"",1985-10-24T10:00:00.000Z,1985-10-24T10:25:00.000Z,"Autres",0.41000000000000003,0.433,2022-02-14T14:09:07.000Z
"",2012-06-01T07:30:00.000Z,2012-06-01T08:30:00.000Z,"Perche point par point",0.55,2.61,2022-02-14T14:08:56.000Z
"",2012-06-01T07:30:00.000Z,2012-06-01T08:30:00.000Z,"Mesure par ADCP",0.595,4.07,2022-02-14T14:08:57.000Z
"",1978-11-29T14:35:00.000Z,1978-11-29T14:55:00.000Z,"Autres",0.21,0.08700000000000001,2022-02-14T14:09:08.000Z
"",2011-09-19T11:00:00.000Z,2011-09-19T11:50:00.000Z,"Perche point par point",0.295,0.302,2022-02-14T14:08:58.000Z
"115",2020-08-25T06:45:00.000Z,,"Mesure par ADCP",0.275,0.735,2022-08-29T13:00:28.000Z
"1",1972-10-27T17:24:00.000Z,1972-10-27T18:46:00.000Z,"Autres",2.3000000000000003,191,2022-08-29T13:01:36.000Z
"",2020-07-16T06:40:00.000Z,2020-07-16T07:05:00.000Z,"Perche point par point",0.43,1.42,2022-02-14T14:08:48.000Z
"",2020-07-16T06:40:00.000Z,2020-07-16T07:05:00.000Z,"Mesure par ADCP",0.44,1.86,2022-02-14T14:08:48.000Z
"",2020-07-16T06:40:00.000Z,2020-07-16T07:05:00.000Z,"Autres",0.12,0.376,2022-02-14T14:08:48.000Z
"",2020-07-16T06:40:00.000Z,2020-07-16T07:05:00.000Z,"Autres",0.25,0.736,2022-02-14T14:08:48.000Z
"",2020-07-16T06:40:00.000Z,2020-07-16T07:05:00.000Z,"Perche par intégration",0.223,0.619,2022-02-14T14:08:49.000Z
"",2020-07-16T06:40:00.000Z,2020-07-16T07:05:00.000Z,"Autres",0.39,1.0170000000000001,2022-02-14T14:08:49.000Z
"",2020-07-16T06:40:00.000Z,2020-07-16T07:05:00.000Z,"Autres",0.34,0.984,2022-02-14T14:08:49.000Z
"",2011-06-15T10:40:00.000Z,2011-06-15T11:15:00.000Z,"Perche point par point",0.47000000000000003,0.732,2022-02-14T14:08:59.000Z
"",2010-08-18T14:00:00.000Z,2010-08-18T14:30:00.000Z,"Autres",0.41000000000000003,0.8280000000000001,2022-02-14T14:08:59.000Z
"122",2023-05-31T10:00:00.000Z,,"Mesure par ADCP",0.27,0.8150000000000001,2023-06-01T06:06:24.000Z
"102",2018-03-15T13:02:00.000Z,2018-03-15T13:33:00.000Z,"Saumon par intégration",2.36,205.3,2022-08-29T13:00:36.000Z
"50",2010-08-18T14:00:00.000Z,2010-08-18T14:30:00.000Z,"Autres",0.41000000000000003,0.8280000000000001,2022-08-29T13:01:07.000Z
"48",2010-05-19T13:52:00.000Z,2010-05-19T14:04:00.000Z,"Autres",0.72,8.432,2022-08-29T13:01:08.000Z
"47",2010-02-19T13:22:00.000Z,2010-02-19T13:30:00.000Z,"Autres",1.22,31.32,2022-08-29T13:01:09.000Z
"46",2009-12-16T13:00:00.000Z,2009-12-16T13:30:00.000Z,"Perche point par point",0.44,0.9460000000000001,2022-08-29T13:01:09.000Z
"45",2009-07-16T11:00:00.000Z,2009-07-16T11:50:00.000Z,"Perche point par point",0.42,0.834,2022-08-29T13:01:10.000Z
"",2017-06-15T05:40:00.000Z,2017-06-15T06:15:00.000Z,"Perche point par point",0.35000000000000003,1.1300000000000001,2022-02-14T14:08:51.000Z
"43",2007-10-01T15:20:00.000Z,2007-10-01T16:10:00.000Z,"Perche point par point",0.33,0.265,2022-08-29T13:01:11.000Z
"41",2007-08-02T10:30:00.000Z,2007-08-02T15:30:00.000Z,"Perche point par point",0.41000000000000003,0.863,2022-08-29T13:01:12.000Z
"40",2007-06-19T10:30:00.000Z,2007-06-19T11:25:00.000Z,"Perche point par point",0.58,3.404,2022-08-29T13:01:13.000Z
"39",2007-04-30T10:55:00.000Z,2009-04-30T12:00:00.000Z,"Perche point par point",0.48,1.849,2022-08-29T13:01:13.000Z
"38",2007-04-17T13:15:00.000Z,2007-04-17T14:30:00.000Z,"Perche point par point",0.59,3.49,2022-08-29T13:01:14.000Z
"",2015-10-28T10:25:00.000Z,2015-10-28T11:03:00.000Z,"Saumon par intégration",3.46,441,2022-02-14T14:08:52.000Z
"",2007-04-10T12:40:00.000Z,2007-04-10T13:40:00.000Z,"Perche point par point",0.46,1.45,2022-02-14T14:09:02.000Z
"",2007-04-10T12:40:00.000Z,2007-04-10T13:40:00.000Z,"Autres",0.48,0.6960000000000001,2022-02-14T14:09:02.000Z
"",2007-04-10T12:40:00.000Z,2007-04-10T13:40:00.000Z,"Autres",0.5,1.21,2022-02-14T14:09:02.000Z
"",2007-04-10T12:40:00.000Z,2007-04-10T13:40:00.000Z,"Autres",0.505,1.18,2022-02-14T14:09:03.000Z
"",2007-04-10T12:40:00.000Z,2007-04-10T13:40:00.000Z,"Autres",0.59,2.71,2022-02-14T14:09:03.000Z
"",2007-04-10T12:40:00.000Z,2007-04-10T13:40:00.000Z,"Autres",0.55,1.76,2022-02-14T14:09:03.000Z
"",2015-06-22T09:50:00.000Z,2015-06-22T10:20:00.000Z,"Perche par intégration",0.375,1.21,2022-02-14T14:08:54.000Z
"",2007-04-10T12:40:00.000Z,2007-04-10T13:40:00.000Z,"Autres",0.63,3.69,2022-02-14T14:09:03.000Z
"36",2007-04-10T12:40:00.000Z,2007-04-10T13:40:00.000Z,"Perche point par point",0.46,1.45,2022-08-29T13:01:15.000Z
"28",1990-03-08T10:30:00.000Z,1990-03-08T11:00:00.000Z,"Autres",0.62,2.4,2022-08-29T13:01:20.000Z
"27",1990-01-16T10:55:00.000Z,1990-01-16T11:15:00.000Z,"Autres",0.54,1.3800000000000001,2022-08-29T13:01:20.000Z
"26",1989-06-22T11:00:00.000Z,1989-06-22T11:30:00.000Z,"Autres",0.32,0.582,2022-08-29T13:01:21.000Z
"25",1989-04-25T09:45:00.000Z,1989-04-25T16:10:00.000Z,"Autres",0.67,4.29,2022-08-29T13:01:22.000Z
