"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"221",2025-02-11T12:25:00.000Z,,"Perche par intégration",0.446,1.52,2025-03-25T18:00:25.000Z
"220",2025-01-07T11:00:00.000Z,2025-01-07T11:15:00.000Z,"Mesure par ADCP",0.66,3.56,2025-03-25T18:00:25.000Z
"219",2024-12-18T13:03:00.000Z,,"Perche par intégration",0.28800000000000003,0.436,2025-03-25T18:00:25.000Z
"218",2024-09-24T08:15:00.000Z,,"Perche point par point",0.24,0.218,2025-03-25T18:00:26.000Z
"217",2024-08-06T12:15:00.000Z,2024-08-06T12:30:00.000Z,"Perche point par point",0.22,0.136,2025-03-25T18:00:26.000Z
"216",2024-04-16T09:16:00.000Z,2024-04-16T09:28:00.000Z,"Mesure par ADCP",0.376,0.9480000000000001,2025-03-25T18:00:27.000Z
"9",1975-10-01T00:00:00.000Z,,"Autres",0.24,0.373,2023-06-05T15:33:32.000Z
"5",1974-06-18T00:00:00.000Z,,"Autres",0.20500000000000002,0.28,2023-06-05T15:33:33.000Z
"4",1974-06-05T00:00:00.000Z,,"Autres",0.22,0.327,2023-06-05T15:33:33.000Z
"3",1973-03-01T00:00:00.000Z,,"Autres",0.24,0.387,2023-06-05T15:33:33.000Z
"2",1972-12-06T00:00:00.000Z,,"Autres",0.265,0.39,2023-06-05T15:33:34.000Z
"1",1972-10-03T00:00:00.000Z,,"Autres",0.15,0.101,2023-06-05T15:33:34.000Z
"204",2020-09-03T11:00:00.000Z,,"Perche point par point",0.187,0.081,2023-06-05T15:32:58.000Z
"203",2020-07-30T09:55:00.000Z,,"Perche point par point",0.192,0.094,2023-06-05T15:32:59.000Z
"202",2020-06-30T09:50:00.000Z,,"Perche point par point",0.24,0.254,2023-06-05T15:32:59.000Z
"201",2020-03-06T09:30:00.000Z,,"Mesure par ADCP",0.61,3.02,2023-06-05T15:32:59.000Z
"200",2020-03-06T09:16:00.000Z,,"Mesure par ADCP",0.61,2.5100000000000002,2023-06-05T15:32:59.000Z
"199",2019-12-26T10:00:00.000Z,,"Mesure par ADCP",0.51,2.09,2023-06-05T15:32:59.000Z
"198",2019-11-05T11:30:00.000Z,,"Mesure par ADCP",0.49,2.05,2023-06-05T15:32:59.000Z
"197",2019-08-12T10:47:00.000Z,2019-08-12T11:15:00.000Z,"Perche point par point",0.275,0.343,2023-06-05T15:33:00.000Z
