"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"50",1993-01-26T10:25:00.000Z,1993-01-26T10:50:00.000Z,"Autres",0.41500000000000004,0.427,2023-05-26T06:30:51.000Z
"49",1992-11-03T09:45:00.000Z,1992-11-03T00:15:00.000Z,"Autres",0.48,0.746,2023-05-26T06:30:51.000Z
"48",1992-03-17T09:15:00.000Z,1992-03-17T09:45:00.000Z,"Autres",0.505,0.853,2023-05-26T06:30:51.000Z
"47",1991-11-13T10:20:00.000Z,1991-11-13T10:40:00.000Z,"Autres",0.34,0.14100000000000001,2023-05-26T06:30:52.000Z
"24-02",2024-07-22T11:15:00.000Z,2024-07-22T11:45:00.000Z,"Dilution par intégration",0.02,0.005,2024-07-22T14:08:11.000Z
"13-02",2013-08-20T12:45:00.000Z,2013-08-20T13:05:00.000Z,"Perche point par point",0.075,0.058,2023-05-26T06:29:50.000Z
"18-10",2018-11-12T12:30:00.000Z,2018-11-12T12:45:00.000Z,"Mesure par ADCP",0.148,0.41000000000000003,2023-05-26T06:29:08.000Z
"46",1991-09-10T10:00:00.000Z,1991-09-10T10:20:00.000Z,"Autres",0.295,0.037,2023-05-26T06:30:52.000Z
"11-05",2011-06-28T12:40:00.000Z,2011-06-28T13:30:00.000Z,"Perche point par point",0.11,0.171,2023-05-26T06:30:11.000Z
"18-09",2018-10-15T10:20:00.000Z,,"Jaugeage par analyse vidéo",1.7,69.9,2023-05-26T06:29:08.000Z
"8",1985-10-08T15:15:00.000Z,1985-10-08T15:20:00.000Z,"Autres",0.28,0.017,2023-05-26T06:31:02.000Z
"09 01",2009-01-16T10:05:00.000Z,2009-01-16T10:35:00.000Z,"Perche point par point",0.18,0.662,2023-05-26T06:30:35.000Z
"105",2003-10-07T09:20:00.000Z,2003-10-07T09:35:00.000Z,"Perche point par point",0.037,0.018000000000000002,2023-05-26T06:30:35.000Z
"104",2003-09-17T09:20:00.000Z,2003-09-17T09:35:00.000Z,"Perche point par point",0.04,0.02,2023-05-26T06:30:36.000Z
"103",2003-08-04T10:56:00.000Z,2003-08-04T11:16:00.000Z,"Perche point par point",0.094,0.078,2023-05-26T06:30:36.000Z
"18-08",2018-10-10T08:10:00.000Z,,"Jaugeage par analyse vidéo",1.12,29,2023-05-26T06:29:09.000Z
"18-07",2018-10-09T14:20:00.000Z,2018-10-09T14:34:00.000Z,"Mesure par ADCP",0.23,1.36,2023-05-26T06:29:09.000Z
"102",2003-07-16T09:25:00.000Z,2003-07-16T09:40:00.000Z,"Perche point par point",0.08,0.08600000000000001,2023-05-26T06:30:36.000Z
"101",2003-06-24T15:00:00.000Z,2003-06-24T15:20:00.000Z,"Perche point par point",0.1,0.131,2023-05-26T06:30:36.000Z
"100",2003-05-15T09:25:00.000Z,2003-05-15T09:45:00.000Z,"Perche point par point",0.13,0.21,2023-05-26T06:30:37.000Z
"99",2002-11-06T09:45:00.000Z,2002-11-06T10:05:00.000Z,"Perche point par point",0.085,0.105,2023-05-26T06:30:37.000Z
"98",2002-10-15T09:25:00.000Z,2002-10-15T09:50:00.000Z,"Perche point par point",0.11,0.167,2023-05-26T06:30:37.000Z
"97",2002-09-03T09:15:00.000Z,2002-09-03T09:35:00.000Z,"Autres",0.08,0.066,2023-05-26T06:30:38.000Z
"7",1985-08-27T09:35:00.000Z,1985-08-27T09:45:00.000Z,"Autres",0.29,0.03,2023-05-26T06:31:02.000Z
"6",1985-07-16T00:00:00.000Z,,"Autres",0.3,0.052000000000000005,2023-05-26T06:31:03.000Z
"95",2002-06-27T09:20:00.000Z,2002-06-27T09:40:00.000Z,"Perche point par point",0.11,0.132,2023-05-26T06:30:38.000Z
"5",1985-06-24T09:35:00.000Z,1985-06-24T09:45:00.000Z,"Autres",0.32,0.068,2023-05-26T06:31:03.000Z
"21-02",2021-05-27T09:45:00.000Z,2021-05-27T10:20:00.000Z,"Perche point par point",0.07,0.06,2023-05-26T06:28:44.000Z
"91",2002-02-05T09:25:00.000Z,2002-02-05T09:45:00.000Z,"Perche point par point",0.07,0.048,2023-05-26T06:30:39.000Z
